"obs_beta","true_beta","sim","ts_length","freq_cutoff"
-0.0344966476963471,0,4,1825,0.40625
-0.0455634283452334,0,4,1825,0.421875
-0.0410948546088653,0,4,1825,0.4375
-0.0436546170384441,0,4,1825,0.453125
-0.0252565771220373,0,4,1825,0.46875
-0.0326221343995904,0,4,1825,0.484375
-0.022189761294695,0,4,1825,0.5
-0.00549483744244604,0,4,1825,0.515625
0.00533150825222294,0,4,1825,0.53125
0.010222241969691,0,4,1825,0.546875
0.0275552567480223,0,4,1825,0.5625
0.273930586484395,0,5,1825,0.015625
0.369422173212832,0,5,1825,0.03125
0.348427587530292,0,5,1825,0.046875
0.2427357952483,0,5,1825,0.0625
0.137851929873049,0,5,1825,0.078125
0.0469336298059637,0,5,1825,0.09375
0.052087698571086,0,5,1825,0.109375
-0.0418020600865149,0,5,1825,0.125
-0.0398417346934366,0,5,1825,0.140625
-0.0698826347769108,0,5,1825,0.15625
-0.124887464076468,0,5,1825,0.171875
-0.161749424060513,0,5,1825,0.1875
-0.132911429836059,0,5,1825,0.203125
-0.0990965604352329,0,5,1825,0.21875
-0.087372265692555,0,5,1825,0.234375
-0.0964728578167634,0,5,1825,0.25
-0.0980065266729677,0,5,1825,0.265625
-0.0568200431377638,0,5,1825,0.28125
-0.0515260592733734,0,5,1825,0.296875
-0.0408136016893186,0,5,1825,0.3125
-0.0364427809900632,0,5,1825,0.328125
-0.0392519624448294,0,5,1825,0.34375
-0.0470501267862353,0,5,1825,0.359375
-0.0639131977991078,0,5,1825,0.375
-0.0437791175215875,0,5,1825,0.390625
-0.0684606940461471,0,5,1825,0.40625
-0.0529326409378117,0,5,1825,0.421875
-0.053683144048765,0,5,1825,0.4375
-0.044228771669948,0,5,1825,0.453125
-0.0497493931369265,0,5,1825,0.46875
-0.0615610718972123,0,5,1825,0.484375
-0.0767003371345289,0,5,1825,0.5
-0.0685449742870905,0,5,1825,0.515625
-0.0779756426853121,0,5,1825,0.53125
-0.0607059451741557,0,5,1825,0.546875
-0.0643027521644773,0,5,1825,0.5625
-0.513472521771299,0,6,1825,0.015625
-0.353451158950338,0,6,1825,0.03125
-0.0456221803479043,0,6,1825,0.046875
-0.015307461174308,0,6,1825,0.0625
-0.0312917812911146,0,6,1825,0.078125
0.0302100602804703,0,6,1825,0.09375
0.0946417143893319,0,6,1825,0.109375
0.0638129915669801,0,6,1825,0.125
0.0131586784078217,0,6,1825,0.140625
0.0658429808895875,0,6,1825,0.15625
0.0758251910421332,0,6,1825,0.171875
0.0067478913596488,0,6,1825,0.1875
-0.0206614673633558,0,6,1825,0.203125
-0.0172503861573156,0,6,1825,0.21875
-0.00972254171074277,0,6,1825,0.234375
-0.056499662031619,0,6,1825,0.25
-0.040008779372308,0,6,1825,0.265625
-0.0417341276034174,0,6,1825,0.28125
-0.0396865128729164,0,6,1825,0.296875
0.0196954170032946,0,6,1825,0.3125
0.031227382971432,0,6,1825,0.328125
0.0598907168537091,0,6,1825,0.34375
0.0534026621543255,0,6,1825,0.359375
0.054262343329244,0,6,1825,0.375
0.039301123464504,0,6,1825,0.390625
0.0450523177574091,0,6,1825,0.40625
0.0324467437191885,0,6,1825,0.421875
0.0259888615111666,0,6,1825,0.4375
-0.00356731113491136,0,6,1825,0.453125
-0.000352697586619375,0,6,1825,0.46875
-0.0193270370809193,0,6,1825,0.484375
0.0107215407886133,0,6,1825,0.5
0.017662023245617,0,6,1825,0.515625
0.0256693842284921,0,6,1825,0.53125
0.0415510372938052,0,6,1825,0.546875
0.0575158124904513,0,6,1825,0.5625
-0.621671805555025,0,7,1825,0.015625
-0.372651763972808,0,7,1825,0.03125
-0.389308697421427,0,7,1825,0.046875
-0.180295449775981,0,7,1825,0.0625
-0.177706687248293,0,7,1825,0.078125
-0.185936491763749,0,7,1825,0.09375
-0.0313349051871614,0,7,1825,0.109375
0.0288610576790797,0,7,1825,0.125
0.0475792933357903,0,7,1825,0.140625
0.0548381471637646,0,7,1825,0.15625
0.0477319039896581,0,7,1825,0.171875
-0.0540258928180402,0,7,1825,0.1875
-0.0283580941241286,0,7,1825,0.203125
-0.0557820148353681,0,7,1825,0.21875
-0.0219240863517243,0,7,1825,0.234375
-0.0135683093771031,0,7,1825,0.25
0.0111676231408521,0,7,1825,0.265625
0.0278977616317632,0,7,1825,0.28125
0.021134948763649,0,7,1825,0.296875
0.0326271562469285,0,7,1825,0.3125
0.0539456030158309,0,7,1825,0.328125
0.0613662217435845,0,7,1825,0.34375
0.0594215049771169,0,7,1825,0.359375
0.051950663326103,0,7,1825,0.375
0.0563676148681409,0,7,1825,0.390625
0.0505674568803794,0,7,1825,0.40625
0.0413035073217153,0,7,1825,0.421875
0.0306571276839949,0,7,1825,0.4375
0.0530452913061087,0,7,1825,0.453125
0.0380014261162338,0,7,1825,0.46875
0.0133794517271638,0,7,1825,0.484375
0.0209846418980103,0,7,1825,0.5
0.026312701195386,0,7,1825,0.515625
0.0308525937970685,0,7,1825,0.53125
0.0254999510731601,0,7,1825,0.546875
0.0261742494035604,0,7,1825,0.5625
0.701676061173823,0,8,1825,0.015625
0.0716693325341151,0,8,1825,0.03125
-0.0776863265449667,0,8,1825,0.046875
-0.0116267341324249,0,8,1825,0.0625
-0.215289890841994,0,8,1825,0.078125
-0.1770737520258,0,8,1825,0.09375
-0.215346917829716,0,8,1825,0.109375
-0.201656248248671,0,8,1825,0.125
-0.123527425037383,0,8,1825,0.140625
-0.0765355117592645,0,8,1825,0.15625
-0.0994431603885086,0,8,1825,0.171875
-0.0893352882711405,0,8,1825,0.1875
-0.107908227618406,0,8,1825,0.203125
-0.0530523748628958,0,8,1825,0.21875
-0.0122196068641673,0,8,1825,0.234375
-0.0371965980583078,0,8,1825,0.25
-0.0562108129107199,0,8,1825,0.265625
-0.062126777369484,0,8,1825,0.28125
-0.0313305506613669,0,8,1825,0.296875
-0.0546101584208254,0,8,1825,0.3125
-0.0277839162114965,0,8,1825,0.328125
-0.0236511250843018,0,8,1825,0.34375
-0.0156082514028807,0,8,1825,0.359375
-0.0100094217281236,0,8,1825,0.375
-0.0423729556897085,0,8,1825,0.390625
-0.0276312900419808,0,8,1825,0.40625
