"obs_beta","true_beta","sim","ts_length","method"
-0.221563109664629,-0.421,2,1825,"Eke"
-0.256991167226598,-0.421,2,1825,"AWC"
-0.415599251038,-0.421,3,1825,"original"
-0.315391344368386,-0.421,3,1825,"Eke"
-0.484851239084872,-0.421,3,1825,"AWC"
-0.302030778319939,-0.421,4,1825,"original"
-0.287749123027898,-0.421,4,1825,"Eke"
-0.452106579164842,-0.421,4,1825,"AWC"
-0.387802289579382,-0.421,5,1825,"original"
-0.356445776428501,-0.421,5,1825,"Eke"
-0.517164880422025,-0.421,5,1825,"AWC"
-0.297660931500335,-0.421,6,1825,"original"
-0.469568739594935,-0.421,6,1825,"Eke"
-0.443746391091224,-0.421,6,1825,"AWC"
-0.372478398469347,-0.421,7,1825,"original"
-0.118833971860517,-0.421,7,1825,"Eke"
-0.347453127933643,-0.421,7,1825,"AWC"
-0.384925373387889,-0.421,8,1825,"original"
-0.424833606289379,-0.421,8,1825,"Eke"
-0.51236879218481,-0.421,8,1825,"AWC"
-0.371416220291881,-0.421,9,1825,"original"
-0.342754888777969,-0.421,9,1825,"Eke"
-0.529326225062136,-0.421,9,1825,"AWC"
-0.280944379277124,-0.421,10,1825,"original"
-0.265649075561258,-0.421,10,1825,"Eke"
-0.325238943056805,-0.421,10,1825,"AWC"
-0.342534537594341,-0.421,1,3650,"original"
-0.313177798622195,-0.421,1,3650,"Eke"
-0.462838106020907,-0.421,1,3650,"AWC"
-0.385509480247536,-0.421,2,3650,"original"
-0.294743959974778,-0.421,2,3650,"Eke"
-0.4162780597006,-0.421,2,3650,"AWC"
-0.427839706725718,-0.421,3,3650,"original"
-0.297511930689775,-0.421,3,3650,"Eke"
-0.428307054607715,-0.421,3,3650,"AWC"
-0.361466912161765,-0.421,4,3650,"original"
-0.405637758624437,-0.421,4,3650,"Eke"
-0.397189837519684,-0.421,4,3650,"AWC"
-0.36224427709878,-0.421,5,3650,"original"
-0.288136401119462,-0.421,5,3650,"Eke"
-0.370432263300046,-0.421,5,3650,"AWC"
-0.411833620927305,-0.421,6,3650,"original"
-0.423563644356505,-0.421,6,3650,"Eke"
-0.450125566792731,-0.421,6,3650,"AWC"
-0.369367850551422,-0.421,7,3650,"original"
-0.492006500208197,-0.421,7,3650,"Eke"
-0.401850595267764,-0.421,7,3650,"AWC"
-0.394177833298827,-0.421,8,3650,"original"
-0.552474438036367,-0.421,8,3650,"Eke"
-0.514453810092394,-0.421,8,3650,"AWC"
-0.425462983850013,-0.421,9,3650,"original"
-0.347413124365738,-0.421,9,3650,"Eke"
-0.424199292668202,-0.421,9,3650,"AWC"
-0.357723965542321,-0.421,10,3650,"original"
-0.293156625962036,-0.421,10,3650,"Eke"
-0.377372747366995,-0.421,10,3650,"AWC"
-0.359030382354313,-0.356,1,1825,"original"
-0.47449199449099,-0.356,1,1825,"Eke"
-0.473769378420117,-0.356,1,1825,"AWC"
-0.264135676949591,-0.356,2,1825,"original"
-0.458727320139642,-0.356,2,1825,"Eke"
-0.398416438128499,-0.356,2,1825,"AWC"
-0.398043006903813,-0.356,3,1825,"original"
-0.561320665340587,-0.356,3,1825,"Eke"
-0.544066971999194,-0.356,3,1825,"AWC"
-0.340264734370688,-0.356,4,1825,"original"
-0.471343992424089,-0.356,4,1825,"Eke"
-0.324229134898645,-0.356,4,1825,"AWC"
-0.296258054364186,-0.356,5,1825,"original"
-0.57197116642379,-0.356,5,1825,"Eke"
-0.444735356773068,-0.356,5,1825,"AWC"
-0.355860687844004,-0.356,6,1825,"original"
-0.34490785991183,-0.356,6,1825,"Eke"
-0.411100151253006,-0.356,6,1825,"AWC"
-0.305904961092565,-0.356,7,1825,"original"
-0.40346185021971,-0.356,7,1825,"Eke"
-0.415001805314264,-0.356,7,1825,"AWC"
-0.324404625496769,-0.356,8,1825,"original"
-0.623504867927054,-0.356,8,1825,"Eke"
-0.457677961991436,-0.356,8,1825,"AWC"
-0.267306540403337,-0.356,9,1825,"original"
-0.369489571178274,-0.356,9,1825,"Eke"
-0.308726849482121,-0.356,9,1825,"AWC"
-0.257292403772211,-0.356,10,1825,"original"
-0.220718977450724,-0.356,10,1825,"Eke"
-0.325214151404684,-0.356,10,1825,"AWC"
-0.291745099170482,-0.356,1,3650,"original"
-0.306624325952075,-0.356,1,3650,"Eke"
-0.350661678697062,-0.356,1,3650,"AWC"
-0.362004237982556,-0.356,2,3650,"original"
-0.509746136537922,-0.356,2,3650,"Eke"
-0.479426143975118,-0.356,2,3650,"AWC"
-0.286625468298426,-0.356,3,3650,"original"
-0.495646852604317,-0.356,3,3650,"Eke"
-0.463636920005833,-0.356,3,3650,"AWC"
-0.251998825446351,-0.356,4,3650,"original"
-0.447338233646215,-0.356,4,3650,"Eke"
-0.419471586860549,-0.356,4,3650,"AWC"
-0.330515764043605,-0.356,5,3650,"original"
-0.234857869595585,-0.356,5,3650,"Eke"
-0.266778236878881,-0.356,5,3650,"AWC"
-0.256954361171632,-0.356,6,3650,"original"
-0.301386670590976,-0.356,6,3650,"Eke"
-0.369780745599676,-0.356,6,3650,"AWC"
-0.330010204808808,-0.356,7,3650,"original"
-0.37863821330447,-0.356,7,3650,"Eke"
-0.441345789333822,-0.356,7,3650,"AWC"
-0.313479754350221,-0.356,8,3650,"original"
-0.419511750802199,-0.356,8,3650,"Eke"
-0.330198695946567,-0.356,8,3650,"AWC"
-0.333598738849463,-0.356,9,3650,"original"
-0.252420536387099,-0.356,9,3650,"Eke"
-0.383735920597668,-0.356,9,3650,"AWC"
-0.33978736020576,-0.356,10,3650,"original"
-0.226846787240376,-0.356,10,3650,"Eke"
-0.420550284429423,-0.356,10,3650,"AWC"
1.70573971326224,1.831,1,1825,"original"
2.11330452298928,1.831,1,1825,"Eke"
1.81552187246291,1.831,1,1825,"AWC"
1.66125562259431,1.831,2,1825,"original"
2.03542454736696,1.831,2,1825,"Eke"
1.90489070796213,1.831,2,1825,"AWC"
1.71910148100818,1.831,3,1825,"original"
1.91225776910471,1.831,3,1825,"Eke"
1.83399017639619,1.831,3,1825,"AWC"
1.69371753205499,1.831,4,1825,"original"
1.60877008672742,1.831,4,1825,"Eke"
1.69917078733896,1.831,4,1825,"AWC"
1.69742812521657,1.831,5,1825,"original"
