"time_window_width","Time series type","time_series_type","ts_type","term","estimate","std.error","statistic","p.value","conf.low","conf.high","simulation_num"
"7 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.41999770130556e-07,3.05157019108491e-07,-1.12073374923408,0.267184509820456,-9.53302736450925e-07,2.69303196189812e-07,1
"7 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-8.91396273931948e-07,4.99123083964093e-07,-1.78592475998581,0.0795260997860201,-1.89125995944574e-06,1.08467411581848e-07,1
"7 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",7.02223339037255e-07,4.71608601882579e-07,1.48899603661617,0.142098888142106,-2.42522215612842e-07,1.64696889368735e-06,1
"7 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-6.65202548092605e-08,4.53534432153102e-07,-0.146670792983596,0.883918619487347,-9.75058896697902e-07,8.42018387079381e-07,1
"8 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-2.20074315734889e-07,4.18750832381489e-07,-0.525549560064868,0.6015715582717,-1.06158561901599e-06,6.21436987546209e-07,1
"8 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",3.96794252690154e-07,3.00491203203562e-07,1.32048542007186,0.192807785123148,-2.07065428242894e-07,1.0006539336232e-06,1
"8 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-1.06474837961208e-06,3.47778056851447e-07,-3.06157435363119,0.00356901266814974,-1.76363455067767e-06,-3.65862208546486e-07,1
"8 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-4.1377168246585e-07,5.48581606165324e-07,-0.75425730249722,0.45430438818834,-1.51618769376027e-06,6.8864432882857e-07,1
"8 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",5.10507589206895e-07,4.81712682863519e-07,1.05977610174639,0.294442636718728,-4.57530289686723e-07,1.47854546810051e-06,1
"8 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-4.59104426604214e-07,5.21198627178611e-07,-0.880862693536762,0.382692404157152,-1.50649228140811e-06,5.88283428199678e-07,1
"9 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-9.47890034757481e-07,3.45198391237591e-07,-2.74592830910696,0.0087744128292503,-1.64404893755233e-06,-2.51731131962637e-07,1
"9 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",4.90672317043505e-07,4.26875283771012e-07,1.14945122310411,0.256723303196319,-3.70203737780658e-07,1.35154837186767e-06,1
"9 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-1.86254074327742e-07,4.03197887115341e-07,-0.461942089181784,0.646451575907606,-9.9938010801839e-07,6.26871959362907e-07,1
"9 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-8.52711061794931e-07,5.23100145999863e-07,-1.63011054062132,0.110382722289792,-1.90764304564779e-06,2.02220922057929e-07,1
"9 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",1.24493350017256e-06,6.08198597372977e-07,2.04691938710458,0.0468086088506129,1.83841332691731e-08,2.47148286707595e-06,1
"9 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",8.50180501304854e-07,6.46902217797368e-07,1.3142334002187,0.195735413930333,-4.54422154990276e-07,2.15478315759998e-06,1
"10 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-9.38548371605192e-07,2.99995406611498e-07,-3.12854247405407,0.00331823756541378,-1.545346356611e-06,-3.31750386599379e-07,2
"10 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",2.64105927292409e-07,3.20430785698483e-07,0.824221451496003,0.41482622704105,-3.84026513440159e-07,9.12238368024976e-07,2
"10 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-3.49752162593759e-07,3.25687621265344e-07,-1.07388841256822,0.289472364454183,-1.00851755689554e-06,3.09013231708024e-07,2
"10 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-5.85511641606703e-07,2.8985373702263e-07,-2.02002447034516,0.0502881917671212,-1.1717961636211e-06,7.7288040769299e-10,2
"10 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",6.2104697453447e-08,5.48345315530786e-07,0.113258371494121,0.910406731828992,-1.04702839331537e-06,1.17123778822226e-06,2
"10 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-5.73019434829186e-07,4.5152822553999e-07,-1.26906669930524,0.211939080940516,-1.48632147676923e-06,3.40282607110862e-07,2
"5 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-9.00677280556818e-07,3.2380159384413e-07,-2.78157148599577,0.0067443069835613,-1.54506298820991e-06,-2.56291572903725e-07,2
"5 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",3.35768894554155e-07,3.54100076048721e-07,0.948231636380547,0.345867183805062,-3.68912714253823e-07,1.04045050336213e-06,2
"5 years","exp_PSD_low_cns","Stable autocorrelation","Corrected simulation","window_start_year",-4.27022622113846e-07,3.77478296991084e-07,-1.13125079115193,0.261329359423842,-1.17822837327323e-06,3.24183129045532e-07,2
"5 years","exp_PSD_low_nd","Decreasing autocorrelation","Original simulation","window_start_year",-6.09694055447329e-07,3.5076410775411e-07,-1.73818826376253,0.0860252045091166,-1.30773687577774e-06,8.83487648830791e-08,2
"5 years","exp_PSD_low_ni","Increasing autocorrelation","Original simulation","window_start_year",3.63899515285468e-07,4.85990579686246e-07,0.748778948596906,0.456186367663029,-6.03252560422374e-07,1.33105159099331e-06,2
"5 years","exp_PSD_low_ns","Stable autocorrelation","Original simulation","window_start_year",-5.3303976645394e-07,4.56189693461434e-07,-1.16846078307774,0.246091175086732,-1.44088618856482e-06,3.74806655656938e-07,2
"6 years","exp_PSD_low_cnd","Decreasing autocorrelation","Corrected simulation","window_start_year",-9.61781948903518e-07,3.68348246260433e-07,-2.6110669961586,0.0111610271907036,-1.69721295117058e-06,-2.26350946636454e-07,2
"6 years","exp_PSD_low_cni","Increasing autocorrelation","Corrected simulation","window_start_year",3.99438615512943e-07,3.54686866639977e-07,1.12617255692862,0.26417077692169,-3.08716562290119e-07,1.107593793316e-06,2
