"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,NA,NA,NA,0.5,2.1
2,195468,68092,NA,0.5,2.1
3,189379,185955,NA,0.5,2.1
4,NA,NA,NA,0.5,2.1
5,NA,NA,NA,0.5,2.1
6,NA,170888,NA,0.5,2.1
7,186925,172467,NA,0.5,2.1
8,NA,169217,NA,0.5,2.1
9,186457,183267,NA,0.5,2.1
10,176898,188002,NA,0.5,2.1
11,NA,NA,NA,0.5,2.1
12,NA,176965,NA,0.5,2.1
13,176174,150760,NA,0.5,2.1
14,179853,199969,114763,0.5,2.1
15,186808,NA,190109,0.5,2.1
16,NA,176145,NA,0.5,2.1
17,NA,168226,NA,0.5,2.1
18,189598,NA,NA,0.5,2.1
19,NA,NA,NA,0.5,2.1
20,190469,NA,NA,0.5,2.1
21,NA,NA,NA,0.5,2.1
22,NA,189352,NA,0.5,2.1
23,NA,NA,NA,0.5,2.1
24,NA,NA,NA,0.5,2.1
25,NA,188961,NA,0.5,2.1
26,NA,195372,68186,0.5,2.1
27,168016,NA,187226,0.5,2.1
28,193216,182242,NA,0.5,2.1
29,187430,188718,NA,0.5,2.1
30,NA,183964,NA,0.5,2.1
31,187977,NA,NA,0.5,2.1
32,195929,189660,NA,0.5,2.1
33,NA,187814,NA,0.5,2.1
34,NA,NA,NA,0.5,2.1
35,NA,146266,197286,0.5,2.1
36,169881,NA,NA,0.5,2.1
37,NA,179457,NA,0.5,2.1
38,NA,NA,NA,0.5,2.1
39,NA,NA,NA,0.5,2.1
40,191184,NA,175658,0.5,2.1
41,195786,172853,NA,0.5,2.1
42,NA,165526,NA,0.5,2.1
43,NA,NA,NA,0.5,2.1
44,176165,NA,NA,0.5,2.1
45,184378,197100,NA,0.5,2.1
46,NA,184532,NA,0.5,2.1
47,NA,NA,NA,0.5,2.1
48,185334,NA,NA,0.5,2.1
49,NA,198016,195588,0.5,2.1
50,NA,NA,NA,0.5,2.1
51,NA,NA,NA,0.5,2.1
52,180521,186399,NA,0.5,2.1
53,NA,199201,NA,0.5,2.1
54,NA,188698,NA,0.5,2.1
55,NA,196587,NA,0.5,2.1
56,NA,NA,NA,0.5,2.1
57,195368,NA,NA,0.5,2.1
58,NA,188026,197159,0.5,2.1
59,NA,164132,NA,0.5,2.1
60,66517,191598,NA,0.5,2.1
61,171888,180942,NA,0.5,2.1
62,NA,NA,189157,0.5,2.1
63,NA,182240,NA,0.5,2.1
64,NA,186934,NA,0.5,2.1
65,NA,NA,NA,0.5,2.1
66,NA,177954,NA,0.5,2.1
67,32961,NA,NA,0.5,2.1
68,NA,NA,NA,0.5,2.1
69,196463,136535,NA,0.5,2.1
70,NA,182773,NA,0.5,2.1
71,NA,NA,NA,0.5,2.1
72,NA,NA,NA,0.5,2.1
73,185135,NA,NA,0.5,2.1
74,NA,160244,NA,0.5,2.1
75,182270,NA,NA,0.5,2.1
76,191707,NA,134564,0.5,2.1
77,NA,148146,177720,0.5,2.1
78,NA,97480,NA,0.5,2.1
79,NA,NA,NA,0.5,2.1
80,194549,166533,NA,0.5,2.1
81,NA,NA,NA,0.5,2.1
82,NA,NA,NA,0.5,2.1
83,NA,NA,NA,0.5,2.1
84,NA,170880,NA,0.5,2.1
85,196687,186976,NA,0.5,2.1
86,NA,NA,NA,0.5,2.1
87,NA,171774,NA,0.5,2.1
88,196435,175065,NA,0.5,2.1
89,180540,NA,NA,0.5,2.1
90,NA,NA,NA,0.5,2.1
91,NA,188001,NA,0.5,2.1
92,NA,139067,NA,0.5,2.1
93,195237,174860,NA,0.5,2.1
94,199347,NA,NA,0.5,2.1
95,NA,NA,NA,0.5,2.1
96,NA,NA,NA,0.5,2.1
97,NA,187203,NA,0.5,2.1
98,NA,188215,NA,0.5,2.1
99,NA,194072,NA,0.5,2.1
100,NA,160364,NA,0.5,2.1
101,NA,NA,NA,0.5,2.1
102,NA,197757,NA,0.5,2.1
103,NA,185269,NA,0.5,2.1
104,184805,176822,NA,0.5,2.1
105,189225,170367,NA,0.5,2.1
106,NA,NA,NA,0.5,2.1
107,191374,162598,NA,0.5,2.1
108,189678,NA,198002,0.5,2.1
109,NA,196750,187921,0.5,2.1
110,NA,179689,NA,0.5,2.1
111,NA,171980,NA,0.5,2.1
112,NA,NA,NA,0.5,2.1
113,185738,111372,NA,0.5,2.1
114,NA,NA,NA,0.5,2.1
115,94672,NA,NA,0.5,2.1
116,171176,NA,NA,0.5,2.1
117,178277,194894,NA,0.5,2.1
118,NA,NA,NA,0.5,2.1
119,NA,NA,NA,0.5,2.1
120,NA,NA,NA,0.5,2.1
121,193818,NA,187993,0.5,2.1
122,NA,NA,NA,0.5,2.1
123,NA,189992,NA,0.5,2.1
124,153101,119433,NA,0.5,2.1
125,NA,NA,NA,0.5,2.1
126,NA,NA,NA,0.5,2.1
127,NA,137381,NA,0.5,2.1
128,NA,197794,NA,0.5,2.1
129,NA,197439,NA,0.5,2.1
130,NA,NA,NA,0.5,2.1
131,NA,NA,192803,0.5,2.1
132,NA,197809,198759,0.5,2.1
133,183365,NA,NA,0.5,2.1
134,NA,NA,NA,0.5,2.1
135,NA,NA,189885,0.5,2.1
136,NA,192231,NA,0.5,2.1
137,NA,173336,NA,0.5,2.1
138,NA,174379,NA,0.5,2.1
139,NA,188412,NA,0.5,2.1
140,NA,NA,NA,0.5,2.1
141,NA,164248,NA,0.5,2.1
142,NA,176658,NA,0.5,2.1
143,180504,184865,197736,0.5,2.1
144,NA,196087,NA,0.5,2.1
145,NA,NA,NA,0.5,2.1
