"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,157743,164245,109248,0.1,2.1
2,170861,104232,NA,0.1,2.1
3,87028,130702,NA,0.1,2.1
4,86809,104774,190623,0.1,2.1
5,170388,157611,175853,0.1,2.1
6,152027,157771,190973,0.1,2.1
7,75495,181949,NA,0.1,2.1
8,159867,156137,NA,0.1,2.1
9,NA,NA,162455,0.1,2.1
10,180046,163330,163439,0.1,2.1
11,172817,172086,NA,0.1,2.1
12,192897,174718,NA,0.1,2.1
13,197832,169468,198020,0.1,2.1
14,148637,175571,NA,0.1,2.1
15,139907,112587,NA,0.1,2.1
16,194004,153526,121809,0.1,2.1
17,160583,83393,179457,0.1,2.1
18,NA,170498,NA,0.1,2.1
19,130233,184253,172228,0.1,2.1
20,NA,119465,151662,0.1,2.1
21,NA,160300,151940,0.1,2.1
22,169266,139500,NA,0.1,2.1
23,149988,179409,129034,0.1,2.1
24,156001,175190,165514,0.1,2.1
25,166181,64496,161420,0.1,2.1
26,51080,NA,179238,0.1,2.1
27,132834,146860,191315,0.1,2.1
28,NA,156848,197840,0.1,2.1
29,NA,58626,NA,0.1,2.1
30,NA,185603,NA,0.1,2.1
31,160749,151401,107968,0.1,2.1
32,173354,148965,173782,0.1,2.1
33,154868,186147,131903,0.1,2.1
34,166974,178069,NA,0.1,2.1
35,NA,172696,167215,0.1,2.1
36,168590,114710,146605,0.1,2.1
37,132570,171072,159406,0.1,2.1
38,188081,148034,170065,0.1,2.1
39,NA,153359,NA,0.1,2.1
40,NA,139817,186729,0.1,2.1
41,156739,182066,NA,0.1,2.1
42,173585,NA,NA,0.1,2.1
43,NA,158229,161461,0.1,2.1
44,117863,142837,197554,0.1,2.1
45,NA,166551,160014,0.1,2.1
46,151889,172669,NA,0.1,2.1
47,NA,172899,195354,0.1,2.1
48,138014,183772,NA,0.1,2.1
49,160419,134677,155679,0.1,2.1
50,145434,167729,69511,0.1,2.1
51,161975,150394,173953,0.1,2.1
52,138140,150908,NA,0.1,2.1
53,73568,142208,133938,0.1,2.1
54,NA,159355,192407,0.1,2.1
55,145457,172233,177069,0.1,2.1
56,139568,150481,172690,0.1,2.1
57,181966,123724,167466,0.1,2.1
58,139788,82948,NA,0.1,2.1
59,130175,137991,NA,0.1,2.1
60,137307,137303,127540,0.1,2.1
61,157423,143704,185128,0.1,2.1
62,184694,154006,NA,0.1,2.1
63,180369,NA,NA,0.1,2.1
64,103296,188915,180390,0.1,2.1
65,104562,185602,178951,0.1,2.1
66,107403,164333,164030,0.1,2.1
67,176038,185942,180568,0.1,2.1
68,191187,170090,NA,0.1,2.1
69,127838,129339,164119,0.1,2.1
70,111465,149602,164950,0.1,2.1
71,NA,160044,187590,0.1,2.1
72,177720,151622,NA,0.1,2.1
73,182795,NA,68857,0.1,2.1
74,143009,NA,191233,0.1,2.1
75,160933,NA,179660,0.1,2.1
76,125789,NA,NA,0.1,2.1
77,157085,162033,176429,0.1,2.1
78,174318,173741,180469,0.1,2.1
79,143175,127920,196529,0.1,2.1
80,120025,169148,NA,0.1,2.1
81,125177,158258,188763,0.1,2.1
82,126347,168826,193805,0.1,2.1
83,191456,146692,NA,0.1,2.1
84,169042,153323,NA,0.1,2.1
85,168524,160781,135250,0.1,2.1
86,171648,143869,NA,0.1,2.1
87,147812,166806,189184,0.1,2.1
88,166488,180840,NA,0.1,2.1
89,53784,176086,191255,0.1,2.1
90,149355,184108,NA,0.1,2.1
91,181549,158299,149462,0.1,2.1
92,115511,142590,169134,0.1,2.1
93,164919,148174,163410,0.1,2.1
94,163631,145551,NA,0.1,2.1
95,NA,174785,168899,0.1,2.1
96,191652,176265,178907,0.1,2.1
97,170838,164062,NA,0.1,2.1
98,154454,189281,141711,0.1,2.1
99,151207,140037,142300,0.1,2.1
100,58207,NA,174905,0.1,2.1
101,176166,172182,176022,0.1,2.1
102,178383,151169,183676,0.1,2.1
103,66516,123501,146252,0.1,2.1
104,197547,163169,NA,0.1,2.1
105,177784,149778,167494,0.1,2.1
106,184552,183159,NA,0.1,2.1
107,120584,168622,NA,0.1,2.1
108,NA,150194,NA,0.1,2.1
109,166598,170131,138478,0.1,2.1
110,125806,162755,NA,0.1,2.1
111,NA,161985,193750,0.1,2.1
112,NA,167911,NA,0.1,2.1
113,190986,154729,187631,0.1,2.1
114,73847,170565,173716,0.1,2.1
115,64031,183952,144354,0.1,2.1
116,143182,142442,NA,0.1,2.1
117,148639,182552,NA,0.1,2.1
118,153424,172892,147099,0.1,2.1
119,164700,186557,156579,0.1,2.1
120,178519,167302,179687,0.1,2.1
121,NA,NA,NA,0.1,2.1
122,NA,154151,157676,0.1,2.1
123,25924,166308,150277,0.1,2.1
124,186627,142485,198087,0.1,2.1
125,167654,167945,134801,0.1,2.1
126,158876,90212,NA,0.1,2.1
127,179962,145403,187516,0.1,2.1
128,122497,152422,163863,0.1,2.1
129,111870,147932,189422,0.1,2.1
130,NA,175714,177650,0.1,2.1
131,146876,158260,148565,0.1,2.1
132,NA,144057,150634,0.1,2.1
