"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,2,11,163,0.5,0.5
2,21,3,2,0.5,0.5
3,77,2,2,0.5,0.5
4,30,2,2,0.5,0.5
5,66,2,2,0.5,0.5
6,48,2,2,0.5,0.5
7,45,2,2,0.5,0.5
8,2,6,2,0.5,0.5
9,41,81,49,0.5,0.5
10,2,28,2,0.5,0.5
11,116,2,3,0.5,0.5
12,64,2,28,0.5,0.5
13,2,2,2,0.5,0.5
14,2,2,2,0.5,0.5
15,2,30,2,0.5,0.5
16,34,2,2,0.5,0.5
17,2,91,96,0.5,0.5
18,167,8,16,0.5,0.5
19,2,54,2,0.5,0.5
20,2,49,18,0.5,0.5
21,56,25,2,0.5,0.5
22,2,2,122,0.5,0.5
23,211,2,2,0.5,0.5
24,6,2,140,0.5,0.5
25,3,2,2,0.5,0.5
26,2,2,8,0.5,0.5
27,40,2,2,0.5,0.5
28,16,76,56,0.5,0.5
29,2,2,2,0.5,0.5
30,2,2,3,0.5,0.5
31,2,2,7,0.5,0.5
32,2,2,2,0.5,0.5
33,2,2,2,0.5,0.5
34,2,2,2,0.5,0.5
35,3,2,49,0.5,0.5
36,178,17,2,0.5,0.5
37,29,2,2,0.5,0.5
38,2,54,32,0.5,0.5
39,2,2,77,0.5,0.5
40,3,2,2,0.5,0.5
41,115,2,2,0.5,0.5
42,2,2,35,0.5,0.5
43,36,2,77,0.5,0.5
44,2,11,81,0.5,0.5
45,2,94,2,0.5,0.5
46,2,2,4,0.5,0.5
47,60,2,2,0.5,0.5
48,2,2,2,0.5,0.5
49,2,2,56,0.5,0.5
50,2,2,2,0.5,0.5
51,78,2,12,0.5,0.5
52,2,66,2,0.5,0.5
53,2,24,2,0.5,0.5
54,58,328,2,0.5,0.5
55,271,226,7,0.5,0.5
56,2,2,16,0.5,0.5
57,2,25,28,0.5,0.5
58,6,2,2,0.5,0.5
59,2,2,62,0.5,0.5
60,78,11,2,0.5,0.5
61,2,26,67,0.5,0.5
62,39,2,5,0.5,0.5
63,48,2,22,0.5,0.5
64,2,2,38,0.5,0.5
65,2,2,2,0.5,0.5
66,2,81,95,0.5,0.5
67,2,2,79,0.5,0.5
68,2,139,2,0.5,0.5
69,20,2,2,0.5,0.5
70,2,190,2,0.5,0.5
71,128,2,2,0.5,0.5
72,50,2,2,0.5,0.5
73,2,96,2,0.5,0.5
74,2,15,2,0.5,0.5
75,2,42,43,0.5,0.5
76,37,12,3,0.5,0.5
77,3,67,99,0.5,0.5
78,2,149,42,0.5,0.5
79,2,2,2,0.5,0.5
80,94,2,3,0.5,0.5
81,170,2,2,0.5,0.5
82,2,2,160,0.5,0.5
83,8,2,37,0.5,0.5
84,29,82,42,0.5,0.5
85,2,2,2,0.5,0.5
86,46,3,33,0.5,0.5
87,2,2,26,0.5,0.5
88,2,2,6,0.5,0.5
89,2,2,2,0.5,0.5
90,80,23,2,0.5,0.5
91,2,2,104,0.5,0.5
92,2,2,3,0.5,0.5
93,159,570,2,0.5,0.5
94,2,2,2,0.5,0.5
95,70,2,10,0.5,0.5
96,2,71,2,0.5,0.5
97,44,2,5,0.5,0.5
98,2,13,4,0.5,0.5
99,26,65,4,0.5,0.5
100,2,151,2,0.5,0.5
101,3,2,2,0.5,0.5
102,19,2,19,0.5,0.5
103,2,2,2,0.5,0.5
104,20,27,2,0.5,0.5
105,2,10,2,0.5,0.5
106,4,2,2,0.5,0.5
107,50,32,38,0.5,0.5
108,3,2,81,0.5,0.5
109,43,3,2,0.5,0.5
110,2,2,17,0.5,0.5
111,142,83,2,0.5,0.5
112,2,91,2,0.5,0.5
113,2,165,150,0.5,0.5
114,82,2,208,0.5,0.5
115,2,99,54,0.5,0.5
116,2,3,61,0.5,0.5
117,2,2,199,0.5,0.5
118,2,2,2,0.5,0.5
119,2,84,2,0.5,0.5
120,29,2,12,0.5,0.5
