"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,198040,143263,NA,0.1,2.2
2,180248,145331,NA,0.1,2.2
3,NA,170356,160673,0.1,2.2
4,168977,156704,151766,0.1,2.2
5,171056,140618,178142,0.1,2.2
6,182213,169633,NA,0.1,2.2
7,166433,125757,NA,0.1,2.2
8,185652,168197,93657,0.1,2.2
9,170569,NA,180313,0.1,2.2
10,183705,149678,NA,0.1,2.2
11,171710,185530,178741,0.1,2.2
12,163113,149350,149429,0.1,2.2
13,175955,192805,165380,0.1,2.2
14,168418,171366,NA,0.1,2.2
15,176179,175204,172172,0.1,2.2
16,185042,170483,NA,0.1,2.2
17,NA,172171,154809,0.1,2.2
18,166888,161269,NA,0.1,2.2
19,178832,182645,NA,0.1,2.2
20,131859,178226,NA,0.1,2.2
21,NA,177056,NA,0.1,2.2
22,179873,153369,105142,0.1,2.2
23,160312,155934,NA,0.1,2.2
24,182328,160984,177489,0.1,2.2
25,136527,151744,189031,0.1,2.2
26,NA,155274,NA,0.1,2.2
27,161093,172506,NA,0.1,2.2
28,NA,108458,189202,0.1,2.2
29,131386,168466,170133,0.1,2.2
30,176110,177967,191869,0.1,2.2
31,197308,184323,NA,0.1,2.2
32,171018,182398,169644,0.1,2.2
33,85533,137186,NA,0.1,2.2
34,174820,173590,177890,0.1,2.2
35,179724,161811,168223,0.1,2.2
36,172349,148729,NA,0.1,2.2
37,196850,172394,153844,0.1,2.2
38,173835,157344,158557,0.1,2.2
39,169975,194764,165774,0.1,2.2
40,174934,177636,124684,0.1,2.2
41,173987,177985,171166,0.1,2.2
42,166608,169567,199746,0.1,2.2
43,168634,NA,167400,0.1,2.2
44,174896,136811,NA,0.1,2.2
45,182416,151561,173628,0.1,2.2
46,145665,NA,160809,0.1,2.2
47,188012,NA,NA,0.1,2.2
48,166307,179171,166325,0.1,2.2
49,161917,144438,163032,0.1,2.2
50,182033,195087,168018,0.1,2.2
51,175185,151828,NA,0.1,2.2
52,162759,169754,170548,0.1,2.2
53,195504,159491,126478,0.1,2.2
54,150670,155891,198210,0.1,2.2
55,187412,194763,170661,0.1,2.2
56,180778,131597,158004,0.1,2.2
57,183925,162019,144949,0.1,2.2
58,180685,194952,156917,0.1,2.2
59,174705,155006,198593,0.1,2.2
60,NA,190294,177639,0.1,2.2
61,183962,129622,NA,0.1,2.2
62,180125,162113,169133,0.1,2.2
63,198569,183588,177715,0.1,2.2
64,154652,115440,110405,0.1,2.2
65,171478,180951,149110,0.1,2.2
66,NA,NA,148223,0.1,2.2
67,191614,161539,171210,0.1,2.2
68,152954,170424,74926,0.1,2.2
69,195947,91079,154533,0.1,2.2
70,178467,NA,151303,0.1,2.2
71,172553,157896,198363,0.1,2.2
72,162674,149520,142671,0.1,2.2
73,170788,164960,193731,0.1,2.2
74,160151,161908,NA,0.1,2.2
75,172060,159077,NA,0.1,2.2
76,NA,137734,199859,0.1,2.2
77,140383,162932,189565,0.1,2.2
78,166937,145699,196918,0.1,2.2
79,147398,NA,184026,0.1,2.2
80,162835,149188,NA,0.1,2.2
81,191401,186221,NA,0.1,2.2
82,156801,147243,NA,0.1,2.2
83,178235,168425,NA,0.1,2.2
84,191409,183308,143356,0.1,2.2
85,180085,168718,NA,0.1,2.2
86,177019,161492,NA,0.1,2.2
87,NA,150139,194436,0.1,2.2
88,106508,154149,NA,0.1,2.2
89,NA,165415,170880,0.1,2.2
90,169641,173481,NA,0.1,2.2
91,173644,146633,193459,0.1,2.2
92,147723,157850,184319,0.1,2.2
93,176494,187591,NA,0.1,2.2
94,102414,154600,164173,0.1,2.2
95,184194,175276,177731,0.1,2.2
96,167675,165477,182427,0.1,2.2
97,168397,NA,167322,0.1,2.2
98,173558,148981,168031,0.1,2.2
99,164912,187113,NA,0.1,2.2
100,108454,158150,NA,0.1,2.2
101,NA,189935,NA,0.1,2.2
102,176875,154572,NA,0.1,2.2
103,173819,172402,157537,0.1,2.2
104,162083,137509,187099,0.1,2.2
105,171118,74295,177626,0.1,2.2
106,141371,182207,163340,0.1,2.2
107,172021,147864,170629,0.1,2.2
108,NA,154900,191874,0.1,2.2
109,177955,128507,175632,0.1,2.2
110,NA,150502,NA,0.1,2.2
