"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,173427,179716,140997,0.1,1.9
2,152982,144893,195960,0.1,1.9
3,183291,147312,122084,0.1,1.9
4,149509,28127,167425,0.1,1.9
5,80761,171839,138527,0.1,1.9
6,159082,130546,NA,0.1,1.9
7,120369,110258,165146,0.1,1.9
8,140591,139577,NA,0.1,1.9
9,156261,112643,119833,0.1,1.9
10,166213,168445,161238,0.1,1.9
11,159969,158223,NA,0.1,1.9
12,193933,168307,NA,0.1,1.9
13,165852,156007,143111,0.1,1.9
14,164178,36156,NA,0.1,1.9
15,157520,164683,NA,0.1,1.9
16,163612,135884,NA,0.1,1.9
17,142056,168180,142333,0.1,1.9
18,149395,155077,NA,0.1,1.9
19,172145,171154,44105,0.1,1.9
20,179319,166346,NA,0.1,1.9
21,165173,153285,NA,0.1,1.9
22,108095,79163,69715,0.1,1.9
23,129530,162965,182206,0.1,1.9
24,176970,130435,NA,0.1,1.9
25,136795,172030,31972,0.1,1.9
26,65175,148153,166771,0.1,1.9
27,113767,69623,46170,0.1,1.9
28,124645,16324,NA,0.1,1.9
29,146324,162895,156098,0.1,1.9
30,84771,155632,137964,0.1,1.9
31,107506,37174,143436,0.1,1.9
32,149390,176943,120156,0.1,1.9
33,170695,79422,187186,0.1,1.9
34,101803,103166,NA,0.1,1.9
35,131348,129590,86470,0.1,1.9
36,158259,96810,120720,0.1,1.9
37,112929,38989,170208,0.1,1.9
38,139294,145750,41016,0.1,1.9
39,41195,163212,28506,0.1,1.9
40,141646,159994,184067,0.1,1.9
41,168330,105917,NA,0.1,1.9
42,155301,139155,NA,0.1,1.9
43,182181,28474,181351,0.1,1.9
44,169557,52743,143394,0.1,1.9
45,157176,73515,135715,0.1,1.9
46,124770,160863,87466,0.1,1.9
47,NA,130736,37688,0.1,1.9
48,165322,160343,NA,0.1,1.9
49,141827,143748,172433,0.1,1.9
50,165860,166957,NA,0.1,1.9
51,144476,171413,NA,0.1,1.9
52,NA,72419,156101,0.1,1.9
53,25959,153899,156640,0.1,1.9
54,140701,157414,NA,0.1,1.9
55,140763,156131,164939,0.1,1.9
56,NA,NA,150774,0.1,1.9
57,141497,172586,NA,0.1,1.9
58,118521,175590,169009,0.1,1.9
59,91901,79222,154798,0.1,1.9
60,145355,191671,153200,0.1,1.9
61,167346,82605,140553,0.1,1.9
62,33223,175032,192282,0.1,1.9
63,165240,78107,167431,0.1,1.9
64,98877,114180,199731,0.1,1.9
65,162091,141583,NA,0.1,1.9
66,128160,131990,197885,0.1,1.9
67,134223,177670,191251,0.1,1.9
68,143223,171706,178331,0.1,1.9
69,191818,153468,198613,0.1,1.9
70,158313,82252,NA,0.1,1.9
71,123912,141612,188149,0.1,1.9
72,174594,159232,NA,0.1,1.9
73,137237,131635,151875,0.1,1.9
74,186071,142879,78439,0.1,1.9
75,169678,174795,179652,0.1,1.9
76,183697,142235,166396,0.1,1.9
77,146409,120613,128940,0.1,1.9
78,150571,77443,154178,0.1,1.9
79,172937,131585,NA,0.1,1.9
80,164813,143019,132675,0.1,1.9
81,162604,164968,133454,0.1,1.9
82,172282,125013,NA,0.1,1.9
83,NA,35777,NA,0.1,1.9
84,159778,133946,185511,0.1,1.9
85,153833,67115,NA,0.1,1.9
86,185921,152338,NA,0.1,1.9
87,158356,175311,69915,0.1,1.9
88,NA,159227,146628,0.1,1.9
89,127206,156723,113212,0.1,1.9
90,125458,148359,NA,0.1,1.9
91,150657,166023,37227,0.1,1.9
92,NA,170443,NA,0.1,1.9
93,173656,171712,132848,0.1,1.9
94,NA,59773,182208,0.1,1.9
95,157162,151614,161846,0.1,1.9
96,137728,174927,120151,0.1,1.9
97,141355,91501,NA,0.1,1.9
98,68403,98536,NA,0.1,1.9
99,133259,147512,175651,0.1,1.9
100,165092,190912,118794,0.1,1.9
101,49109,148631,NA,0.1,1.9
102,63397,152795,NA,0.1,1.9
103,178921,88886,NA,0.1,1.9
104,149072,166889,188480,0.1,1.9
105,84892,41183,NA,0.1,1.9
106,132544,35829,172040,0.1,1.9
107,110451,119556,192825,0.1,1.9
108,89661,159970,174957,0.1,1.9
109,NA,151873,NA,0.1,1.9
110,22540,152387,176799,0.1,1.9
111,22222,172673,170888,0.1,1.9
112,154360,188917,28702,0.1,1.9
113,145648,163440,166001,0.1,1.9
114,131506,100677,29290,0.1,1.9
115,191148,143895,NA,0.1,1.9
116,90714,161852,183026,0.1,1.9
117,133860,160679,164043,0.1,1.9
118,171485,155890,159002,0.1,1.9
119,163695,163326,126567,0.1,1.9
120,177858,NA,193106,0.1,1.9
121,163948,83882,NA,0.1,1.9
122,102601,153503,NA,0.1,1.9
123,195456,44636,172107,0.1,1.9
124,NA,38083,123545,0.1,1.9
125,148278,128233,100000,0.1,1.9
126,168921,134790,130085,0.1,1.9
127,170028,62603,145950,0.1,1.9
128,127510,NA,NA,0.1,1.9
129,68767,159564,NA,0.1,1.9
130,89371,151116,162487,0.1,1.9
131,151544,64087,117668,0.1,1.9
132,161940,132962,126073,0.1,1.9
133,147963,168544,198411,0.1,1.9
134,117258,132028,145209,0.1,1.9
135,143359,131490,169162,0.1,1.9
136,165772,154015,147484,0.1,1.9
137,110839,154928,166162,0.1,1.9
138,161219,151045,NA,0.1,1.9
139,157890,133151,166252,0.1,1.9
140,171578,152916,109001,0.1,1.9
141,165048,166997,173625,0.1,1.9
142,195654,30231,180870,0.1,1.9
143,165266,172669,192333,0.1,1.9
144,88117,190278,139947,0.1,1.9
145,148484,149277,195816,0.1,1.9
146,127894,163529,177160,0.1,1.9
147,160511,41313,137603,0.1,1.9
148,152595,137037,48890,0.1,1.9
149,161328,94488,165794,0.1,1.9
150,154331,146736,158335,0.1,1.9
151,175495,168289,179649,0.1,1.9
152,149814,189221,47679,0.1,1.9
153,137308,NA,NA,0.1,1.9
154,125669,158749,161376,0.1,1.9
155,168481,160404,199536,0.1,1.9
156,183898,155906,155965,0.1,1.9
157,169868,152288,NA,0.1,1.9
158,153476,161887,198157,0.1,1.9
159,149313,165961,100344,0.1,1.9
160,184804,161369,NA,0.1,1.9
161,134458,161558,122044,0.1,1.9
162,139871,10639,NA,0.1,1.9
163,68389,29796,188501,0.1,1.9
164,NA,124931,143712,0.1,1.9
165,NA,168842,81124,0.1,1.9
166,49901,153102,171572,0.1,1.9
167,42623,62973,31048,0.1,1.9
168,97379,154109,187156,0.1,1.9
169,137515,42400,NA,0.1,1.9
170,131708,141031,172394,0.1,1.9
171,133658,NA,NA,0.1,1.9
172,161757,176328,NA,0.1,1.9
173,160983,143873,118546,0.1,1.9
174,73284,149044,NA,0.1,1.9
175,91515,184536,NA,0.1,1.9
176,88383,154003,185587,0.1,1.9
177,163470,129121,132541,0.1,1.9
178,131785,171642,NA,0.1,1.9
179,163385,174273,117794,0.1,1.9
180,153229,148107,160901,0.1,1.9
181,NA,79442,154377,0.1,1.9
182,164773,155863,36564,0.1,1.9
183,98248,172871,137989,0.1,1.9
184,166727,74312,NA,0.1,1.9
185,97085,167396,118351,0.1,1.9
186,100365,142441,115316,0.1,1.9
187,NA,168384,98325,0.1,1.9
188,96261,48379,120615,0.1,1.9
189,109392,53332,168187,0.1,1.9
190,146354,167103,186373,0.1,1.9
191,96209,84594,NA,0.1,1.9
192,102969,147923,182270,0.1,1.9
193,172121,179645,96056,0.1,1.9
194,NA,152489,164084,0.1,1.9
195,169421,157190,157273,0.1,1.9
196,129998,50558,189550,0.1,1.9
197,181210,162172,151215,0.1,1.9
198,103272,167339,NA,0.1,1.9
199,NA,127584,175497,0.1,1.9
200,148739,144382,131540,0.1,1.9
201,160431,151554,161610,0.1,1.9
202,197312,173487,174870,0.1,1.9
203,171702,104883,51959,0.1,1.9
204,137096,194837,NA,0.1,1.9
205,122184,128992,NA,0.1,1.9
206,191072,160967,76226,0.1,1.9
207,159841,160302,196566,0.1,1.9
208,72012,178893,183269,0.1,1.9
209,125655,143439,NA,0.1,1.9
210,50363,163874,67434,0.1,1.9
211,143353,168465,NA,0.1,1.9
212,80944,172078,131645,0.1,1.9
213,125169,107933,112616,0.1,1.9
214,183192,100363,157673,0.1,1.9
215,NA,134714,NA,0.1,1.9
216,162436,152134,107103,0.1,1.9
217,186429,150614,NA,0.1,1.9
218,179996,156641,NA,0.1,1.9
219,95137,108130,157085,0.1,1.9
220,120893,172361,NA,0.1,1.9
221,199965,153415,86414,0.1,1.9
222,103068,130608,145065,0.1,1.9
223,122809,165201,NA,0.1,1.9
224,170080,102789,73197,0.1,1.9
225,113749,81201,153564,0.1,1.9
226,162328,130585,NA,0.1,1.9
227,86048,139395,73207,0.1,1.9
228,123130,48482,152454,0.1,1.9
229,137189,115087,185102,0.1,1.9
230,144220,149499,169288,0.1,1.9
231,134771,NA,NA,0.1,1.9
232,162160,73876,133124,0.1,1.9
233,160337,129100,173682,0.1,1.9
234,159502,190818,189413,0.1,1.9
235,163703,185530,108473,0.1,1.9
236,177293,151843,118556,0.1,1.9
237,153568,178378,NA,0.1,1.9
238,NA,32276,151550,0.1,1.9
239,162999,157284,196747,0.1,1.9
240,63331,185125,85545,0.1,1.9
241,137615,67626,158848,0.1,1.9
242,73006,116368,NA,0.1,1.9
243,153983,160843,NA,0.1,1.9
244,122399,103090,NA,0.1,1.9
245,150878,79380,191515,0.1,1.9
246,164845,142210,182316,0.1,1.9
247,113806,161419,168115,0.1,1.9
248,168315,55066,66595,0.1,1.9
249,112790,161388,190460,0.1,1.9
250,151763,164514,97312,0.1,1.9
251,170671,173508,NA,0.1,1.9
252,168414,83684,NA,0.1,1.9
253,130327,63374,87175,0.1,1.9
254,34286,152276,191889,0.1,1.9
255,105906,93464,99683,0.1,1.9
256,17970,13751,45842,0.1,1.9
257,189311,125763,138114,0.1,1.9
258,115821,155195,NA,0.1,1.9
259,71190,143830,35751,0.1,1.9
260,178745,187606,119487,0.1,1.9
261,143957,169011,188154,0.1,1.9
262,171321,134912,NA,0.1,1.9
263,186360,110045,150807,0.1,1.9
264,156781,159843,185545,0.1,1.9
265,131554,176859,136345,0.1,1.9
266,88945,176060,170724,0.1,1.9
267,113903,177678,166372,0.1,1.9
268,168877,143567,NA,0.1,1.9
269,153311,103055,99896,0.1,1.9
270,152626,178144,161535,0.1,1.9
271,141317,147694,92249,0.1,1.9
272,160587,124561,167004,0.1,1.9
273,129552,137244,66542,0.1,1.9
274,172485,109412,129548,0.1,1.9
275,137785,89621,NA,0.1,1.9
276,138122,137476,183917,0.1,1.9
277,137048,82936,134513,0.1,1.9
278,133764,134944,194503,0.1,1.9
279,150628,174394,167837,0.1,1.9
280,61499,176667,196935,0.1,1.9
281,14810,86957,NA,0.1,1.9
282,156781,155041,NA,0.1,1.9
283,61157,163662,167155,0.1,1.9
284,122650,111583,167157,0.1,1.9
285,158139,156358,NA,0.1,1.9
286,103659,155037,174415,0.1,1.9
287,50380,34220,93665,0.1,1.9
288,119619,167867,192992,0.1,1.9
289,113224,165698,NA,0.1,1.9
290,98701,48807,106141,0.1,1.9
291,116198,103093,173660,0.1,1.9
292,151220,156612,182956,0.1,1.9
293,46197,148969,156802,0.1,1.9
294,134561,153881,23260,0.1,1.9
295,188891,142282,NA,0.1,1.9
296,187138,155626,195063,0.1,1.9
297,141431,157657,158612,0.1,1.9
298,132429,108979,NA,0.1,1.9
299,149096,119317,127935,0.1,1.9
300,144820,161023,52492,0.1,1.9
301,169148,113708,164128,0.1,1.9
302,193914,180489,107343,0.1,1.9
303,90374,52500,NA,0.1,1.9
304,89885,9641,68513,0.1,1.9
305,148282,179113,196587,0.1,1.9
306,141395,182931,147438,0.1,1.9
307,148290,139379,NA,0.1,1.9
308,128668,124422,97134,0.1,1.9
309,152003,136902,NA,0.1,1.9
310,136791,153678,NA,0.1,1.9
311,127568,124118,NA,0.1,1.9
312,23264,188517,NA,0.1,1.9
313,124846,172243,186323,0.1,1.9
314,158949,175811,169914,0.1,1.9
315,72833,181542,197089,0.1,1.9
316,159057,153597,115771,0.1,1.9
317,155527,177803,NA,0.1,1.9
318,NA,80862,146780,0.1,1.9
319,92514,45010,NA,0.1,1.9
320,89404,133403,139008,0.1,1.9
321,140417,153383,155388,0.1,1.9
322,154427,153133,190094,0.1,1.9
323,179117,160869,NA,0.1,1.9
324,94472,100019,80144,0.1,1.9
325,145707,177899,135956,0.1,1.9
326,111313,40312,149961,0.1,1.9
327,150890,129368,199314,0.1,1.9
328,120710,108194,179010,0.1,1.9
329,NA,177328,119066,0.1,1.9
330,182784,150908,169015,0.1,1.9
331,167980,129640,158383,0.1,1.9
332,156620,NA,192524,0.1,1.9
333,155352,154799,115335,0.1,1.9
334,163036,160583,153928,0.1,1.9
335,123965,130069,NA,0.1,1.9
336,178609,151778,158482,0.1,1.9
337,135449,112293,137361,0.1,1.9
338,178239,NA,150671,0.1,1.9
339,NA,NA,173104,0.1,1.9
340,71885,121307,165288,0.1,1.9
341,136427,149834,83510,0.1,1.9
342,104759,112609,74716,0.1,1.9
343,177991,182712,174396,0.1,1.9
344,NA,105910,124608,0.1,1.9
345,137058,121531,123047,0.1,1.9
346,127510,156346,120704,0.1,1.9
347,116922,150051,169236,0.1,1.9
348,97671,57428,NA,0.1,1.9
349,NA,94779,NA,0.1,1.9
350,151739,24501,161471,0.1,1.9
351,163440,138972,179712,0.1,1.9
352,153406,137297,147543,0.1,1.9
353,174220,113541,159560,0.1,1.9
354,NA,165836,171214,0.1,1.9
355,145249,154813,NA,0.1,1.9
356,144444,169873,149563,0.1,1.9
357,86159,152356,169497,0.1,1.9
358,164610,55329,145276,0.1,1.9
359,165386,155338,NA,0.1,1.9
360,146260,190142,164081,0.1,1.9
361,144332,168887,50971,0.1,1.9
362,NA,162552,192994,0.1,1.9
363,73165,108578,163720,0.1,1.9
364,149474,152647,37878,0.1,1.9
365,134630,158029,159188,0.1,1.9
366,70394,138679,186828,0.1,1.9
367,141052,NA,190876,0.1,1.9
368,175642,183295,150682,0.1,1.9
369,84456,166159,179735,0.1,1.9
370,115343,101466,175664,0.1,1.9
371,54333,150654,192622,0.1,1.9
372,154822,167154,NA,0.1,1.9
373,165816,176694,165827,0.1,1.9
374,173218,160846,36840,0.1,1.9
375,163547,188964,147821,0.1,1.9
376,160184,156260,171830,0.1,1.9
377,172181,162666,95859,0.1,1.9
378,175846,174108,149984,0.1,1.9
379,148167,174522,162736,0.1,1.9
380,60996,154919,147966,0.1,1.9
381,47674,74927,138911,0.1,1.9
382,154861,39918,175508,0.1,1.9
383,160814,141977,116812,0.1,1.9
384,149095,128951,147787,0.1,1.9
385,153001,122465,NA,0.1,1.9
386,129904,133844,185007,0.1,1.9
387,101184,167217,173015,0.1,1.9
388,148302,169687,124621,0.1,1.9
389,153075,138101,162414,0.1,1.9
390,142378,159144,43774,0.1,1.9
391,NA,157222,185731,0.1,1.9
392,180214,153615,147912,0.1,1.9
393,111803,15562,NA,0.1,1.9
394,36406,161655,137706,0.1,1.9
395,167835,81991,162667,0.1,1.9
396,171912,108929,151519,0.1,1.9
397,130143,151797,NA,0.1,1.9
398,161082,153548,166758,0.1,1.9
399,171370,117157,67915,0.1,1.9
400,169457,54775,173601,0.1,1.9
401,81944,35794,NA,0.1,1.9
402,141060,156675,NA,0.1,1.9
403,167652,161376,149099,0.1,1.9
404,119299,113959,163995,0.1,1.9
405,178022,169008,184220,0.1,1.9
406,55892,158602,179193,0.1,1.9
407,90469,160030,NA,0.1,1.9
408,154577,142925,NA,0.1,1.9
409,152126,135835,NA,0.1,1.9
410,NA,164646,148540,0.1,1.9
411,138778,181658,97823,0.1,1.9
412,92799,161407,149976,0.1,1.9
413,112060,181282,NA,0.1,1.9
414,173020,159531,NA,0.1,1.9
415,143711,151441,174655,0.1,1.9
416,179396,140165,97937,0.1,1.9
417,137589,164983,154867,0.1,1.9
418,178132,154873,185780,0.1,1.9
419,173011,72984,NA,0.1,1.9
420,168901,57096,66903,0.1,1.9
421,NA,158067,NA,0.1,1.9
422,179075,157652,NA,0.1,1.9
423,152534,82765,75899,0.1,1.9
424,165141,172762,NA,0.1,1.9
425,161364,188819,167572,0.1,1.9
426,66024,166992,NA,0.1,1.9
427,40429,158677,NA,0.1,1.9
428,97789,176685,63466,0.1,1.9
429,109231,102258,146457,0.1,1.9
430,120214,91286,102696,0.1,1.9
431,68429,184949,147705,0.1,1.9
432,NA,181303,167572,0.1,1.9
433,152402,135608,78222,0.1,1.9
434,50444,141541,100975,0.1,1.9
435,49356,170567,NA,0.1,1.9
436,128746,180957,168750,0.1,1.9
437,113842,161203,197200,0.1,1.9
438,149456,144662,182611,0.1,1.9
439,138017,182450,125299,0.1,1.9
440,165754,172010,NA,0.1,1.9
441,130493,163292,181745,0.1,1.9
442,149194,132664,168670,0.1,1.9
443,NA,176264,173290,0.1,1.9
444,195276,128903,NA,0.1,1.9
445,155153,176924,NA,0.1,1.9
446,167457,155571,193001,0.1,1.9
447,139331,150023,156690,0.1,1.9
448,132897,84569,196629,0.1,1.9
449,116696,165421,NA,0.1,1.9
450,NA,181776,166229,0.1,1.9
451,156616,180915,88881,0.1,1.9
452,136668,122278,181346,0.1,1.9
453,149219,169765,169448,0.1,1.9
454,169595,172812,93397,0.1,1.9
455,NA,188476,NA,0.1,1.9
456,143911,135492,193421,0.1,1.9
