"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,122565,122741,NA,0.5,1.7
2,126812,36848,167518,0.5,1.7
3,NA,105874,NA,0.5,1.7
4,53307,NA,148151,0.5,1.7
5,NA,NA,24219,0.5,1.7
6,174588,125062,28548,0.5,1.7
7,176098,110624,NA,0.5,1.7
8,45641,164781,177177,0.5,1.7
9,195966,160160,48819,0.5,1.7
10,127658,76392,NA,0.5,1.7
11,29967,106113,NA,0.5,1.7
12,NA,70953,25015,0.5,1.7
13,27440,198742,118912,0.5,1.7
14,170379,134390,90060,0.5,1.7
15,154439,135520,NA,0.5,1.7
16,7558,142583,NA,0.5,1.7
17,NA,182270,119898,0.5,1.7
18,161352,142648,118213,0.5,1.7
19,NA,143456,NA,0.5,1.7
20,175354,191457,NA,0.5,1.7
21,82601,115145,NA,0.5,1.7
22,163560,118177,166062,0.5,1.7
23,74229,41813,NA,0.5,1.7
24,47826,138335,109178,0.5,1.7
25,NA,48174,NA,0.5,1.7
26,167129,66106,168817,0.5,1.7
27,181506,74106,NA,0.5,1.7
28,47917,78414,141185,0.5,1.7
29,184522,59461,NA,0.5,1.7
30,NA,174735,NA,0.5,1.7
31,62644,90050,42911,0.5,1.7
32,73458,154221,NA,0.5,1.7
33,179225,153925,100997,0.5,1.7
34,123078,121149,135673,0.5,1.7
35,166374,117275,NA,0.5,1.7
36,180234,155150,NA,0.5,1.7
37,113938,146882,NA,0.5,1.7
38,NA,84705,92884,0.5,1.7
39,199947,97213,173879,0.5,1.7
40,79926,NA,36713,0.5,1.7
41,22179,145022,185491,0.5,1.7
42,25689,68778,NA,0.5,1.7
43,NA,172217,181479,0.5,1.7
44,39066,134753,NA,0.5,1.7
45,190086,192112,NA,0.5,1.7
46,145827,142572,NA,0.5,1.7
47,80300,160627,112344,0.5,1.7
48,175954,25810,76180,0.5,1.7
49,153992,NA,NA,0.5,1.7
50,25620,180530,NA,0.5,1.7
51,182456,130431,198557,0.5,1.7
52,183055,52403,NA,0.5,1.7
53,NA,179026,NA,0.5,1.7
54,101992,187337,43363,0.5,1.7
55,116778,NA,161153,0.5,1.7
56,174289,123978,NA,0.5,1.7
57,NA,115559,99214,0.5,1.7
58,137574,86851,123728,0.5,1.7
59,98149,182606,NA,0.5,1.7
60,178864,158255,NA,0.5,1.7
61,163560,NA,92260,0.5,1.7
62,43913,173970,43805,0.5,1.7
63,114380,175911,NA,0.5,1.7
64,24874,150243,NA,0.5,1.7
65,137056,141167,NA,0.5,1.7
66,120581,118780,NA,0.5,1.7
67,170534,157500,188330,0.5,1.7
68,47018,48294,NA,0.5,1.7
69,NA,NA,135894,0.5,1.7
70,36181,91589,NA,0.5,1.7
71,122199,190421,170234,0.5,1.7
72,NA,54456,NA,0.5,1.7
73,81333,151700,187835,0.5,1.7
74,143370,163461,NA,0.5,1.7
75,106021,NA,140669,0.5,1.7
76,188175,161358,NA,0.5,1.7
77,160546,174142,69579,0.5,1.7
78,82042,73951,NA,0.5,1.7
79,28440,63405,NA,0.5,1.7
80,109994,NA,183691,0.5,1.7
81,117868,109943,191929,0.5,1.7
82,164670,140526,124356,0.5,1.7
83,180942,155359,NA,0.5,1.7
84,90743,166545,NA,0.5,1.7
85,NA,51801,NA,0.5,1.7
86,163796,57738,NA,0.5,1.7
87,180096,119417,72264,0.5,1.7
88,169481,96108,NA,0.5,1.7
89,NA,154964,85921,0.5,1.7
90,50247,121082,183258,0.5,1.7
91,82908,86876,192506,0.5,1.7
92,NA,72543,NA,0.5,1.7
93,117468,136574,45983,0.5,1.7
94,159694,130845,NA,0.5,1.7
95,37193,143838,195237,0.5,1.7
96,58738,150197,NA,0.5,1.7
97,185359,154986,NA,0.5,1.7
98,60059,145376,170300,0.5,1.7
99,134663,176804,NA,0.5,1.7
100,154817,30886,164660,0.5,1.7
101,123422,15009,NA,0.5,1.7
102,137266,162876,NA,0.5,1.7
103,154281,NA,NA,0.5,1.7
104,181023,82301,90161,0.5,1.7
105,54509,121854,173939,0.5,1.7
106,103836,124899,NA,0.5,1.7
107,179010,155856,67647,0.5,1.7
108,47254,146751,NA,0.5,1.7
109,145237,NA,40057,0.5,1.7
110,55226,178407,NA,0.5,1.7
111,101045,40165,NA,0.5,1.7
112,NA,184687,NA,0.5,1.7
113,173924,33101,172897,0.5,1.7
114,84793,171717,NA,0.5,1.7
115,NA,149550,166074,0.5,1.7
116,NA,197397,NA,0.5,1.7
117,165507,172007,NA,0.5,1.7
118,119034,170091,NA,0.5,1.7
119,NA,162805,44006,0.5,1.7
120,101040,18595,182031,0.5,1.7
121,180717,79004,NA,0.5,1.7
122,41558,81894,NA,0.5,1.7
123,83410,176613,161519,0.5,1.7
124,123109,113864,54389,0.5,1.7
125,182198,183082,NA,0.5,1.7
126,157308,93856,150425,0.5,1.7
127,NA,163261,24330,0.5,1.7
128,NA,105826,75147,0.5,1.7
129,107743,26113,185719,0.5,1.7
130,NA,184281,71128,0.5,1.7
131,165396,NA,151673,0.5,1.7
132,163406,148192,NA,0.5,1.7
133,41131,36499,180243,0.5,1.7
134,174672,182831,NA,0.5,1.7
135,166438,68951,NA,0.5,1.7
136,55548,80300,NA,0.5,1.7
137,71532,52647,114106,0.5,1.7
138,43912,154445,39418,0.5,1.7
139,80959,171353,146622,0.5,1.7
140,79369,129543,178973,0.5,1.7
141,172529,171063,NA,0.5,1.7
142,75559,27664,187984,0.5,1.7
143,NA,NA,153182,0.5,1.7
144,184670,164185,NA,0.5,1.7
145,199101,70877,NA,0.5,1.7
146,181855,NA,171375,0.5,1.7
147,175209,70408,NA,0.5,1.7
148,140449,82919,179321,0.5,1.7
149,157006,NA,189223,0.5,1.7
150,18962,NA,NA,0.5,1.7
151,100533,181691,64347,0.5,1.7
152,122605,64241,163634,0.5,1.7
153,160078,171605,158863,0.5,1.7
154,36726,120709,20357,0.5,1.7
155,190862,163717,166678,0.5,1.7
156,NA,154762,154369,0.5,1.7
157,80785,152847,98425,0.5,1.7
158,83057,159022,135347,0.5,1.7
159,22753,186627,NA,0.5,1.7
160,116646,186218,NA,0.5,1.7
161,NA,NA,NA,0.5,1.7
162,141576,40850,55892,0.5,1.7
163,133614,NA,50511,0.5,1.7
164,NA,171908,174140,0.5,1.7
165,137964,NA,NA,0.5,1.7
166,NA,41509,NA,0.5,1.7
167,176380,165337,NA,0.5,1.7
168,62724,86816,175464,0.5,1.7
169,193025,156880,NA,0.5,1.7
170,NA,104119,12265,0.5,1.7
171,69321,50282,34037,0.5,1.7
172,175201,35579,79264,0.5,1.7
173,173765,NA,61121,0.5,1.7
174,61467,162873,179690,0.5,1.7
175,164062,162101,22668,0.5,1.7
176,76634,172363,NA,0.5,1.7
177,75466,NA,NA,0.5,1.7
178,107882,136295,191960,0.5,1.7
179,181560,161720,NA,0.5,1.7
180,11379,170159,176272,0.5,1.7
181,190042,NA,NA,0.5,1.7
182,142736,83978,129703,0.5,1.7
183,121254,102740,NA,0.5,1.7
184,177152,64292,NA,0.5,1.7
185,74011,150054,182463,0.5,1.7
186,151542,67458,NA,0.5,1.7
187,82468,93166,NA,0.5,1.7
188,151746,85164,184011,0.5,1.7
189,69045,174092,193930,0.5,1.7
190,22839,132345,119814,0.5,1.7
191,188926,NA,NA,0.5,1.7
192,52150,152530,194539,0.5,1.7
193,198038,147341,170419,0.5,1.7
194,181716,160083,NA,0.5,1.7
195,43708,76157,97501,0.5,1.7
196,161218,185080,NA,0.5,1.7
197,189334,161616,120359,0.5,1.7
198,84694,177707,NA,0.5,1.7
199,NA,171810,181433,0.5,1.7
200,164321,184134,NA,0.5,1.7
201,NA,53505,148217,0.5,1.7
202,NA,147194,73499,0.5,1.7
203,108878,165319,NA,0.5,1.7
204,138659,106394,NA,0.5,1.7
205,170763,174192,NA,0.5,1.7
206,49755,187868,NA,0.5,1.7
207,71201,162096,NA,0.5,1.7
208,188610,NA,120200,0.5,1.7
209,166852,141950,90699,0.5,1.7
210,40524,NA,173835,0.5,1.7
211,81066,41415,NA,0.5,1.7
212,176453,101514,9704,0.5,1.7
213,157075,183750,82085,0.5,1.7
214,76021,159086,NA,0.5,1.7
215,143829,137343,NA,0.5,1.7
216,163438,97889,NA,0.5,1.7
217,174966,26135,NA,0.5,1.7
218,169550,6071,NA,0.5,1.7
219,74293,93475,186852,0.5,1.7
220,118306,187602,160209,0.5,1.7
