"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,1515,2199,618,0.1,1
2,382,30,718,0.1,1
3,99,131924,150068,0.1,1
4,30802,19693,120581,0.1,1
5,10740,68393,15613,0.1,1
6,1303,662,26685,0.1,1
7,81032,73178,52055,0.1,1
8,555,71682,71780,0.1,1
9,84,60911,82417,0.1,1
10,529,40081,12641,0.1,1
11,152047,160784,15011,0.1,1
12,28447,9799,92656,0.1,1
13,140120,45686,5467,0.1,1
14,21209,128766,41821,0.1,1
15,8025,140086,90695,0.1,1
16,146794,74,494,0.1,1
17,13534,70890,11484,0.1,1
18,160058,72130,21489,0.1,1
19,113301,12865,162,0.1,1
20,126,12196,81705,0.1,1
21,50910,21,2216,0.1,1
22,1642,38162,150,0.1,1
23,101098,11586,102083,0.1,1
24,100012,1810,1056,0.1,1
25,25864,83723,34507,0.1,1
26,116304,10715,134498,0.1,1
27,6800,39080,70930,0.1,1
28,34437,122350,153011,0.1,1
29,36471,111,44731,0.1,1
30,137588,6571,482,0.1,1
31,88372,121588,5893,0.1,1
32,32489,90128,7593,0.1,1
33,52699,82687,33004,0.1,1
34,17987,10172,20606,0.1,1
35,70731,3732,1317,0.1,1
36,1950,71859,3149,0.1,1
37,151255,758,43570,0.1,1
38,40202,57,7919,0.1,1
39,61,140511,143,0.1,1
40,73645,7390,1716,0.1,1
41,55144,109111,2668,0.1,1
42,2049,5698,10420,0.1,1
43,32,110721,120685,0.1,1
44,66,10076,44869,0.1,1
45,34,150449,27642,0.1,1
46,29,150694,745,0.1,1
47,87364,85,30324,0.1,1
48,714,502,11770,0.1,1
49,194,122899,71091,0.1,1
50,36994,92909,2332,0.1,1
51,141921,71111,13714,0.1,1
52,62,3336,346,0.1,1
53,92694,43,4075,0.1,1
54,5723,489,975,0.1,1
55,130547,18325,77,0.1,1
56,91,18835,8663,0.1,1
57,75,31528,20398,0.1,1
58,150253,93397,217,0.1,1
59,41,370,24154,0.1,1
60,13151,2522,26715,0.1,1
61,164,27513,2941,0.1,1
62,1698,623,1113,0.1,1
63,131689,74765,542,0.1,1
64,12237,67861,10231,0.1,1
65,142928,21,1056,0.1,1
66,1766,2694,21936,0.1,1
67,93704,2517,8250,0.1,1
68,1334,14727,40766,0.1,1
69,37,3269,18926,0.1,1
70,25730,20480,70466,0.1,1
71,58564,784,110364,0.1,1
72,77012,57822,73364,0.1,1
73,1747,62654,41792,0.1,1
74,70938,19696,158,0.1,1
75,72003,6970,5515,0.1,1
76,70873,2876,2199,0.1,1
77,172,10521,2910,0.1,1
78,1853,60075,120143,0.1,1
79,6108,98462,633,0.1,1
80,106,29,521,0.1,1
81,31984,47222,NA,0.1,1
82,91395,140955,28760,0.1,1
83,39422,57,30085,0.1,1
84,50240,52,10248,0.1,1
85,140861,101580,23860,0.1,1
86,20332,136811,2292,0.1,1
87,140905,109,128319,0.1,1
88,14711,322,120542,0.1,1
89,79679,62742,23898,0.1,1
90,155622,25,150564,0.1,1
91,91275,42932,24140,0.1,1
92,348,120463,33833,0.1,1
93,4354,90686,41157,0.1,1
94,54010,51626,145417,0.1,1
95,40283,21,905,0.1,1
96,867,73144,60105,0.1,1
97,19,11249,102661,0.1,1
98,144412,46121,11091,0.1,1
99,120845,1925,30146,0.1,1
100,112,111030,118415,0.1,1
101,57201,16316,588,0.1,1
102,506,193,52981,0.1,1
103,183,6041,151161,0.1,1
104,71333,8727,48523,0.1,1
105,47796,14165,5693,0.1,1
106,100743,5643,419,0.1,1
107,70525,63,20234,0.1,1
108,101,1610,141477,0.1,1
109,32772,22,90135,0.1,1
110,138283,4122,174,0.1,1
111,60,393,21219,0.1,1
112,10058,105145,54336,0.1,1
113,308,20,332,0.1,1
114,122449,10878,10236,0.1,1
115,57,150161,150713,0.1,1
116,971,134676,1308,0.1,1
117,2669,137,155430,0.1,1
118,40333,25303,31223,0.1,1
119,50754,150458,21977,0.1,1
120,40115,50234,378,0.1,1
121,667,1936,328,0.1,1
122,90,50655,54144,0.1,1
123,77353,34,10031,0.1,1
124,123042,151238,5550,0.1,1
125,717,85471,12935,0.1,1
126,133070,151228,38914,0.1,1
127,51,3210,675,0.1,1
128,40,2183,4490,0.1,1
129,62967,11075,1115,0.1,1
130,20183,383,165903,0.1,1
131,44356,55,50684,0.1,1
132,84159,25895,987,0.1,1
133,32868,405,77410,0.1,1
134,30252,106252,1371,0.1,1
135,60790,40068,16985,0.1,1
136,7338,63686,18490,0.1,1
137,131,93466,82125,0.1,1
138,87,161549,14106,0.1,1
139,67,98413,6815,0.1,1
140,469,152084,5466,0.1,1
141,57,86831,3578,0.1,1
142,141478,85,121346,0.1,1
143,70131,326,4317,0.1,1
144,10472,1987,80364,0.1,1
145,358,29174,2581,0.1,1
146,109131,50959,54148,0.1,1
147,81462,142969,80162,0.1,1
148,17260,961,1795,0.1,1
149,123351,56465,150623,0.1,1
150,140238,90364,4472,0.1,1
151,3674,137861,55224,0.1,1
152,137645,90799,104065,0.1,1
153,5170,128568,160229,0.1,1
154,75924,10093,133154,0.1,1
155,47,10281,129061,0.1,1
156,103495,152044,3244,0.1,1
157,12121,37,138313,0.1,1
158,40056,6943,20846,0.1,1
159,967,133246,151905,0.1,1
160,110470,192,11547,0.1,1
161,51185,103791,68502,0.1,1
162,143797,171,1811,0.1,1
163,110356,2059,40029,0.1,1
164,143153,74514,1352,0.1,1
165,40079,70,16708,0.1,1
166,103254,68909,130657,0.1,1
167,90409,142970,685,0.1,1
168,36,70242,28932,0.1,1
169,67835,48,160015,0.1,1
170,26,70133,69743,0.1,1
171,10236,132308,48321,0.1,1
172,691,125998,151609,0.1,1
173,131238,1634,3348,0.1,1
174,2145,51165,1093,0.1,1
175,135579,107079,12002,0.1,1
176,134545,76,2317,0.1,1
177,49904,64594,40159,0.1,1
178,389,2521,13752,0.1,1
179,56,17739,28927,0.1,1
180,863,13337,486,0.1,1
181,5544,46,1815,0.1,1
182,7469,105,78676,0.1,1
183,62,22,3058,0.1,1
184,120519,46,110084,0.1,1
185,135814,152030,513,0.1,1
186,1603,50973,9162,0.1,1
187,32,11166,85880,0.1,1
188,23336,90764,422,0.1,1
189,11247,50239,18464,0.1,1
190,155,125729,21833,0.1,1
191,23529,5594,131025,0.1,1
192,539,97693,41503,0.1,1
193,121709,41152,92056,0.1,1
194,76,45,13339,0.1,1
195,121846,39744,70514,0.1,1
196,32,621,NA,0.1,1
197,73,23,1413,0.1,1
198,1518,66087,15546,0.1,1
199,104142,37394,11829,0.1,1
200,100072,83,2020,0.1,1
201,90233,44660,2685,0.1,1
202,105,10014,2856,0.1,1
203,248,156656,2700,0.1,1
204,10105,44,8397,0.1,1
205,116,32466,283,0.1,1
206,48,71,30796,0.1,1
207,63222,6597,88904,0.1,1
208,10623,31,596,0.1,1
209,80975,100905,388,0.1,1
210,22183,145,61583,0.1,1
211,95320,13714,102446,0.1,1
212,115,72366,9856,0.1,1
213,21517,95974,1410,0.1,1
214,9257,4476,30621,0.1,1
215,62,205,144788,0.1,1
216,31580,126553,475,0.1,1
217,63567,26465,149,0.1,1
218,60148,50073,446,0.1,1
219,5158,41331,51242,0.1,1
220,30058,30,42309,0.1,1
221,54187,89744,22859,0.1,1
222,32,3813,10986,0.1,1
223,27,1235,50781,0.1,1
224,115683,133094,12623,0.1,1
225,41,50,116888,0.1,1
226,6322,87501,127677,0.1,1
227,83622,103326,467,0.1,1
228,25271,17547,86957,0.1,1
229,60727,22906,13085,0.1,1
230,41,81031,953,0.1,1
231,100241,102894,93,0.1,1
232,6996,74,99280,0.1,1
233,1141,11530,105353,0.1,1
234,562,73717,437,0.1,1
235,6814,149924,269,0.1,1
236,11247,90105,10377,0.1,1
237,21077,5229,71824,0.1,1
238,314,8476,42841,0.1,1
