"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,152031,118858,88188,0.9,1.4
2,123431,1662,96674,0.9,1.4
3,51933,8287,163529,0.9,1.4
4,183062,10237,NA,0.9,1.4
5,23565,173584,160147,0.9,1.4
6,33997,12547,7880,0.9,1.4
7,182255,140901,186683,0.9,1.4
8,124048,107821,140563,0.9,1.4
9,146192,80820,94554,0.9,1.4
10,22243,4672,74439,0.9,1.4
11,40204,49528,20305,0.9,1.4
12,100389,89520,138236,0.9,1.4
13,3998,176476,185654,0.9,1.4
14,80364,32216,NA,0.9,1.4
15,9796,33256,60934,0.9,1.4
16,118987,77696,74483,0.9,1.4
17,119818,42168,NA,0.9,1.4
18,2343,161591,35432,0.9,1.4
19,79440,6770,177271,0.9,1.4
20,73289,84120,160983,0.9,1.4
21,38247,119533,135153,0.9,1.4
22,27265,61678,27475,0.9,1.4
23,34154,68635,7457,0.9,1.4
24,70279,63368,86411,0.9,1.4
25,11291,57559,5920,0.9,1.4
26,44227,123720,4959,0.9,1.4
27,151403,131913,9583,0.9,1.4
28,41084,9174,44574,0.9,1.4
29,25420,94159,106141,0.9,1.4
30,163834,134070,140061,0.9,1.4
31,101233,11427,102988,0.9,1.4
32,14739,2309,23877,0.9,1.4
33,88157,6459,1930,0.9,1.4
34,180064,NA,79153,0.9,1.4
35,93125,4660,78838,0.9,1.4
36,12767,132610,74099,0.9,1.4
37,16215,20726,141873,0.9,1.4
38,106332,32925,13937,0.9,1.4
39,87155,103488,32610,0.9,1.4
40,32593,64560,69568,0.9,1.4
41,21184,71110,112748,0.9,1.4
42,103609,181417,178174,0.9,1.4
43,31143,117472,26212,0.9,1.4
44,160113,25540,10951,0.9,1.4
45,88364,151486,168987,0.9,1.4
46,8860,18158,30826,0.9,1.4
47,9754,87037,42306,0.9,1.4
48,60606,144762,170257,0.9,1.4
49,2924,40239,NA,0.9,1.4
50,164465,147110,50085,0.9,1.4
51,41331,137329,171012,0.9,1.4
52,144412,5642,177041,0.9,1.4
53,107094,16251,23040,0.9,1.4
54,161807,114944,68838,0.9,1.4
55,62243,110856,135001,0.9,1.4
56,79147,136811,95600,0.9,1.4
57,88925,125618,13648,0.9,1.4
58,103157,110771,46753,0.9,1.4
59,169347,4896,60250,0.9,1.4
60,48549,140804,34990,0.9,1.4
61,166185,144838,97321,0.9,1.4
62,6338,139984,43020,0.9,1.4
63,10147,159998,72111,0.9,1.4
64,60942,54287,23496,0.9,1.4
65,2036,171041,36799,0.9,1.4
66,28561,18548,179059,0.9,1.4
67,26309,49933,193456,0.9,1.4
68,125529,162947,86732,0.9,1.4
69,8382,6417,153216,0.9,1.4
70,41498,83027,83808,0.9,1.4
71,45117,116189,140860,0.9,1.4
72,163308,157537,3511,0.9,1.4
73,40194,144042,149777,0.9,1.4
74,39505,111946,NA,0.9,1.4
75,144248,60152,197057,0.9,1.4
76,9866,172030,7487,0.9,1.4
77,32097,163640,26518,0.9,1.4
78,29439,9888,144110,0.9,1.4
79,24648,98275,50260,0.9,1.4
80,3558,7965,117936,0.9,1.4
81,22441,NA,50438,0.9,1.4
82,55643,133451,116855,0.9,1.4
83,137104,43786,11536,0.9,1.4
84,145131,33094,25072,0.9,1.4
85,15033,42265,52238,0.9,1.4
86,27482,100517,17180,0.9,1.4
87,134041,7552,103095,0.9,1.4
88,105827,28950,12884,0.9,1.4
89,130119,46746,110554,0.9,1.4
90,41013,156280,33546,0.9,1.4
91,7714,155654,22191,0.9,1.4
92,37800,28561,36940,0.9,1.4
93,16993,39617,NA,0.9,1.4
94,135970,176484,86615,0.9,1.4
95,33431,69636,46141,0.9,1.4
96,160320,100952,130027,0.9,1.4
97,59853,30014,174285,0.9,1.4
98,7508,113403,14086,0.9,1.4
99,62729,81757,154797,0.9,1.4
100,126786,25601,111080,0.9,1.4
101,170264,28394,55435,0.9,1.4
102,6796,152901,54256,0.9,1.4
103,98115,10387,105407,0.9,1.4
104,91037,162920,178163,0.9,1.4
105,32094,29167,40969,0.9,1.4
106,62798,163220,129787,0.9,1.4
107,110594,170851,8170,0.9,1.4
108,124235,72655,7547,0.9,1.4
109,112026,18528,NA,0.9,1.4
110,28100,20072,24914,0.9,1.4
111,99244,71545,33447,0.9,1.4
112,90695,152450,118175,0.9,1.4
113,26160,163240,137925,0.9,1.4
114,92709,42919,154722,0.9,1.4
115,110396,32976,63406,0.9,1.4
116,149688,153943,81410,0.9,1.4
117,83106,98970,133091,0.9,1.4
118,33167,117289,116892,0.9,1.4
119,8858,101574,26792,0.9,1.4
120,161550,11463,25904,0.9,1.4
121,15743,17104,51438,0.9,1.4
122,75226,166065,40040,0.9,1.4
123,12824,40491,92341,0.9,1.4
124,60449,134640,17222,0.9,1.4
125,155699,128261,121052,0.9,1.4
126,164247,68752,71727,0.9,1.4
127,135908,120668,30368,0.9,1.4
128,87459,108416,70478,0.9,1.4
129,122439,108007,82080,0.9,1.4
130,109776,3020,150807,0.9,1.4
131,63223,40503,40167,0.9,1.4
132,76092,73480,22995,0.9,1.4
133,12317,141840,43130,0.9,1.4
134,79212,112114,13756,0.9,1.4
135,60260,5687,20875,0.9,1.4
136,132685,95688,25436,0.9,1.4
137,113239,29739,4998,0.9,1.4
138,6683,50462,164419,0.9,1.4
139,161006,50063,101652,0.9,1.4
140,111867,147409,30539,0.9,1.4
141,24959,5403,152172,0.9,1.4
142,13856,38445,17308,0.9,1.4
143,151391,175101,179088,0.9,1.4
144,100333,73927,37769,0.9,1.4
145,160505,90740,25281,0.9,1.4
146,71833,136910,35152,0.9,1.4
147,128473,52995,41166,0.9,1.4
148,157072,41055,6279,0.9,1.4
149,3997,75514,66888,0.9,1.4
150,40315,18767,102189,0.9,1.4
151,112579,170851,151424,0.9,1.4
152,72924,144502,22235,0.9,1.4
153,147513,106680,127477,0.9,1.4
154,115349,85654,182135,0.9,1.4
155,7863,148257,170210,0.9,1.4
156,46778,156817,15768,0.9,1.4
157,5076,17019,172029,0.9,1.4
158,156664,124664,7089,0.9,1.4
159,136825,93874,15323,0.9,1.4
160,68030,76214,91234,0.9,1.4
161,108107,148003,78719,0.9,1.4
162,6692,155344,101835,0.9,1.4
163,30139,189463,135858,0.9,1.4
164,43814,121723,NA,0.9,1.4
165,11757,2472,30238,0.9,1.4
166,16021,NA,184871,0.9,1.4
167,135488,159276,47480,0.9,1.4
168,99920,49047,141029,0.9,1.4
169,60011,74076,NA,0.9,1.4
170,151655,71555,40917,0.9,1.4
171,187445,22619,51283,0.9,1.4
172,156017,5252,96486,0.9,1.4
173,40383,42974,182709,0.9,1.4
174,157885,54181,141965,0.9,1.4
175,3131,129315,132663,0.9,1.4
176,144612,63231,34714,0.9,1.4
177,4118,9153,168238,0.9,1.4
178,159142,158645,5511,0.9,1.4
179,2864,117102,175515,0.9,1.4
180,60883,15302,37919,0.9,1.4
181,40498,18354,169220,0.9,1.4
182,124115,130914,171581,0.9,1.4
183,151503,7397,17014,0.9,1.4
184,81943,108574,82594,0.9,1.4
185,70056,120951,118283,0.9,1.4
186,133783,155771,44683,0.9,1.4
187,30117,77944,183142,0.9,1.4
188,177703,36343,39699,0.9,1.4
189,168460,76300,35084,0.9,1.4
190,51276,160008,25470,0.9,1.4
191,136196,90587,70650,0.9,1.4
192,39642,131444,62354,0.9,1.4
193,21084,17978,36760,0.9,1.4
194,85334,65050,13003,0.9,1.4
195,174216,63674,170508,0.9,1.4
196,161580,151828,37865,0.9,1.4
197,47417,152541,24249,0.9,1.4
198,164303,50386,123807,0.9,1.4
199,31923,171628,65699,0.9,1.4
200,110135,41815,29527,0.9,1.4
201,101872,25279,67189,0.9,1.4
202,22234,16275,20793,0.9,1.4
203,72332,10474,160925,0.9,1.4
204,90101,44848,18037,0.9,1.4
205,39169,116521,111248,0.9,1.4
206,37956,23456,160460,0.9,1.4
207,61279,135948,194099,0.9,1.4
208,81766,45262,123705,0.9,1.4
209,171558,10732,10093,0.9,1.4
210,52861,26803,67772,0.9,1.4
211,10582,95178,143870,0.9,1.4
212,23554,12086,112214,0.9,1.4
213,40220,32298,138441,0.9,1.4
214,154421,104705,171107,0.9,1.4
215,33062,120619,83181,0.9,1.4
216,124944,136994,NA,0.9,1.4
217,5655,89922,57512,0.9,1.4
218,2291,6662,165075,0.9,1.4
219,5293,163409,96630,0.9,1.4
220,37377,85929,176719,0.9,1.4
221,154655,4914,80914,0.9,1.4
222,50759,108031,164952,0.9,1.4
223,59445,7274,4671,0.9,1.4
224,161845,71140,97868,0.9,1.4
225,12562,149455,NA,0.9,1.4
226,35667,73596,130411,0.9,1.4
227,122274,154519,149707,0.9,1.4
228,41920,71140,54415,0.9,1.4
229,57885,126560,167264,0.9,1.4
230,167367,140428,42920,0.9,1.4
231,163156,110949,145035,0.9,1.4
232,154623,11325,NA,0.9,1.4
233,29356,NA,10673,0.9,1.4
234,21139,114973,8762,0.9,1.4
235,12021,90808,21730,0.9,1.4
236,50989,4186,150303,0.9,1.4
237,156935,160025,133820,0.9,1.4
238,157257,143879,NA,0.9,1.4
239,96244,134220,156619,0.9,1.4
240,5572,158046,83412,0.9,1.4
241,160562,109647,83146,0.9,1.4
242,106956,121069,26940,0.9,1.4
243,37168,32412,121269,0.9,1.4
244,94174,101989,132143,0.9,1.4
245,10053,150311,21392,0.9,1.4
246,103880,4472,77403,0.9,1.4
247,28828,33194,158154,0.9,1.4
248,124169,85110,93052,0.9,1.4
249,121918,89571,184621,0.9,1.4
250,159224,62657,176707,0.9,1.4
251,52225,168337,28436,0.9,1.4
252,134314,137083,89332,0.9,1.4
253,88188,55685,70030,0.9,1.4
254,4659,161943,5184,0.9,1.4
255,71522,19709,36043,0.9,1.4
256,62755,12527,34877,0.9,1.4
257,98331,35139,18615,0.9,1.4
258,136737,148387,143555,0.9,1.4
259,109396,75113,184170,0.9,1.4
260,13994,171016,NA,0.9,1.4
261,40613,121235,32676,0.9,1.4
262,152465,138588,41083,0.9,1.4
263,27542,11478,4481,0.9,1.4
264,90815,151093,NA,0.9,1.4
265,13003,147560,41196,0.9,1.4
266,35051,158738,6903,0.9,1.4
267,159962,10199,21260,0.9,1.4
268,11430,144844,87177,0.9,1.4
269,20733,114150,167634,0.9,1.4
270,29142,13779,170713,0.9,1.4
271,177211,45361,10385,0.9,1.4
272,21118,56803,69621,0.9,1.4
273,110863,56300,23794,0.9,1.4
274,11092,15588,26607,0.9,1.4
275,129348,38741,56083,0.9,1.4
276,26329,9139,152068,0.9,1.4
277,61491,22755,160732,0.9,1.4
278,5053,150108,117517,0.9,1.4
279,68338,163219,130026,0.9,1.4
280,13707,57408,101162,0.9,1.4
281,47259,25070,67024,0.9,1.4
282,81858,5516,47735,0.9,1.4
283,62405,105841,162377,0.9,1.4
284,68351,17409,180425,0.9,1.4
285,45973,44251,4961,0.9,1.4
286,26668,17967,10784,0.9,1.4
287,168461,113593,10970,0.9,1.4
288,150509,23318,5356,0.9,1.4
289,131693,95233,178483,0.9,1.4
290,30041,170692,75823,0.9,1.4
291,14305,145101,148410,0.9,1.4
292,8814,9918,9381,0.9,1.4
293,62584,27880,NA,0.9,1.4
294,162746,1489,41061,0.9,1.4
295,9274,51150,132596,0.9,1.4
296,129212,130993,132815,0.9,1.4
297,12219,55234,12372,0.9,1.4
298,25922,6102,64534,0.9,1.4
299,33967,49514,23263,0.9,1.4
300,121894,17488,32783,0.9,1.4
301,147247,87649,3796,0.9,1.4
302,147203,125305,137320,0.9,1.4
303,23875,1978,24061,0.9,1.4
304,164460,40198,25797,0.9,1.4
305,141450,126728,167499,0.9,1.4
306,63114,80653,35147,0.9,1.4
307,152539,115973,80230,0.9,1.4
308,70121,49747,NA,0.9,1.4
309,174853,165530,164384,0.9,1.4
310,160358,123209,22416,0.9,1.4
311,2812,134829,65888,0.9,1.4
312,11665,55474,70109,0.9,1.4
313,152540,30782,164481,0.9,1.4
314,57217,137612,120404,0.9,1.4
315,157730,81363,40828,0.9,1.4
316,30007,99461,26491,0.9,1.4
317,97752,17815,75138,0.9,1.4
318,6290,153619,29727,0.9,1.4
319,4802,136519,28368,0.9,1.4
320,45621,128790,36215,0.9,1.4
321,91452,4462,88018,0.9,1.4
322,62468,43129,190362,0.9,1.4
323,117089,91999,128660,0.9,1.4
324,14224,162199,36299,0.9,1.4
325,83928,13390,123791,0.9,1.4
326,92931,162697,90017,0.9,1.4
327,107605,112708,118038,0.9,1.4
328,120269,16639,38177,0.9,1.4
329,6083,43267,161558,0.9,1.4
330,12235,47595,NA,0.9,1.4
331,120504,30072,46896,0.9,1.4
332,3743,12941,53139,0.9,1.4
333,10475,159809,NA,0.9,1.4
334,43698,76810,15086,0.9,1.4
335,117205,86771,172369,0.9,1.4
336,3735,111108,160847,0.9,1.4
337,91483,9520,26995,0.9,1.4
338,7094,181503,21719,0.9,1.4
339,40007,11580,72970,0.9,1.4
340,3999,140153,120223,0.9,1.4
341,147640,111915,61541,0.9,1.4
342,23479,171664,171991,0.9,1.4
343,19060,144329,26585,0.9,1.4
344,21146,91341,94228,0.9,1.4
345,9956,5095,169098,0.9,1.4
