"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,2,2,5,0.5,0.3
2,30,30,2,0.5,0.3
3,2,2,2,0.5,0.3
4,168,17,24,0.5,0.3
5,159,12,13,0.5,0.3
6,2,2,33,0.5,0.3
7,61,2,87,0.5,0.3
8,2,57,2,0.5,0.3
9,2,2,37,0.5,0.3
10,9,3,2,0.5,0.3
11,5,3,2,0.5,0.3
12,2,53,2,0.5,0.3
13,18,2,2,0.5,0.3
14,2,24,2,0.5,0.3
15,71,18,2,0.5,0.3
16,2,2,2,0.5,0.3
17,25,2,11,0.5,0.3
18,46,2,2,0.5,0.3
19,2,58,32,0.5,0.3
20,5,90,75,0.5,0.3
21,41,2,154,0.5,0.3
22,31,2,2,0.5,0.3
23,2,2,85,0.5,0.3
24,2,55,2,0.5,0.3
25,2,2,2,0.5,0.3
26,2,2,2,0.5,0.3
27,2,262,2,0.5,0.3
28,43,2,59,0.5,0.3
29,2,2,2,0.5,0.3
30,2,4,2,0.5,0.3
31,2,2,2,0.5,0.3
32,91,2,2,0.5,0.3
33,2,2,3,0.5,0.3
34,2,2,2,0.5,0.3
35,100,33,2,0.5,0.3
36,2,2,65,0.5,0.3
37,2,228,2,0.5,0.3
38,2,2,2,0.5,0.3
39,2,107,342,0.5,0.3
40,53,2,2,0.5,0.3
41,2,21,2,0.5,0.3
42,59,2,2,0.5,0.3
43,11,2,254,0.5,0.3
44,2,2,2,0.5,0.3
45,34,33,398,0.5,0.3
46,2,9,2,0.5,0.3
47,2,30,2,0.5,0.3
48,2,45,2,0.5,0.3
49,43,3,2,0.5,0.3
50,2,298,2,0.5,0.3
51,2,356,2,0.5,0.3
52,2,7,2,0.5,0.3
53,2,2,2,0.5,0.3
54,2,2,2,0.5,0.3
55,2,2,2,0.5,0.3
56,2,4,218,0.5,0.3
57,2,258,15,0.5,0.3
58,72,2,2,0.5,0.3
59,2,294,2,0.5,0.3
60,4,2,2,0.5,0.3
61,2,214,64,0.5,0.3
62,258,42,41,0.5,0.3
63,15,41,2,0.5,0.3
64,2,2,2,0.5,0.3
65,2,2,2,0.5,0.3
66,2,2,2,0.5,0.3
67,53,2,2,0.5,0.3
68,2,2,2,0.5,0.3
69,2,2,2,0.5,0.3
70,2,2,2,0.5,0.3
71,42,50,68,0.5,0.3
72,48,2,2,0.5,0.3
73,43,12,2,0.5,0.3
74,2,2,2,0.5,0.3
