"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,39,41,24,0.1,0.4
2,26,28,33,0.1,0.4
3,14,36,53,0.1,0.4
4,14,54,29,0.1,0.4
5,11,13,60,0.1,0.4
6,79,29,68,0.1,0.4
7,22,27,35,0.1,0.4
8,22,16,32,0.1,0.4
9,22,30,38,0.1,0.4
10,26,69,26,0.1,0.4
11,11,43,49,0.1,0.4
12,69,32,16,0.1,0.4
13,45,46,63,0.1,0.4
14,52,20,21,0.1,0.4
15,23,14,16,0.1,0.4
16,39,28,39,0.1,0.4
17,46,9,27,0.1,0.4
18,53,25,31,0.1,0.4
19,10,17,66,0.1,0.4
20,21,32,16,0.1,0.4
21,36,57,34,0.1,0.4
22,63,57,26,0.1,0.4
23,19,56,38,0.1,0.4
24,21,10,32,0.1,0.4
25,12,28,29,0.1,0.4
26,18,13,24,0.1,0.4
27,23,39,19,0.1,0.4
28,17,10,31,0.1,0.4
29,24,51,13,0.1,0.4
30,50,10,52,0.1,0.4
31,16,23,105,0.1,0.4
32,41,18,21,0.1,0.4
33,30,12,45,0.1,0.4
34,37,32,15,0.1,0.4
35,23,10,14,0.1,0.4
36,52,25,16,0.1,0.4
37,12,14,15,0.1,0.4
38,29,39,25,0.1,0.4
39,16,18,41,0.1,0.4
40,22,14,34,0.1,0.4
41,17,27,49,0.1,0.4
42,16,19,65,0.1,0.4
43,21,51,19,0.1,0.4
44,24,13,14,0.1,0.4
45,33,20,31,0.1,0.4
46,32,62,22,0.1,0.4
47,10,15,18,0.1,0.4
48,49,58,16,0.1,0.4
49,14,43,19,0.1,0.4
50,26,57,30,0.1,0.4
51,28,56,57,0.1,0.4
52,33,27,25,0.1,0.4
53,49,27,18,0.1,0.4
54,46,14,26,0.1,0.4
55,29,33,31,0.1,0.4
56,20,25,41,0.1,0.4
57,21,39,11,0.1,0.4
58,55,37,81,0.1,0.4
59,23,33,16,0.1,0.4
60,11,24,27,0.1,0.4
61,20,28,47,0.1,0.4
62,13,18,17,0.1,0.4
63,44,21,9,0.1,0.4
64,73,69,18,0.1,0.4
65,58,37,32,0.1,0.4
66,19,19,42,0.1,0.4
67,19,17,61,0.1,0.4
68,16,12,52,0.1,0.4
69,12,16,53,0.1,0.4
70,63,16,37,0.1,0.4
71,58,43,34,0.1,0.4
72,30,20,48,0.1,0.4
73,17,13,21,0.1,0.4
74,63,27,14,0.1,0.4
75,20,56,16,0.1,0.4
76,36,28,30,0.1,0.4
77,21,28,29,0.1,0.4
78,30,32,47,0.1,0.4
79,31,53,13,0.1,0.4
80,22,69,51,0.1,0.4
81,30,19,22,0.1,0.4
82,69,15,15,0.1,0.4
83,21,13,29,0.1,0.4
84,26,56,60,0.1,0.4
85,18,20,57,0.1,0.4
86,36,14,66,0.1,0.4
87,38,46,20,0.1,0.4
88,59,118,76,0.1,0.4
89,46,14,15,0.1,0.4
90,26,21,46,0.1,0.4
91,29,21,24,0.1,0.4
92,16,28,54,0.1,0.4
93,19,37,18,0.1,0.4
94,25,8,41,0.1,0.4
95,13,21,18,0.1,0.4
96,26,13,52,0.1,0.4
97,53,73,39,0.1,0.4
98,53,15,29,0.1,0.4
99,41,15,16,0.1,0.4
100,28,24,87,0.1,0.4
101,131,27,17,0.1,0.4
102,33,13,24,0.1,0.4
103,15,20,26,0.1,0.4
104,49,28,38,0.1,0.4
105,81,23,63,0.1,0.4
106,50,45,30,0.1,0.4
107,53,12,17,0.1,0.4
108,111,28,26,0.1,0.4
109,18,14,32,0.1,0.4
110,24,15,37,0.1,0.4
111,32,33,17,0.1,0.4
112,32,103,37,0.1,0.4
113,12,69,25,0.1,0.4
114,57,22,16,0.1,0.4
115,18,55,19,0.1,0.4
116,8,35,15,0.1,0.4
117,32,17,21,0.1,0.4
118,26,34,22,0.1,0.4
119,52,20,11,0.1,0.4
120,55,32,34,0.1,0.4
121,29,17,45,0.1,0.4
122,NA,30,31,0.1,0.4
123,13,74,17,0.1,0.4
124,61,61,16,0.1,0.4
125,12,17,24,0.1,0.4
126,17,12,24,0.1,0.4
127,25,84,15,0.1,0.4
128,43,84,86,0.1,0.4
129,16,62,57,0.1,0.4
130,22,24,30,0.1,0.4
131,33,21,20,0.1,0.4
132,50,37,18,0.1,0.4
133,48,16,54,0.1,0.4
134,12,54,22,0.1,0.4
135,46,25,35,0.1,0.4
136,11,15,29,0.1,0.4
137,23,53,15,0.1,0.4
138,13,14,26,0.1,0.4
139,31,44,41,0.1,0.4
140,26,24,24,0.1,0.4
141,23,18,34,0.1,0.4
142,25,12,40,0.1,0.4
143,17,54,16,0.1,0.4
144,22,25,21,0.1,0.4
145,85,46,35,0.1,0.4
146,22,64,52,0.1,0.4
147,12,21,27,0.1,0.4
148,31,28,13,0.1,0.4
149,19,19,77,0.1,0.4
150,37,40,15,0.1,0.4
151,9,19,55,0.1,0.4
152,19,17,29,0.1,0.4
153,28,36,45,0.1,0.4
154,17,33,20,0.1,0.4
155,33,23,26,0.1,0.4
156,21,21,27,0.1,0.4
