"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,614,43908,8593,0.1,1
2,131566,2427,31523,0.1,1
3,27,68969,1040,0.1,1
4,20136,126411,5235,0.1,1
5,29010,130624,834,0.1,1
6,145875,58390,15263,0.1,1
7,70903,43536,47926,0.1,1
8,139137,39,25720,0.1,1
9,10585,122099,84556,0.1,1
10,17479,1170,673,0.1,1
11,160443,62,465,0.1,1
12,31206,789,22354,0.1,1
13,125702,161329,100279,0.1,1
14,133430,221,132303,0.1,1
15,30241,150850,120481,0.1,1
16,26394,390,96618,0.1,1
17,14960,831,510,0.1,1
18,144618,20846,1144,0.1,1
19,113232,128695,31244,0.1,1
20,33228,53181,976,0.1,1
21,113355,14352,110486,0.1,1
22,113961,153240,21901,0.1,1
23,25140,26,160054,0.1,1
24,76,17395,41146,0.1,1
25,78,31359,51052,0.1,1
26,68996,126040,18242,0.1,1
27,123,17,78775,0.1,1
28,66,38615,10539,0.1,1
29,63544,73508,45006,0.1,1
30,80323,152743,131334,0.1,1
31,29,21793,59670,0.1,1
32,1990,2787,7441,0.1,1
33,232,9808,153919,0.1,1
34,20381,14462,121004,0.1,1
35,57,133219,4453,0.1,1
36,15380,35,70346,0.1,1
37,50128,52135,1000,0.1,1
38,18198,45062,3311,0.1,1
39,66137,87960,49423,0.1,1
40,51442,40044,59140,0.1,1
41,50,20504,10111,0.1,1
42,41391,50807,485,0.1,1
43,90880,59,935,0.1,1
44,130957,908,1744,0.1,1
45,5228,425,2528,0.1,1
46,20183,43,6967,0.1,1
47,73211,29947,92683,0.1,1
48,21584,3294,924,0.1,1
49,140209,90043,7781,0.1,1
50,100816,32014,2636,0.1,1
51,116966,82223,122899,0.1,1
52,170743,158731,5426,0.1,1
53,122806,328,161509,0.1,1
54,20575,110895,131700,0.1,1
55,38,150274,150702,0.1,1
56,33,131517,69057,0.1,1
57,151917,110211,858,0.1,1
58,72372,194,816,0.1,1
59,36,29806,456,0.1,1
60,110161,28,1321,0.1,1
61,59,24257,48601,0.1,1
62,17267,104347,30174,0.1,1
63,24720,10280,618,0.1,1
64,101898,80590,69805,0.1,1
65,11046,160798,119,0.1,1
66,30669,20176,65139,0.1,1
67,64,120218,113,0.1,1
68,29160,83635,40038,0.1,1
69,8768,123155,132464,0.1,1
70,959,2819,3038,0.1,1
71,40,4498,130533,0.1,1
72,15277,24059,51070,0.1,1
73,892,60925,155745,0.1,1
74,11510,1285,71879,0.1,1
75,3962,76585,5544,0.1,1
76,6922,44903,1602,0.1,1
77,239,41,151116,0.1,1
78,121627,164332,19762,0.1,1
79,160317,90121,235,0.1,1
80,48,11368,59099,0.1,1
81,160114,20687,1388,0.1,1
82,122986,67536,4224,0.1,1
83,86613,90722,20988,0.1,1
84,166,102845,980,0.1,1
85,44233,752,71560,0.1,1
86,90428,13718,7365,0.1,1
87,119417,51536,268,0.1,1
88,141072,16494,11911,0.1,1
