"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,2,27,2,0.5,0.8
2,100,2,2,0.5,0.8
3,2,2,2,0.5,0.8
4,12,2,2,0.5,0.8
5,182,10,51,0.5,0.8
6,71,2,36,0.5,0.8
7,118,2,2,0.5,0.8
8,32,2,2,0.5,0.8
9,2,39,10,0.5,0.8
10,2,60,2,0.5,0.8
11,2,2,23,0.5,0.8
12,29,2,2,0.5,0.8
13,2,2,2,0.5,0.8
14,2,2,2,0.5,0.8
15,2,2,4,0.5,0.8
16,8,2,27,0.5,0.8
17,2,2,218,0.5,0.8
18,21,60,81,0.5,0.8
19,3,2,2,0.5,0.8
20,2,89,2,0.5,0.8
21,2,2,167,0.5,0.8
22,2,2,49,0.5,0.8
23,2,2,2,0.5,0.8
24,2,2,83,0.5,0.8
25,2,2,2,0.5,0.8
26,2,2,9,0.5,0.8
27,2,2,2,0.5,0.8
28,2,37,2,0.5,0.8
29,2,2,2,0.5,0.8
30,2,156,2,0.5,0.8
31,2,2,2,0.5,0.8
32,74,2,2,0.5,0.8
33,2,2,2,0.5,0.8
34,2,41,2,0.5,0.8
35,2,2,2,0.5,0.8
36,2,2,2,0.5,0.8
37,4,182,2,0.5,0.8
38,2,2,2,0.5,0.8
39,45,2,67,0.5,0.8
40,2,157,2,0.5,0.8
41,2,34,14,0.5,0.8
42,43,2,2,0.5,0.8
43,38,2,2,0.5,0.8
44,2,64,2,0.5,0.8
45,2,65,2,0.5,0.8
46,2,2,35,0.5,0.8
47,30,2,2,0.5,0.8
48,2,2,46,0.5,0.8
49,233,53,2,0.5,0.8
50,2,2,2,0.5,0.8
51,3,123,2,0.5,0.8
52,3,2,2,0.5,0.8
53,5,2,2,0.5,0.8
54,6,223,2,0.5,0.8
55,2,143,2,0.5,0.8
56,2,2,77,0.5,0.8
57,10,14,2,0.5,0.8
58,2,2,2,0.5,0.8
59,2,2,91,0.5,0.8
60,14,93,85,0.5,0.8
61,72,2,2,0.5,0.8
62,2,2,2,0.5,0.8
63,23,2,11,0.5,0.8
64,77,2,2,0.5,0.8
65,2,7,3,0.5,0.8
66,2,2,93,0.5,0.8
67,2,2,2,0.5,0.8
68,2,2,2,0.5,0.8
69,2,2,2,0.5,0.8
70,3,2,2,0.5,0.8
71,2,2,28,0.5,0.8
72,2,129,2,0.5,0.8
73,8,2,57,0.5,0.8
74,3,2,2,0.5,0.8
75,125,2,74,0.5,0.8
76,2,117,2,0.5,0.8
77,37,2,2,0.5,0.8
78,195,120,2,0.5,0.8
79,2,2,6,0.5,0.8
80,2,210,2,0.5,0.8
81,2,2,2,0.5,0.8
82,2,44,2,0.5,0.8
83,12,2,2,0.5,0.8
84,2,2,2,0.5,0.8
85,2,44,4,0.5,0.8
86,46,2,2,0.5,0.8
87,2,2,67,0.5,0.8
88,2,2,2,0.5,0.8
89,2,20,2,0.5,0.8
90,100,3,2,0.5,0.8
91,2,2,2,0.5,0.8
92,2,25,2,0.5,0.8
93,52,2,19,0.5,0.8
94,2,2,2,0.5,0.8
95,65,98,75,0.5,0.8
96,37,75,2,0.5,0.8
97,2,22,51,0.5,0.8
98,2,2,19,0.5,0.8
99,2,36,81,0.5,0.8
100,2,128,3,0.5,0.8
101,105,56,67,0.5,0.8
102,9,2,62,0.5,0.8
103,2,18,162,0.5,0.8
104,2,127,2,0.5,0.8
105,102,2,2,0.5,0.8
106,11,7,5,0.5,0.8
107,2,2,20,0.5,0.8
108,2,50,2,0.5,0.8
109,2,2,258,0.5,0.8
110,37,2,338,0.5,0.8
111,2,15,38,0.5,0.8
112,2,2,2,0.5,0.8
113,47,2,74,0.5,0.8
114,42,2,186,0.5,0.8
115,2,2,2,0.5,0.8
116,2,2,2,0.5,0.8
117,2,2,37,0.5,0.8
118,60,162,2,0.5,0.8
119,2,23,2,0.5,0.8
120,44,2,3,0.5,0.8
121,18,2,2,0.5,0.8
122,2,2,73,0.5,0.8
123,2,2,2,0.5,0.8
124,2,2,2,0.5,0.8
125,2,8,2,0.5,0.8
126,2,2,2,0.5,0.8
127,86,18,4,0.5,0.8
128,176,45,9,0.5,0.8
129,16,62,16,0.5,0.8
130,2,58,2,0.5,0.8
131,2,2,2,0.5,0.8
132,2,73,2,0.5,0.8
133,2,104,2,0.5,0.8
134,2,2,2,0.5,0.8
135,2,15,2,0.5,0.8
136,2,2,2,0.5,0.8
137,4,2,60,0.5,0.8
138,2,2,173,0.5,0.8
139,2,17,2,0.5,0.8
140,2,69,5,0.5,0.8
141,2,2,2,0.5,0.8
142,5,4,82,0.5,0.8
143,2,2,2,0.5,0.8
144,4,2,2,0.5,0.8
145,2,2,2,0.5,0.8
146,31,89,2,0.5,0.8
147,2,94,2,0.5,0.8
148,2,2,2,0.5,0.8
149,2,2,52,0.5,0.8
150,2,34,28,0.5,0.8
151,162,114,2,0.5,0.8
152,75,33,2,0.5,0.8
153,65,53,140,0.5,0.8
154,2,2,2,0.5,0.8
155,2,2,3,0.5,0.8
156,2,2,135,0.5,0.8
157,57,28,69,0.5,0.8
158,2,52,2,0.5,0.8
159,11,44,2,0.5,0.8
160,2,2,2,0.5,0.8
161,2,2,271,0.5,0.8
162,3,2,2,0.5,0.8
163,2,2,44,0.5,0.8
164,28,2,2,0.5,0.8
165,2,2,2,0.5,0.8
166,66,2,75,0.5,0.8
167,2,2,2,0.5,0.8
168,2,9,2,0.5,0.8
169,2,2,3,0.5,0.8
170,59,2,2,0.5,0.8
171,72,2,3,0.5,0.8
172,2,83,2,0.5,0.8
173,2,214,16,0.5,0.8
174,2,108,2,0.5,0.8
175,2,136,2,0.5,0.8
176,72,2,2,0.5,0.8
177,19,2,2,0.5,0.8
178,36,2,2,0.5,0.8
179,2,2,150,0.5,0.8
180,2,71,6,0.5,0.8
181,158,94,76,0.5,0.8
182,2,2,2,0.5,0.8
183,2,2,2,0.5,0.8
184,87,2,147,0.5,0.8
185,67,2,2,0.5,0.8
186,122,49,71,0.5,0.8
187,3,2,59,0.5,0.8
188,8,3,16,0.5,0.8
189,2,2,2,0.5,0.8
190,2,93,23,0.5,0.8
191,2,2,2,0.5,0.8
192,2,70,2,0.5,0.8
193,2,2,2,0.5,0.8
194,2,2,2,0.5,0.8
195,47,28,2,0.5,0.8
196,37,2,2,0.5,0.8
197,13,3,2,0.5,0.8
198,2,14,2,0.5,0.8
199,2,2,2,0.5,0.8
200,36,131,2,0.5,0.8
201,71,59,2,0.5,0.8
202,3,2,2,0.5,0.8
203,42,16,2,0.5,0.8
204,2,2,63,0.5,0.8
205,55,16,2,0.5,0.8
206,2,14,18,0.5,0.8
207,2,2,2,0.5,0.8
208,2,10,111,0.5,0.8
209,2,2,2,0.5,0.8
210,22,2,2,0.5,0.8
211,3,3,2,0.5,0.8
212,68,2,18,0.5,0.8
213,2,2,2,0.5,0.8
214,13,96,12,0.5,0.8
215,206,2,40,0.5,0.8
216,2,126,2,0.5,0.8
217,2,2,39,0.5,0.8
218,37,2,72,0.5,0.8
219,5,2,64,0.5,0.8
220,2,2,2,0.5,0.8
221,2,2,51,0.5,0.8
222,2,46,2,0.5,0.8
223,2,4,2,0.5,0.8
224,2,3,56,0.5,0.8
225,2,2,2,0.5,0.8
226,2,22,2,0.5,0.8
227,68,2,2,0.5,0.8
228,59,2,37,0.5,0.8
229,2,2,2,0.5,0.8
230,2,2,24,0.5,0.8
231,2,2,37,0.5,0.8
232,2,131,55,0.5,0.8
233,2,12,2,0.5,0.8
234,3,7,2,0.5,0.8
235,5,17,2,0.5,0.8
236,2,2,98,0.5,0.8
237,2,2,98,0.5,0.8
238,97,88,2,0.5,0.8
239,2,83,2,0.5,0.8
240,2,2,2,0.5,0.8
241,55,64,2,0.5,0.8
242,2,75,2,0.5,0.8
243,37,2,74,0.5,0.8
244,2,2,2,0.5,0.8
245,2,2,2,0.5,0.8
246,2,2,2,0.5,0.8
247,2,2,52,0.5,0.8
248,3,2,2,0.5,0.8
249,2,2,2,0.5,0.8
250,2,9,3,0.5,0.8
251,25,2,69,0.5,0.8
252,2,2,180,0.5,0.8
253,2,2,2,0.5,0.8
254,2,3,2,0.5,0.8
255,46,2,21,0.5,0.8
256,2,2,4,0.5,0.8
257,95,2,2,0.5,0.8
258,48,24,2,0.5,0.8
259,38,2,2,0.5,0.8
260,94,2,2,0.5,0.8
261,33,2,179,0.5,0.8
262,2,2,2,0.5,0.8
263,2,2,28,0.5,0.8
264,2,3,2,0.5,0.8
265,2,2,2,0.5,0.8
266,2,2,214,0.5,0.8
267,38,8,62,0.5,0.8
268,2,57,2,0.5,0.8
269,2,2,2,0.5,0.8
270,2,4,2,0.5,0.8
271,2,105,2,0.5,0.8
272,2,180,9,0.5,0.8
273,42,2,2,0.5,0.8
274,3,2,2,0.5,0.8
275,100,2,2,0.5,0.8
276,2,2,16,0.5,0.8
277,2,2,2,0.5,0.8
278,14,2,2,0.5,0.8
279,16,54,52,0.5,0.8
280,105,151,4,0.5,0.8
281,3,109,2,0.5,0.8
282,37,2,14,0.5,0.8
283,166,76,2,0.5,0.8
284,32,224,4,0.5,0.8
285,50,3,2,0.5,0.8
286,2,2,2,0.5,0.8
287,2,2,2,0.5,0.8
288,13,45,2,0.5,0.8
289,2,2,2,0.5,0.8
290,2,2,2,0.5,0.8
291,2,2,106,0.5,0.8
292,5,228,2,0.5,0.8
293,2,2,2,0.5,0.8
294,234,29,2,0.5,0.8
295,18,260,138,0.5,0.8
296,17,2,2,0.5,0.8
297,12,2,35,0.5,0.8
298,2,120,2,0.5,0.8
299,2,2,2,0.5,0.8
300,2,2,78,0.5,0.8
301,2,2,6,0.5,0.8
302,52,2,66,0.5,0.8
303,2,16,2,0.5,0.8
304,84,8,33,0.5,0.8
305,43,2,109,0.5,0.8
306,2,2,3,0.5,0.8
307,64,31,2,0.5,0.8
308,2,2,2,0.5,0.8
309,2,177,2,0.5,0.8
310,2,2,2,0.5,0.8
311,13,2,92,0.5,0.8
312,2,2,29,0.5,0.8
313,83,37,103,0.5,0.8
314,2,208,2,0.5,0.8
315,2,2,2,0.5,0.8
316,16,2,87,0.5,0.8
317,2,2,160,0.5,0.8
318,11,2,2,0.5,0.8
319,2,2,51,0.5,0.8
320,22,2,2,0.5,0.8
321,91,2,17,0.5,0.8
322,2,18,2,0.5,0.8
323,2,2,2,0.5,0.8
324,97,34,2,0.5,0.8
325,32,2,14,0.5,0.8
326,2,2,60,0.5,0.8
327,2,149,9,0.5,0.8
328,173,2,2,0.5,0.8
329,176,2,2,0.5,0.8
330,28,2,2,0.5,0.8
331,3,2,2,0.5,0.8
332,60,2,2,0.5,0.8
333,16,2,2,0.5,0.8
334,2,64,60,0.5,0.8
335,27,28,2,0.5,0.8
336,2,105,2,0.5,0.8
337,2,2,2,0.5,0.8
338,2,2,2,0.5,0.8
339,2,19,114,0.5,0.8
340,2,40,2,0.5,0.8
341,24,2,203,0.5,0.8
342,94,21,2,0.5,0.8
343,2,2,2,0.5,0.8
344,2,2,62,0.5,0.8
345,2,77,2,0.5,0.8
346,2,2,16,0.5,0.8
347,2,2,75,0.5,0.8
348,2,2,2,0.5,0.8
349,122,2,2,0.5,0.8
350,68,2,27,0.5,0.8
