"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,187738,189162,NA,0.5,1.8
2,85377,57027,190931,0.5,1.8
3,191294,191402,NA,0.5,1.8
4,NA,181382,164448,0.5,1.8
5,NA,140577,185672,0.5,1.8
6,NA,190017,NA,0.5,1.8
7,193776,188258,NA,0.5,1.8
8,175669,102800,NA,0.5,1.8
9,168054,159164,NA,0.5,1.8
10,115554,108294,NA,0.5,1.8
11,148988,119988,NA,0.5,1.8
12,NA,55704,NA,0.5,1.8
13,135815,183436,94408,0.5,1.8
14,161838,183400,NA,0.5,1.8
15,NA,187385,NA,0.5,1.8
16,NA,144483,NA,0.5,1.8
17,116720,99438,NA,0.5,1.8
18,163350,191159,80557,0.5,1.8
19,139933,168327,NA,0.5,1.8
20,22782,155581,96163,0.5,1.8
21,NA,NA,NA,0.5,1.8
22,161992,NA,177278,0.5,1.8
23,NA,133984,NA,0.5,1.8
24,198935,NA,NA,0.5,1.8
25,153910,157940,NA,0.5,1.8
26,174104,170015,NA,0.5,1.8
27,NA,NA,NA,0.5,1.8
28,NA,NA,189588,0.5,1.8
29,164800,168469,NA,0.5,1.8
30,60872,177620,NA,0.5,1.8
31,162907,161000,NA,0.5,1.8
32,157298,NA,NA,0.5,1.8
33,195189,186337,NA,0.5,1.8
34,NA,46935,NA,0.5,1.8
35,NA,182250,NA,0.5,1.8
36,167578,177125,NA,0.5,1.8
37,83369,120743,NA,0.5,1.8
38,177616,161741,172134,0.5,1.8
39,173328,185086,NA,0.5,1.8
40,108867,NA,NA,0.5,1.8
41,134352,37256,62664,0.5,1.8
42,155903,NA,NA,0.5,1.8
43,76716,160941,NA,0.5,1.8
44,28849,170529,NA,0.5,1.8
45,147598,72384,183827,0.5,1.8
46,NA,178677,165054,0.5,1.8
47,157027,163486,NA,0.5,1.8
48,179917,44167,NA,0.5,1.8
49,70343,NA,NA,0.5,1.8
50,NA,103331,60020,0.5,1.8
51,23757,196412,198259,0.5,1.8
52,156705,NA,43170,0.5,1.8
53,NA,74152,165665,0.5,1.8
54,198753,179690,NA,0.5,1.8
55,67701,185805,NA,0.5,1.8
56,40346,170196,195881,0.5,1.8
57,45556,181111,NA,0.5,1.8
58,NA,169664,NA,0.5,1.8
59,162989,168121,NA,0.5,1.8
60,NA,57237,199493,0.5,1.8
61,48262,NA,NA,0.5,1.8
62,126769,51740,188432,0.5,1.8
63,189095,NA,NA,0.5,1.8
64,74489,168026,NA,0.5,1.8
65,191017,NA,NA,0.5,1.8
66,190272,NA,NA,0.5,1.8
67,NA,194730,NA,0.5,1.8
68,179648,175450,NA,0.5,1.8
69,94236,168159,NA,0.5,1.8
70,195073,93130,NA,0.5,1.8
71,44059,152109,NA,0.5,1.8
72,36932,NA,NA,0.5,1.8
73,NA,175571,NA,0.5,1.8
74,98776,198965,NA,0.5,1.8
75,NA,NA,NA,0.5,1.8
76,141979,155989,NA,0.5,1.8
77,63964,92732,NA,0.5,1.8
78,NA,NA,194385,0.5,1.8
79,120801,187472,NA,0.5,1.8
80,NA,123653,191509,0.5,1.8
81,NA,121701,193745,0.5,1.8
82,175846,10677,NA,0.5,1.8
83,173687,83853,NA,0.5,1.8
84,171737,185640,197400,0.5,1.8
85,NA,187367,NA,0.5,1.8
86,82871,NA,NA,0.5,1.8
87,163033,175908,NA,0.5,1.8
88,169589,142455,198911,0.5,1.8
89,NA,175013,NA,0.5,1.8
90,82635,NA,NA,0.5,1.8
