"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,30,19,32,0.1,0.6
2,74,13,11,0.1,0.6
3,14,16,39,0.1,0.6
4,26,63,13,0.1,0.6
5,47,18,73,0.1,0.6
6,38,36,16,0.1,0.6
7,69,16,65,0.1,0.6
8,13,30,31,0.1,0.6
9,9,37,24,0.1,0.6
10,72,84,35,0.1,0.6
11,20,27,20,0.1,0.6
12,39,26,21,0.1,0.6
13,34,40,40,0.1,0.6
14,12,18,19,0.1,0.6
15,18,16,63,0.1,0.6
16,28,56,22,0.1,0.6
17,32,31,45,0.1,0.6
18,120,34,32,0.1,0.6
19,50,18,26,0.1,0.6
20,36,17,48,0.1,0.6
21,24,32,38,0.1,0.6
22,93,27,13,0.1,0.6
23,33,14,25,0.1,0.6
24,17,15,21,0.1,0.6
25,112,25,67,0.1,0.6
26,13,16,15,0.1,0.6
27,13,25,14,0.1,0.6
28,123,51,55,0.1,0.6
29,78,25,16,0.1,0.6
30,31,29,31,0.1,0.6
31,31,33,24,0.1,0.6
32,15,23,26,0.1,0.6
33,27,46,20,0.1,0.6
34,39,24,25,0.1,0.6
35,41,21,28,0.1,0.6
36,42,65,15,0.1,0.6
37,31,16,17,0.1,0.6
38,42,18,51,0.1,0.6
39,49,38,41,0.1,0.6
40,95,83,46,0.1,0.6
41,18,16,14,0.1,0.6
42,11,39,64,0.1,0.6
43,25,29,38,0.1,0.6
44,16,73,50,0.1,0.6
45,49,74,47,0.1,0.6
46,33,28,34,0.1,0.6
47,10,15,50,0.1,0.6
48,64,56,61,0.1,0.6
49,154,19,41,0.1,0.6
50,52,33,27,0.1,0.6
51,14,188,34,0.1,0.6
52,17,14,17,0.1,0.6
53,20,18,14,0.1,0.6
54,26,17,18,0.1,0.6
55,107,42,38,0.1,0.6
56,22,32,19,0.1,0.6
57,79,22,22,0.1,0.6
58,48,32,65,0.1,0.6
59,22,41,35,0.1,0.6
60,15,43,39,0.1,0.6
61,18,32,34,0.1,0.6
62,21,37,18,0.1,0.6
63,70,23,17,0.1,0.6
64,39,82,83,0.1,0.6
65,33,48,43,0.1,0.6
66,22,37,78,0.1,0.6
67,51,14,77,0.1,0.6
68,25,41,36,0.1,0.6
69,19,67,34,0.1,0.6
70,22,25,42,0.1,0.6
71,52,62,16,0.1,0.6
72,34,26,18,0.1,0.6
73,28,22,20,0.1,0.6
74,37,73,21,0.1,0.6
75,70,65,36,0.1,0.6
76,12,31,44,0.1,0.6
77,19,20,20,0.1,0.6
78,19,31,10,0.1,0.6
79,27,22,28,0.1,0.6
80,23,37,41,0.1,0.6
81,58,15,87,0.1,0.6
82,47,16,10,0.1,0.6
83,18,38,51,0.1,0.6
84,8,14,32,0.1,0.6
85,33,12,75,0.1,0.6
86,133,28,42,0.1,0.6
87,21,45,18,0.1,0.6
88,45,63,49,0.1,0.6
89,42,31,23,0.1,0.6
90,83,48,22,0.1,0.6
91,27,95,24,0.1,0.6
92,60,64,31,0.1,0.6
93,36,15,18,0.1,0.6
94,29,11,30,0.1,0.6
95,52,17,24,0.1,0.6
96,13,34,26,0.1,0.6
97,29,32,12,0.1,0.6
98,26,48,11,0.1,0.6
99,28,40,33,0.1,0.6
100,26,23,29,0.1,0.6
101,30,57,27,0.1,0.6
102,48,18,19,0.1,0.6
103,19,72,13,0.1,0.6
104,28,19,16,0.1,0.6
105,50,22,27,0.1,0.6
106,17,13,58,0.1,0.6
107,15,30,28,0.1,0.6
108,81,82,24,0.1,0.6
109,31,17,32,0.1,0.6
110,11,32,22,0.1,0.6
111,20,20,40,0.1,0.6
112,20,37,19,0.1,0.6
113,51,48,26,0.1,0.6
114,65,17,19,0.1,0.6
115,40,17,41,0.1,0.6
116,24,28,21,0.1,0.6
117,26,37,27,0.1,0.6
118,24,21,16,0.1,0.6
119,58,54,20,0.1,0.6
120,23,29,20,0.1,0.6
121,29,28,24,0.1,0.6
122,40,24,19,0.1,0.6
123,114,52,11,0.1,0.6
124,14,20,77,0.1,0.6
125,37,47,32,0.1,0.6
126,44,62,18,0.1,0.6
127,15,22,51,0.1,0.6
128,20,27,20,0.1,0.6
129,28,17,22,0.1,0.6
130,54,26,79,0.1,0.6
131,29,22,67,0.1,0.6
132,80,20,55,0.1,0.6
133,86,45,19,0.1,0.6
134,36,17,72,0.1,0.6
135,40,38,17,0.1,0.6
136,16,43,34,0.1,0.6
137,17,27,48,0.1,0.6
138,33,19,23,0.1,0.6
139,73,24,26,0.1,0.6
140,29,34,29,0.1,0.6
141,43,55,18,0.1,0.6
142,107,47,27,0.1,0.6
143,14,23,27,0.1,0.6
144,35,62,36,0.1,0.6
145,9,26,35,0.1,0.6
146,32,21,43,0.1,0.6
147,102,63,26,0.1,0.6
148,31,17,87,0.1,0.6
149,39,14,33,0.1,0.6
150,18,19,63,0.1,0.6
151,15,13,93,0.1,0.6
152,18,24,16,0.1,0.6
153,13,82,22,0.1,0.6
154,22,18,30,0.1,0.6
155,55,58,43,0.1,0.6
156,9,16,25,0.1,0.6
157,12,23,87,0.1,0.6
158,18,18,14,0.1,0.6
159,11,38,64,0.1,0.6
160,17,23,55,0.1,0.6
161,80,23,21,0.1,0.6
162,30,20,97,0.1,0.6
163,25,41,43,0.1,0.6
164,10,21,67,0.1,0.6
165,33,57,77,0.1,0.6
166,23,32,18,0.1,0.6
167,41,36,29,0.1,0.6
168,41,37,23,0.1,0.6
169,13,28,9,0.1,0.6
170,10,26,24,0.1,0.6
171,27,17,59,0.1,0.6
172,39,27,13,0.1,0.6
173,75,19,41,0.1,0.6
174,43,52,22,0.1,0.6
175,41,76,13,0.1,0.6
176,37,39,126,0.1,0.6
177,19,9,19,0.1,0.6
178,41,21,30,0.1,0.6
179,11,9,47,0.1,0.6
180,33,35,18,0.1,0.6
181,38,38,65,0.1,0.6
182,26,19,38,0.1,0.6
183,15,15,48,0.1,0.6
184,29,34,27,0.1,0.6
185,26,45,15,0.1,0.6
186,32,12,87,0.1,0.6
187,40,37,83,0.1,0.6
188,63,34,35,0.1,0.6
189,29,47,50,0.1,0.6
190,61,101,61,0.1,0.6
191,10,31,64,0.1,0.6
192,31,18,18,0.1,0.6
193,16,36,15,0.1,0.6
194,29,16,31,0.1,0.6
195,12,73,14,0.1,0.6
196,35,69,29,0.1,0.6
197,12,12,41,0.1,0.6
198,21,62,9,0.1,0.6
199,67,26,19,0.1,0.6
200,23,29,19,0.1,0.6
201,15,20,15,0.1,0.6
202,19,17,44,0.1,0.6
203,21,14,17,0.1,0.6
204,38,67,46,0.1,0.6
205,33,44,16,0.1,0.6
206,26,25,28,0.1,0.6
207,76,59,97,0.1,0.6
208,41,23,17,0.1,0.6
209,15,109,56,0.1,0.6
210,27,28,95,0.1,0.6
211,13,44,17,0.1,0.6
212,43,25,21,0.1,0.6
213,40,22,32,0.1,0.6
214,13,17,16,0.1,0.6
215,26,35,13,0.1,0.6
216,24,35,22,0.1,0.6
217,32,44,52,0.1,0.6
218,31,46,101,0.1,0.6
219,30,32,152,0.1,0.6
220,15,14,17,0.1,0.6
221,29,112,23,0.1,0.6
222,51,41,20,0.1,0.6
223,45,35,37,0.1,0.6
224,11,26,39,0.1,0.6
225,28,56,28,0.1,0.6
226,34,15,90,0.1,0.6
227,75,30,22,0.1,0.6
228,48,17,30,0.1,0.6
229,13,59,13,0.1,0.6
230,31,41,16,0.1,0.6
231,23,24,22,0.1,0.6
232,42,13,59,0.1,0.6
233,26,33,28,0.1,0.6
234,45,23,19,0.1,0.6
235,37,44,14,0.1,0.6
236,18,127,18,0.1,0.6
237,28,27,48,0.1,0.6
238,29,58,38,0.1,0.6
239,12,70,25,0.1,0.6
240,23,66,9,0.1,0.6
241,17,32,21,0.1,0.6
242,41,14,21,0.1,0.6
243,26,36,50,0.1,0.6
244,73,22,62,0.1,0.6
245,30,24,81,0.1,0.6
246,21,29,36,0.1,0.6
247,19,34,19,0.1,0.6
248,32,28,25,0.1,0.6
249,36,59,37,0.1,0.6
250,40,27,21,0.1,0.6
251,20,31,16,0.1,0.6
