"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,NA,17,39,0.1,0.1
2,NA,146,NA,0.1,0.1
3,NA,17,27,0.1,0.1
4,NA,30,33,0.1,0.1
5,20,NA,24,0.1,0.1
6,51,15,24,0.1,0.1
7,72,NA,22,0.1,0.1
8,10,NA,NA,0.1,0.1
9,NA,17,32,0.1,0.1
10,93,68,37,0.1,0.1
11,NA,NA,NA,0.1,0.1
12,NA,NA,84,0.1,0.1
13,NA,NA,16,0.1,0.1
14,125,NA,20,0.1,0.1
15,NA,NA,88,0.1,0.1
16,NA,NA,15,0.1,0.1
17,137,NA,38,0.1,0.1
18,NA,178,20,0.1,0.1
19,126,59,33,0.1,0.1
20,15,18,24,0.1,0.1
21,38,17,NA,0.1,0.1
22,NA,60,16,0.1,0.1
23,192,83,33,0.1,0.1
24,25,31,15,0.1,0.1
25,187,19,13,0.1,0.1
26,12,34,55,0.1,0.1
27,172,17,33,0.1,0.1
28,95,16,25,0.1,0.1
29,NA,73,16,0.1,0.1
30,140,NA,42,0.1,0.1
31,19,NA,NA,0.1,0.1
32,146,NA,36,0.1,0.1
33,16,NA,32,0.1,0.1
34,20,NA,38,0.1,0.1
35,102,NA,20,0.1,0.1
36,189,43,25,0.1,0.1
37,18,NA,28,0.1,0.1
38,18,22,21,0.1,0.1
39,36,85,18,0.1,0.1
40,12,19,25,0.1,0.1
41,NA,NA,20,0.1,0.1
42,24,11,41,0.1,0.1
43,NA,10,39,0.1,0.1
44,49,17,88,0.1,0.1
45,18,29,61,0.1,0.1
46,30,NA,196,0.1,0.1
47,94,NA,NA,0.1,0.1
48,NA,184,23,0.1,0.1
49,NA,111,28,0.1,0.1
50,NA,15,14,0.1,0.1
51,NA,28,182,0.1,0.1
52,NA,76,NA,0.1,0.1
53,186,NA,15,0.1,0.1
54,66,41,26,0.1,0.1
55,NA,51,NA,0.1,0.1
56,156,NA,23,0.1,0.1
57,16,NA,49,0.1,0.1
58,29,NA,42,0.1,0.1
59,15,NA,42,0.1,0.1
60,NA,NA,17,0.1,0.1
61,NA,16,NA,0.1,0.1
62,NA,110,37,0.1,0.1
63,NA,NA,NA,0.1,0.1
64,NA,24,15,0.1,0.1
65,208,111,52,0.1,0.1
66,15,NA,125,0.1,0.1
67,16,15,22,0.1,0.1
68,22,52,NA,0.1,0.1
69,65,NA,34,0.1,0.1
70,NA,NA,38,0.1,0.1
71,78,NA,20,0.1,0.1
72,24,118,52,0.1,0.1
73,NA,138,25,0.1,0.1
74,19,20,25,0.1,0.1
75,NA,NA,25,0.1,0.1
76,31,NA,25,0.1,0.1
77,NA,15,22,0.1,0.1
78,188,NA,20,0.1,0.1
79,NA,NA,18,0.1,0.1
80,NA,11,28,0.1,0.1
81,64,NA,273,0.1,0.1
82,10,86,31,0.1,0.1
83,NA,69,15,0.1,0.1
84,28,NA,22,0.1,0.1
85,148,13,110,0.1,0.1
86,15,56,21,0.1,0.1
87,12,166,17,0.1,0.1
88,NA,50,27,0.1,0.1
89,62,57,27,0.1,0.1
90,136,27,23,0.1,0.1
91,23,10,NA,0.1,0.1
92,86,NA,29,0.1,0.1
93,NA,NA,17,0.1,0.1
94,NA,22,32,0.1,0.1
95,20,NA,29,0.1,0.1
96,83,44,12,0.1,0.1
97,NA,110,9,0.1,0.1
98,46,NA,24,0.1,0.1
99,NA,22,45,0.1,0.1
100,145,NA,22,0.1,0.1
101,15,106,13,0.1,0.1
102,146,21,NA,0.1,0.1
103,12,NA,44,0.1,0.1
104,155,126,9,0.1,0.1
105,56,NA,13,0.1,0.1
106,NA,11,162,0.1,0.1
107,11,NA,43,0.1,0.1
108,NA,52,15,0.1,0.1
109,23,NA,80,0.1,0.1
110,NA,NA,22,0.1,0.1
111,NA,58,NA,0.1,0.1
112,NA,NA,NA,0.1,0.1
113,10,NA,19,0.1,0.1
114,13,13,30,0.1,0.1
115,20,160,38,0.1,0.1
116,25,24,20,0.1,0.1
117,57,212,37,0.1,0.1
118,NA,42,23,0.1,0.1
119,NA,212,18,0.1,0.1
120,77,22,49,0.1,0.1
121,133,18,16,0.1,0.1
122,NA,58,20,0.1,0.1
123,NA,17,11,0.1,0.1
124,78,34,NA,0.1,0.1
125,NA,12,14,0.1,0.1
126,40,NA,22,0.1,0.1
127,NA,15,17,0.1,0.1
128,NA,NA,53,0.1,0.1
129,140,NA,15,0.1,0.1
130,NA,NA,24,0.1,0.1
131,22,NA,47,0.1,0.1
132,NA,14,50,0.1,0.1
133,NA,15,12,0.1,0.1
134,12,13,151,0.1,0.1
135,74,9,21,0.1,0.1
136,NA,65,15,0.1,0.1
137,13,NA,48,0.1,0.1
138,NA,NA,55,0.1,0.1
139,21,NA,22,0.1,0.1
140,11,94,216,0.1,0.1
141,13,NA,25,0.1,0.1
142,15,NA,13,0.1,0.1
143,20,11,49,0.1,0.1
144,NA,NA,25,0.1,0.1
145,20,16,55,0.1,0.1
146,56,23,30,0.1,0.1
147,NA,12,28,0.1,0.1
148,NA,NA,13,0.1,0.1
149,NA,11,NA,0.1,0.1
150,196,35,NA,0.1,0.1
151,14,134,20,0.1,0.1
152,117,14,46,0.1,0.1
153,20,44,NA,0.1,0.1
154,135,20,42,0.1,0.1
155,79,NA,116,0.1,0.1
156,NA,78,13,0.1,0.1
157,NA,36,31,0.1,0.1
158,20,NA,16,0.1,0.1
159,NA,76,18,0.1,0.1
160,168,162,26,0.1,0.1
161,18,12,22,0.1,0.1
162,NA,NA,9,0.1,0.1
163,20,NA,NA,0.1,0.1
164,110,NA,24,0.1,0.1
165,28,14,15,0.1,0.1
166,NA,142,25,0.1,0.1
167,24,20,36,0.1,0.1
168,28,115,12,0.1,0.1
169,NA,39,97,0.1,0.1
170,NA,NA,134,0.1,0.1
171,NA,NA,13,0.1,0.1
172,NA,147,51,0.1,0.1
173,36,62,17,0.1,0.1
174,NA,16,NA,0.1,0.1
175,17,NA,252,0.1,0.1
176,NA,46,49,0.1,0.1
177,NA,84,174,0.1,0.1
178,NA,NA,26,0.1,0.1
179,34,34,NA,0.1,0.1
180,NA,32,20,0.1,0.1
181,16,19,NA,0.1,0.1
182,NA,NA,11,0.1,0.1
183,NA,9,105,0.1,0.1
184,NA,19,32,0.1,0.1
185,NA,NA,22,0.1,0.1
186,25,19,20,0.1,0.1
187,110,98,30,0.1,0.1
188,20,64,42,0.1,0.1
189,38,NA,13,0.1,0.1
190,18,55,23,0.1,0.1
191,NA,NA,28,0.1,0.1
192,21,NA,13,0.1,0.1
193,NA,26,23,0.1,0.1
194,145,22,NA,0.1,0.1
195,17,21,19,0.1,0.1
196,25,26,145,0.1,0.1
197,116,NA,11,0.1,0.1
198,NA,NA,24,0.1,0.1
199,16,32,18,0.1,0.1
200,207,50,NA,0.1,0.1
201,NA,32,29,0.1,0.1
202,NA,11,44,0.1,0.1
203,NA,NA,24,0.1,0.1
204,NA,NA,43,0.1,0.1
205,NA,40,18,0.1,0.1
206,NA,NA,NA,0.1,0.1
207,NA,111,26,0.1,0.1
208,97,NA,31,0.1,0.1
209,NA,15,20,0.1,0.1
210,51,30,83,0.1,0.1
211,82,16,35,0.1,0.1
212,NA,NA,30,0.1,0.1
213,NA,NA,27,0.1,0.1
214,NA,33,26,0.1,0.1
215,42,12,23,0.1,0.1
216,NA,NA,163,0.1,0.1
217,11,92,27,0.1,0.1
218,11,NA,25,0.1,0.1
219,NA,NA,72,0.1,0.1
220,NA,NA,33,0.1,0.1
221,NA,11,209,0.1,0.1
222,NA,28,27,0.1,0.1
223,24,NA,38,0.1,0.1
224,NA,14,43,0.1,0.1
225,10,74,19,0.1,0.1
226,12,84,105,0.1,0.1
227,108,55,41,0.1,0.1
228,22,106,34,0.1,0.1
229,150,15,218,0.1,0.1
230,19,9,NA,0.1,0.1
231,15,NA,36,0.1,0.1
232,NA,25,22,0.1,0.1
233,15,27,17,0.1,0.1
234,26,18,36,0.1,0.1
235,12,28,12,0.1,0.1
236,19,NA,17,0.1,0.1
237,13,101,28,0.1,0.1
238,80,NA,NA,0.1,0.1
239,17,148,37,0.1,0.1
240,15,23,28,0.1,0.1
241,178,NA,17,0.1,0.1
242,NA,16,15,0.1,0.1
243,26,76,NA,0.1,0.1
244,NA,95,11,0.1,0.1
245,31,18,33,0.1,0.1
246,NA,35,20,0.1,0.1
247,NA,130,20,0.1,0.1
248,NA,160,27,0.1,0.1
249,NA,67,47,0.1,0.1
250,17,NA,20,0.1,0.1
251,164,NA,14,0.1,0.1
252,195,NA,15,0.1,0.1
253,58,98,NA,0.1,0.1
254,50,15,26,0.1,0.1
255,NA,96,13,0.1,0.1
256,58,25,17,0.1,0.1
257,NA,NA,NA,0.1,0.1
258,NA,150,24,0.1,0.1
259,122,NA,127,0.1,0.1
260,12,NA,45,0.1,0.1
261,142,14,9,0.1,0.1
262,NA,NA,49,0.1,0.1
263,38,NA,16,0.1,0.1
264,NA,NA,12,0.1,0.1
265,NA,48,118,0.1,0.1
266,14,54,NA,0.1,0.1
267,154,NA,NA,0.1,0.1
268,30,18,25,0.1,0.1
269,NA,NA,23,0.1,0.1
270,NA,NA,23,0.1,0.1
271,44,40,28,0.1,0.1
272,16,100,64,0.1,0.1
273,NA,NA,12,0.1,0.1
274,21,24,12,0.1,0.1
275,19,15,14,0.1,0.1
276,NA,22,41,0.1,0.1
277,60,14,9,0.1,0.1
278,NA,29,22,0.1,0.1
279,24,13,NA,0.1,0.1
280,NA,NA,14,0.1,0.1
281,NA,NA,44,0.1,0.1
282,NA,NA,170,0.1,0.1
283,12,47,NA,0.1,0.1
284,NA,NA,36,0.1,0.1
285,NA,182,16,0.1,0.1
286,11,NA,14,0.1,0.1
287,NA,NA,22,0.1,0.1
288,NA,14,92,0.1,0.1
289,NA,10,14,0.1,0.1
290,15,96,31,0.1,0.1
291,NA,27,23,0.1,0.1
292,93,NA,20,0.1,0.1
293,NA,10,40,0.1,0.1
294,NA,12,27,0.1,0.1
295,18,NA,19,0.1,0.1
296,NA,NA,191,0.1,0.1
297,NA,NA,59,0.1,0.1
298,33,NA,NA,0.1,0.1
299,18,NA,16,0.1,0.1
300,NA,NA,39,0.1,0.1
301,98,121,27,0.1,0.1
302,NA,NA,36,0.1,0.1
303,112,40,22,0.1,0.1
304,11,25,13,0.1,0.1
305,NA,12,12,0.1,0.1
306,20,23,81,0.1,0.1
307,NA,NA,17,0.1,0.1
308,17,NA,57,0.1,0.1
309,NA,12,74,0.1,0.1
310,90,13,24,0.1,0.1
311,142,130,136,0.1,0.1
312,21,136,217,0.1,0.1
313,NA,185,NA,0.1,0.1
314,NA,126,16,0.1,0.1
315,8,18,17,0.1,0.1
316,13,121,NA,0.1,0.1
317,NA,29,95,0.1,0.1
318,NA,NA,NA,0.1,0.1
319,NA,NA,NA,0.1,0.1
320,NA,NA,50,0.1,0.1
321,NA,23,16,0.1,0.1
322,NA,NA,16,0.1,0.1
323,50,NA,29,0.1,0.1
324,160,NA,29,0.1,0.1
325,19,NA,NA,0.1,0.1
326,12,21,34,0.1,0.1
327,42,NA,93,0.1,0.1
328,41,25,47,0.1,0.1
329,NA,26,12,0.1,0.1
330,64,54,NA,0.1,0.1
331,NA,NA,20,0.1,0.1
332,100,46,20,0.1,0.1
333,NA,NA,36,0.1,0.1
334,23,19,17,0.1,0.1
335,30,11,68,0.1,0.1
336,NA,102,17,0.1,0.1
337,27,20,22,0.1,0.1
338,NA,NA,23,0.1,0.1
339,15,22,48,0.1,0.1
340,23,47,18,0.1,0.1
341,136,28,23,0.1,0.1
342,NA,24,23,0.1,0.1
343,18,62,215,0.1,0.1
344,14,NA,43,0.1,0.1
345,44,NA,NA,0.1,0.1
346,16,NA,18,0.1,0.1
347,15,NA,22,0.1,0.1
348,18,NA,19,0.1,0.1
349,162,NA,NA,0.1,0.1
350,12,NA,21,0.1,0.1
351,22,NA,21,0.1,0.1
352,26,NA,32,0.1,0.1
353,33,50,NA,0.1,0.1
354,NA,152,15,0.1,0.1
355,NA,NA,NA,0.1,0.1
356,NA,NA,16,0.1,0.1
357,NA,148,NA,0.1,0.1
358,16,NA,12,0.1,0.1
359,NA,NA,191,0.1,0.1
360,NA,40,23,0.1,0.1
361,NA,14,32,0.1,0.1
362,11,NA,17,0.1,0.1
363,15,NA,19,0.1,0.1
364,144,132,95,0.1,0.1
365,30,NA,18,0.1,0.1
366,NA,NA,NA,0.1,0.1
367,18,69,17,0.1,0.1
368,17,NA,25,0.1,0.1
369,NA,109,15,0.1,0.1
370,NA,NA,17,0.1,0.1
371,NA,NA,62,0.1,0.1
372,29,NA,170,0.1,0.1
373,158,NA,13,0.1,0.1
374,15,285,26,0.1,0.1
375,20,15,NA,0.1,0.1
376,NA,NA,16,0.1,0.1
377,NA,51,18,0.1,0.1
378,17,126,17,0.1,0.1
