"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,104678,2,2,0.5,1
2,2,76250,2,0.5,1
3,110776,2,2,0.5,1
4,12394,113135,73745,0.5,1
5,2,2,2,0.5,1
6,2,2,20573,0.5,1
7,2,2,2,0.5,1
8,2,2,2,0.5,1
9,2,2,2,0.5,1
10,81463,22,10905,0.5,1
11,2,57,2,0.5,1
12,14756,2,90982,0.5,1
13,17,112136,2,0.5,1
14,2,2,1926,0.5,1
15,15400,2,2,0.5,1
16,12724,26765,54159,0.5,1
17,2,2,2,0.5,1
18,110112,6,2,0.5,1
19,2,2,2,0.5,1
20,33945,101330,51959,0.5,1
21,4,10,6573,0.5,1
22,11640,8318,2,0.5,1
23,121472,124805,2,0.5,1
24,2,34599,2,0.5,1
25,2,82576,131,0.5,1
26,2,140297,2,0.5,1
27,66,61574,2,0.5,1
28,80046,14,163591,0.5,1
29,30736,2,2,0.5,1
30,2,20103,1707,0.5,1
31,1903,2,2,0.5,1
32,2,2,2,0.5,1
33,2,1031,5493,0.5,1
34,92809,2,150293,0.5,1
35,2,62687,2,0.5,1
36,46,53907,2,0.5,1
37,2,180462,124760,0.5,1
38,2,72,2,0.5,1
39,2,2,2,0.5,1
40,26562,50148,2,0.5,1
41,228,5301,2,0.5,1
42,2,2,2,0.5,1
43,2,2,101050,0.5,1
44,122941,16366,2,0.5,1
45,2,63466,2,0.5,1
46,2,2,2,0.5,1
47,18568,67293,118,0.5,1
48,32,42,2,0.5,1
49,2,47,2,0.5,1
50,2,2,2,0.5,1
51,104545,151167,2,0.5,1
52,2,2,200,0.5,1
53,20626,2,2,0.5,1
54,147697,2,51052,0.5,1
55,2,2,2,0.5,1
56,2,160358,2,0.5,1
57,18,143505,708,0.5,1
58,2,64526,2,0.5,1
59,83559,2,424,0.5,1
60,2,2,17218,0.5,1
61,2,2,7601,0.5,1
62,2,140122,90409,0.5,1
63,2,2,438,0.5,1
64,2,2,2,0.5,1
65,41,2,2,0.5,1
66,69,2,2,0.5,1
67,2,2,2,0.5,1
68,2,70310,2,0.5,1
69,2,2,1303,0.5,1
70,48,2,2,0.5,1
71,82,149940,2,0.5,1
72,2,2,42289,0.5,1
73,2,2,2,0.5,1
74,150221,2,2,0.5,1
75,2,52757,2,0.5,1
76,2,16,2,0.5,1
77,2,2,87742,0.5,1
78,31285,42860,2,0.5,1
79,2,2,2,0.5,1
80,100997,29845,1864,0.5,1
81,2,2,1707,0.5,1
82,2,38846,316,0.5,1
83,2,160165,2,0.5,1
84,2,2,2,0.5,1
85,4158,12,2,0.5,1
86,2,2,2,0.5,1
87,2,8,60155,0.5,1
88,49029,2,189,0.5,1
89,2,2,2,0.5,1
90,2,8,49053,0.5,1
91,2,2,2,0.5,1
92,52034,2,133756,0.5,1
93,2,2,114738,0.5,1
94,2,2,2,0.5,1
95,2,2,2,0.5,1
96,2,102494,2,0.5,1
97,2,10146,232,0.5,1
98,2,146,123361,0.5,1
99,30,2,2,0.5,1
100,14999,2,9439,0.5,1
101,2,10,42791,0.5,1
102,16,2,405,0.5,1
103,2,2,2,0.5,1
104,111284,80,9574,0.5,1
105,43933,55616,3352,0.5,1
106,2,2,2,0.5,1
107,4,2,2,0.5,1
108,24,38,2,0.5,1
109,2,7598,2,0.5,1
110,2,18206,3612,0.5,1
111,4,44127,456,0.5,1
112,2,57,2,0.5,1
113,90046,20,3674,0.5,1
114,585,2,3250,0.5,1
115,2,144943,2,0.5,1
116,928,10097,565,0.5,1
117,26,2,2,0.5,1
118,2,40869,2,0.5,1
119,40,6,2,0.5,1
120,2,160016,2,0.5,1
121,245,135000,842,0.5,1
122,17722,150978,20813,0.5,1
123,2,54996,810,0.5,1
124,2,2,2,0.5,1
125,2,13,150655,0.5,1
126,2,294,61465,0.5,1
127,2,2,2,0.5,1
128,2,2,218,0.5,1
129,2,2,2,0.5,1
130,2,2,30855,0.5,1
131,2,2,2,0.5,1
132,2,2,2,0.5,1
133,3,2,2,0.5,1
134,1415,29,2299,0.5,1
135,129540,2,2,0.5,1
136,2,103035,2,0.5,1
137,2,2,2,0.5,1
138,2,2,2260,0.5,1
139,2,120325,2,0.5,1
140,40912,2,2,0.5,1
141,20155,17081,90194,0.5,1
142,10,2,15805,0.5,1
143,170039,2,2,0.5,1
144,2,2,2,0.5,1
145,2,2,116,0.5,1
146,2,2,335,0.5,1
147,2,2507,2,0.5,1
148,2,2,2,0.5,1
149,2,131193,NA,0.5,1
150,2,2,2,0.5,1
151,2,2,931,0.5,1
152,2,134,6887,0.5,1
153,14,100021,2,0.5,1
154,2,2,112,0.5,1
155,2,31,1619,0.5,1
156,2,2,2,0.5,1
157,2,2,2,0.5,1
158,140107,2,15736,0.5,1
159,2,2,2,0.5,1
160,2,85615,7275,0.5,1
161,2,4298,2,0.5,1
162,2,34,2,0.5,1
163,168141,2,2,0.5,1
164,51,2,2,0.5,1
165,45,20017,177,0.5,1
166,4,2,2,0.5,1
167,2,2,622,0.5,1
