"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,NA,NA,NA,0.5,2.5
2,193184,183582,NA,0.5,2.5
3,190553,181515,NA,0.5,2.5
4,197987,182990,NA,0.5,2.5
5,NA,180080,NA,0.5,2.5
6,188857,NA,NA,0.5,2.5
7,NA,178794,NA,0.5,2.5
8,197165,183646,NA,0.5,2.5
9,197113,194868,NA,0.5,2.5
10,NA,185750,NA,0.5,2.5
11,NA,NA,NA,0.5,2.5
12,NA,NA,NA,0.5,2.5
13,NA,NA,NA,0.5,2.5
14,NA,NA,NA,0.5,2.5
15,NA,195250,NA,0.5,2.5
16,184448,190529,NA,0.5,2.5
17,192587,176004,NA,0.5,2.5
18,187740,194719,NA,0.5,2.5
19,NA,191014,NA,0.5,2.5
20,189901,184559,NA,0.5,2.5
21,194670,NA,NA,0.5,2.5
22,NA,187217,NA,0.5,2.5
23,NA,180715,NA,0.5,2.5
24,NA,NA,NA,0.5,2.5
25,NA,NA,NA,0.5,2.5
26,NA,NA,NA,0.5,2.5
27,NA,NA,NA,0.5,2.5
28,NA,188483,NA,0.5,2.5
29,NA,NA,NA,0.5,2.5
30,183678,NA,NA,0.5,2.5
31,188884,NA,NA,0.5,2.5
32,NA,NA,NA,0.5,2.5
33,NA,179182,NA,0.5,2.5
34,192233,NA,NA,0.5,2.5
35,183386,199052,NA,0.5,2.5
36,NA,175567,NA,0.5,2.5
37,NA,NA,198275,0.5,2.5
38,183682,178365,NA,0.5,2.5
39,198502,NA,NA,0.5,2.5
40,194605,179548,NA,0.5,2.5
41,NA,NA,NA,0.5,2.5
42,NA,NA,NA,0.5,2.5
43,NA,NA,NA,0.5,2.5
44,195029,194677,NA,0.5,2.5
45,NA,179922,NA,0.5,2.5
46,NA,NA,NA,0.5,2.5
47,193468,190183,NA,0.5,2.5
48,174630,193682,NA,0.5,2.5
49,193104,199854,NA,0.5,2.5
50,NA,185802,NA,0.5,2.5
51,NA,NA,NA,0.5,2.5
52,NA,NA,NA,0.5,2.5
53,198625,192964,NA,0.5,2.5
54,NA,NA,NA,0.5,2.5
55,NA,194679,NA,0.5,2.5
56,NA,NA,NA,0.5,2.5
57,NA,NA,NA,0.5,2.5
58,NA,193406,NA,0.5,2.5
59,190088,184329,NA,0.5,2.5
60,NA,181965,NA,0.5,2.5
61,182198,NA,NA,0.5,2.5
62,196769,179272,NA,0.5,2.5
63,186029,187382,NA,0.5,2.5
64,NA,196328,NA,0.5,2.5
65,188006,193130,NA,0.5,2.5
66,NA,199689,199565,0.5,2.5
67,NA,185237,NA,0.5,2.5
68,NA,NA,NA,0.5,2.5
69,NA,189071,NA,0.5,2.5
70,197114,NA,NA,0.5,2.5
71,NA,NA,NA,0.5,2.5
72,NA,151611,NA,0.5,2.5
73,NA,197604,NA,0.5,2.5
74,185481,NA,NA,0.5,2.5
75,NA,NA,NA,0.5,2.5
76,183411,188932,NA,0.5,2.5
77,NA,NA,NA,0.5,2.5
78,186447,189671,NA,0.5,2.5
79,NA,187615,NA,0.5,2.5
80,NA,190307,NA,0.5,2.5
81,NA,NA,NA,0.5,2.5
82,NA,NA,NA,0.5,2.5
83,196842,171461,NA,0.5,2.5
84,NA,NA,NA,0.5,2.5
85,182002,182813,NA,0.5,2.5
86,NA,187743,NA,0.5,2.5
87,NA,187753,NA,0.5,2.5
88,NA,NA,NA,0.5,2.5
89,NA,175851,NA,0.5,2.5
90,NA,185452,NA,0.5,2.5
91,NA,NA,NA,0.5,2.5
92,NA,186081,NA,0.5,2.5
93,NA,NA,NA,0.5,2.5
94,184068,192443,NA,0.5,2.5
95,NA,NA,NA,0.5,2.5
96,NA,192109,NA,0.5,2.5
97,NA,188703,NA,0.5,2.5
98,NA,185365,NA,0.5,2.5
99,NA,188811,NA,0.5,2.5
100,NA,NA,NA,0.5,2.5
101,NA,164609,NA,0.5,2.5
102,187468,188871,NA,0.5,2.5
103,NA,NA,NA,0.5,2.5
104,NA,179430,NA,0.5,2.5
105,NA,177514,NA,0.5,2.5
106,197152,186109,NA,0.5,2.5
107,NA,186186,NA,0.5,2.5
108,NA,95231,NA,0.5,2.5
109,186472,187554,NA,0.5,2.5
110,181827,196160,NA,0.5,2.5
111,183816,182785,NA,0.5,2.5
112,NA,184036,NA,0.5,2.5
113,NA,198872,NA,0.5,2.5
114,NA,179935,NA,0.5,2.5
115,NA,188986,NA,0.5,2.5
116,NA,193223,NA,0.5,2.5
117,188164,186762,NA,0.5,2.5
118,NA,196870,NA,0.5,2.5
119,192799,192542,NA,0.5,2.5
120,192482,187840,NA,0.5,2.5
121,NA,186717,NA,0.5,2.5
122,NA,190041,NA,0.5,2.5
123,NA,NA,NA,0.5,2.5
124,NA,NA,NA,0.5,2.5
125,194753,193609,NA,0.5,2.5
126,NA,177801,NA,0.5,2.5
127,NA,NA,NA,0.5,2.5
128,NA,186819,NA,0.5,2.5
129,NA,189682,NA,0.5,2.5
130,NA,NA,NA,0.5,2.5
131,188826,194537,NA,0.5,2.5
132,NA,179435,NA,0.5,2.5
133,NA,187893,NA,0.5,2.5
134,NA,179340,NA,0.5,2.5
135,NA,188539,NA,0.5,2.5
136,NA,NA,NA,0.5,2.5
137,185697,NA,NA,0.5,2.5
138,NA,NA,NA,0.5,2.5
139,NA,183974,NA,0.5,2.5
140,NA,198372,NA,0.5,2.5
141,NA,176103,NA,0.5,2.5
142,NA,NA,NA,0.5,2.5
143,NA,NA,192581,0.5,2.5
144,183934,NA,NA,0.5,2.5
145,NA,180100,NA,0.5,2.5
146,NA,NA,188410,0.5,2.5
147,189146,NA,NA,0.5,2.5
148,NA,189254,NA,0.5,2.5
149,NA,196554,NA,0.5,2.5
150,198197,184482,NA,0.5,2.5
151,NA,196761,195004,0.5,2.5
152,NA,199578,NA,0.5,2.5
153,NA,170497,NA,0.5,2.5
154,189719,191426,NA,0.5,2.5
155,183951,176076,NA,0.5,2.5
156,NA,NA,NA,0.5,2.5
157,NA,175578,NA,0.5,2.5
158,NA,189926,NA,0.5,2.5
159,NA,NA,NA,0.5,2.5
160,NA,NA,NA,0.5,2.5
161,NA,NA,NA,0.5,2.5
162,NA,194840,NA,0.5,2.5
163,NA,NA,NA,0.5,2.5
164,NA,NA,NA,0.5,2.5
165,187088,NA,NA,0.5,2.5
166,NA,199702,NA,0.5,2.5
167,NA,190765,NA,0.5,2.5
168,NA,NA,NA,0.5,2.5
169,199976,185220,NA,0.5,2.5
170,NA,NA,NA,0.5,2.5
171,NA,173376,NA,0.5,2.5
172,NA,185761,NA,0.5,2.5
173,199838,183018,NA,0.5,2.5
174,NA,188331,NA,0.5,2.5
175,NA,194873,NA,0.5,2.5
176,182608,NA,NA,0.5,2.5
177,194272,NA,NA,0.5,2.5
178,NA,194449,NA,0.5,2.5
179,NA,195694,NA,0.5,2.5
180,NA,179970,197605,0.5,2.5
181,NA,174642,NA,0.5,2.5
182,NA,NA,195875,0.5,2.5
183,NA,NA,NA,0.5,2.5
184,NA,NA,NA,0.5,2.5
185,NA,NA,NA,0.5,2.5
186,NA,NA,NA,0.5,2.5
187,184450,187133,NA,0.5,2.5
188,NA,185656,NA,0.5,2.5
189,189213,NA,NA,0.5,2.5
190,NA,184927,NA,0.5,2.5
191,NA,181143,NA,0.5,2.5
192,NA,NA,NA,0.5,2.5
193,197146,195797,NA,0.5,2.5
194,NA,189912,NA,0.5,2.5
195,NA,189948,NA,0.5,2.5
196,NA,186843,NA,0.5,2.5
197,NA,NA,NA,0.5,2.5
198,NA,197168,NA,0.5,2.5
199,185935,109643,NA,0.5,2.5
200,NA,NA,NA,0.5,2.5
201,NA,198105,NA,0.5,2.5
202,195099,NA,NA,0.5,2.5
203,NA,NA,NA,0.5,2.5
204,190695,NA,NA,0.5,2.5
205,188133,186706,NA,0.5,2.5
206,194755,175719,NA,0.5,2.5
207,183171,NA,NA,0.5,2.5
208,NA,NA,189231,0.5,2.5
209,NA,181846,192090,0.5,2.5
210,NA,181205,NA,0.5,2.5
211,197605,NA,NA,0.5,2.5
212,NA,197460,NA,0.5,2.5
213,NA,181092,NA,0.5,2.5
214,NA,NA,NA,0.5,2.5
215,195643,184956,189895,0.5,2.5
216,NA,178856,NA,0.5,2.5
217,188717,193677,NA,0.5,2.5
218,NA,197842,NA,0.5,2.5
219,NA,NA,NA,0.5,2.5
220,NA,191560,NA,0.5,2.5
221,NA,190153,NA,0.5,2.5
222,195120,179770,NA,0.5,2.5
223,NA,180404,NA,0.5,2.5
224,NA,NA,NA,0.5,2.5
225,NA,184793,NA,0.5,2.5
226,NA,NA,NA,0.5,2.5
227,NA,170858,NA,0.5,2.5
228,NA,183779,NA,0.5,2.5
229,NA,NA,NA,0.5,2.5
230,189667,NA,NA,0.5,2.5
231,183103,186079,NA,0.5,2.5
232,NA,194522,192269,0.5,2.5
233,NA,177404,NA,0.5,2.5
234,197709,187374,NA,0.5,2.5
235,178773,NA,NA,0.5,2.5
236,199905,NA,NA,0.5,2.5
237,196740,NA,NA,0.5,2.5
238,NA,184852,NA,0.5,2.5
239,191722,NA,191156,0.5,2.5
240,NA,NA,NA,0.5,2.5
241,180698,187532,NA,0.5,2.5
242,NA,NA,NA,0.5,2.5
243,NA,191549,NA,0.5,2.5
244,NA,NA,NA,0.5,2.5
245,179616,154888,185494,0.5,2.5
246,182921,NA,NA,0.5,2.5
247,NA,198710,NA,0.5,2.5
248,NA,NA,NA,0.5,2.5
249,NA,NA,NA,0.5,2.5
250,NA,NA,NA,0.5,2.5
251,NA,189003,NA,0.5,2.5
252,191894,NA,NA,0.5,2.5
253,NA,193553,NA,0.5,2.5
254,199373,186082,NA,0.5,2.5
255,NA,178478,NA,0.5,2.5
256,NA,198740,NA,0.5,2.5
257,NA,189980,NA,0.5,2.5
258,NA,NA,NA,0.5,2.5
259,NA,NA,NA,0.5,2.5
260,189503,193316,NA,0.5,2.5
261,194973,NA,NA,0.5,2.5
262,NA,NA,NA,0.5,2.5
263,NA,184419,NA,0.5,2.5
264,NA,183940,NA,0.5,2.5
265,NA,191309,NA,0.5,2.5
266,186680,195776,NA,0.5,2.5
267,NA,197221,NA,0.5,2.5
268,191907,168629,NA,0.5,2.5
269,NA,191251,NA,0.5,2.5
270,187034,NA,NA,0.5,2.5
271,NA,172906,NA,0.5,2.5
272,NA,172239,NA,0.5,2.5
273,NA,189546,NA,0.5,2.5
274,NA,177025,NA,0.5,2.5
275,NA,NA,NA,0.5,2.5
276,NA,NA,NA,0.5,2.5
277,NA,180005,NA,0.5,2.5
278,NA,184760,196249,0.5,2.5
279,NA,189432,NA,0.5,2.5
280,NA,159976,NA,0.5,2.5
281,NA,NA,NA,0.5,2.5
282,NA,NA,NA,0.5,2.5
283,NA,NA,193425,0.5,2.5
284,NA,182000,NA,0.5,2.5
285,197504,NA,NA,0.5,2.5
286,NA,155084,NA,0.5,2.5
287,NA,188883,NA,0.5,2.5
288,181375,196311,NA,0.5,2.5
289,176393,NA,NA,0.5,2.5
290,NA,192134,NA,0.5,2.5
291,NA,185653,198770,0.5,2.5
292,NA,NA,NA,0.5,2.5
293,189612,179528,NA,0.5,2.5
294,NA,NA,NA,0.5,2.5
295,187594,NA,NA,0.5,2.5
296,NA,199298,NA,0.5,2.5
297,NA,185190,NA,0.5,2.5
298,NA,175327,NA,0.5,2.5
299,NA,188487,NA,0.5,2.5
300,NA,177152,NA,0.5,2.5
301,NA,NA,NA,0.5,2.5
302,NA,NA,NA,0.5,2.5
303,NA,NA,NA,0.5,2.5
304,192837,195350,NA,0.5,2.5
305,NA,176806,NA,0.5,2.5
306,192157,178224,NA,0.5,2.5
307,NA,NA,NA,0.5,2.5
308,196168,188551,NA,0.5,2.5
309,NA,183570,NA,0.5,2.5
310,NA,176472,NA,0.5,2.5
311,187366,NA,NA,0.5,2.5
312,170557,NA,NA,0.5,2.5
313,186196,NA,NA,0.5,2.5
314,190022,188532,NA,0.5,2.5
315,191005,184635,NA,0.5,2.5
316,NA,NA,NA,0.5,2.5
317,187794,NA,NA,0.5,2.5
318,NA,191945,NA,0.5,2.5
319,NA,181033,NA,0.5,2.5
320,NA,192857,NA,0.5,2.5
321,NA,174613,NA,0.5,2.5
322,NA,186490,NA,0.5,2.5
323,188613,NA,NA,0.5,2.5
324,179959,190745,NA,0.5,2.5
325,NA,NA,NA,0.5,2.5
326,NA,186003,NA,0.5,2.5
327,185356,NA,NA,0.5,2.5
328,NA,NA,NA,0.5,2.5
329,NA,184555,NA,0.5,2.5
330,186806,NA,NA,0.5,2.5
331,195811,198282,NA,0.5,2.5
332,NA,184313,NA,0.5,2.5
333,NA,181495,NA,0.5,2.5
334,NA,NA,NA,0.5,2.5
335,196730,187141,NA,0.5,2.5
336,NA,186825,NA,0.5,2.5
337,176687,189934,NA,0.5,2.5
338,NA,171941,NA,0.5,2.5
339,NA,197239,NA,0.5,2.5
340,NA,NA,NA,0.5,2.5
341,NA,NA,NA,0.5,2.5
342,NA,NA,NA,0.5,2.5
343,NA,185869,NA,0.5,2.5
344,NA,164292,195792,0.5,2.5
345,174171,NA,NA,0.5,2.5
346,NA,186906,NA,0.5,2.5
347,199356,NA,NA,0.5,2.5
348,195384,194854,185330,0.5,2.5
349,182378,192030,NA,0.5,2.5
350,NA,196596,NA,0.5,2.5
351,NA,NA,189679,0.5,2.5
352,NA,188076,NA,0.5,2.5
353,189907,NA,NA,0.5,2.5
354,193044,174021,NA,0.5,2.5
355,NA,187438,NA,0.5,2.5
356,192011,183683,NA,0.5,2.5
357,NA,190183,NA,0.5,2.5
358,194511,198886,NA,0.5,2.5
359,179088,NA,NA,0.5,2.5
360,NA,NA,NA,0.5,2.5
361,NA,NA,NA,0.5,2.5
362,NA,NA,NA,0.5,2.5
363,NA,187081,NA,0.5,2.5
364,NA,173035,NA,0.5,2.5
365,NA,NA,NA,0.5,2.5
366,NA,NA,NA,0.5,2.5
367,NA,49861,NA,0.5,2.5
368,198918,180681,NA,0.5,2.5
369,NA,NA,NA,0.5,2.5
370,NA,187725,NA,0.5,2.5
371,NA,189288,NA,0.5,2.5
372,NA,184585,NA,0.5,2.5
373,191920,NA,NA,0.5,2.5
374,188006,174917,NA,0.5,2.5
375,NA,181114,NA,0.5,2.5
376,NA,188153,NA,0.5,2.5
377,NA,199566,NA,0.5,2.5
378,NA,177646,NA,0.5,2.5
379,NA,NA,NA,0.5,2.5
380,NA,186543,NA,0.5,2.5
381,NA,188349,NA,0.5,2.5
382,187823,NA,NA,0.5,2.5
383,197187,175330,NA,0.5,2.5
384,NA,188886,NA,0.5,2.5
385,NA,184353,NA,0.5,2.5
386,NA,190292,NA,0.5,2.5
387,NA,NA,NA,0.5,2.5
388,NA,189179,NA,0.5,2.5
389,NA,185209,NA,0.5,2.5
390,191141,185416,NA,0.5,2.5
391,178914,196169,NA,0.5,2.5
392,NA,191105,NA,0.5,2.5
393,NA,175691,NA,0.5,2.5
394,NA,NA,NA,0.5,2.5
395,NA,186497,NA,0.5,2.5
396,NA,192768,NA,0.5,2.5
397,NA,190388,NA,0.5,2.5
398,NA,195944,NA,0.5,2.5
399,NA,179341,NA,0.5,2.5
400,NA,192075,NA,0.5,2.5
401,NA,NA,NA,0.5,2.5
402,NA,192880,NA,0.5,2.5
403,197625,186485,NA,0.5,2.5
404,NA,NA,NA,0.5,2.5
405,188552,NA,NA,0.5,2.5
406,183838,NA,NA,0.5,2.5
407,NA,NA,NA,0.5,2.5
408,188906,186306,180583,0.5,2.5
409,NA,188047,NA,0.5,2.5
410,NA,NA,NA,0.5,2.5
411,NA,NA,NA,0.5,2.5
412,NA,186065,NA,0.5,2.5
413,NA,185672,NA,0.5,2.5
414,183753,198547,NA,0.5,2.5
415,179359,NA,NA,0.5,2.5
416,NA,189725,NA,0.5,2.5
417,NA,NA,NA,0.5,2.5
418,NA,188749,NA,0.5,2.5
419,189759,184894,NA,0.5,2.5
420,NA,183939,NA,0.5,2.5
421,NA,183335,NA,0.5,2.5
