"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,165117,174337,NA,0.1,2.2
2,NA,155726,186429,0.1,2.2
3,174534,157722,NA,0.1,2.2
4,174116,174710,170752,0.1,2.2
5,159343,165929,158097,0.1,2.2
6,159938,197217,152973,0.1,2.2
7,147881,196993,167599,0.1,2.2
8,159406,158026,180248,0.1,2.2
9,86037,130152,NA,0.1,2.2
10,NA,175348,196038,0.1,2.2
11,166097,135201,164468,0.1,2.2
12,189629,153832,NA,0.1,2.2
13,180403,169168,NA,0.1,2.2
14,NA,167921,172976,0.1,2.2
15,NA,121868,186371,0.1,2.2
16,127709,172171,160620,0.1,2.2
17,126241,170003,176361,0.1,2.2
18,172234,NA,NA,0.1,2.2
19,144618,164614,172121,0.1,2.2
20,NA,141886,160253,0.1,2.2
21,107069,NA,163406,0.1,2.2
22,154897,170745,NA,0.1,2.2
23,139452,155628,198128,0.1,2.2
24,165275,155601,167946,0.1,2.2
25,153653,170495,170775,0.1,2.2
26,NA,161996,125052,0.1,2.2
27,185788,159131,NA,0.1,2.2
28,74441,176730,NA,0.1,2.2
29,176028,155655,180598,0.1,2.2
30,124540,159664,NA,0.1,2.2
31,166752,157748,176220,0.1,2.2
32,162803,125242,155162,0.1,2.2
33,162174,177462,NA,0.1,2.2
34,142385,165560,NA,0.1,2.2
35,177938,174498,NA,0.1,2.2
36,192847,179717,183532,0.1,2.2
37,161363,163712,160015,0.1,2.2
38,182150,190210,193874,0.1,2.2
39,131100,78577,137250,0.1,2.2
40,NA,168757,182243,0.1,2.2
41,164370,138494,164188,0.1,2.2
42,165612,NA,166477,0.1,2.2
43,129736,162600,NA,0.1,2.2
44,109621,179074,174556,0.1,2.2
45,140682,158508,NA,0.1,2.2
46,185627,124777,NA,0.1,2.2
47,105061,162894,180950,0.1,2.2
48,196518,161650,NA,0.1,2.2
49,NA,NA,134840,0.1,2.2
50,146227,180781,172004,0.1,2.2
51,NA,159470,NA,0.1,2.2
52,179900,182753,NA,0.1,2.2
53,180433,NA,161556,0.1,2.2
54,NA,148993,141572,0.1,2.2
55,174945,190331,NA,0.1,2.2
56,185160,166696,173195,0.1,2.2
