"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,2,2,92867,0.5,1
2,2,6,440,0.5,1
3,2,2,65960,0.5,1
4,2,2,142671,0.5,1
5,2,2,2,0.5,1
6,2,20,214,0.5,1
7,2,2,2,0.5,1
8,29,20099,2,0.5,1
9,2,2,51881,0.5,1
10,117635,20846,2,0.5,1
11,30,2,2,0.5,1
12,2,12,2,0.5,1
13,2,2,2663,0.5,1
14,2,2,8836,0.5,1
15,2,2,2,0.5,1
16,2,130058,2,0.5,1
17,2,2,2,0.5,1
18,2,51168,2,0.5,1
19,2,2,2,0.5,1
20,12066,131362,20951,0.5,1
21,118896,2,2,0.5,1
22,100606,180,2,0.5,1
23,2,5081,2,0.5,1
24,2,2,2,0.5,1
25,3,2,2,0.5,1
26,2,2,15597,0.5,1
27,387,2,2,0.5,1
28,2,2,2,0.5,1
29,55621,141469,80235,0.5,1
30,2,2,4628,0.5,1
31,2,150628,53811,0.5,1
32,2,2,3544,0.5,1
33,2,100598,2,0.5,1
34,2,12854,2,0.5,1
35,110,2639,2,0.5,1
36,2,2,2,0.5,1
37,2,2,14632,0.5,1
38,2,2,2,0.5,1
39,39537,2,2,0.5,1
40,2,3,110528,0.5,1
41,1731,2,2,0.5,1
42,41032,31,32605,0.5,1
43,6,2,2,0.5,1
44,2,2,2,0.5,1
45,60194,2,78443,0.5,1
46,20158,68019,2,0.5,1
47,2,60419,9645,0.5,1
48,2,2,2188,0.5,1
49,16,2,2,0.5,1
50,2499,127220,2,0.5,1
51,2,68657,2,0.5,1
52,2,95005,1364,0.5,1
53,2,6,2,0.5,1
54,124181,2,2,0.5,1
55,2,8306,2,0.5,1
56,2,2,2,0.5,1
57,2,2,100268,0.5,1
58,2,2,100707,0.5,1
59,1156,2,473,0.5,1
60,2,59997,2,0.5,1
61,2,333,2,0.5,1
62,209,2,2,0.5,1
63,20,124278,131703,0.5,1
64,2,2,2,0.5,1
65,40772,21867,2,0.5,1
66,2,73556,2113,0.5,1
67,330,2,543,0.5,1
68,79904,2,973,0.5,1
69,142328,14,2,0.5,1
70,120451,2,2,0.5,1
71,2,2,2,0.5,1
72,2,16459,2,0.5,1
73,62604,8508,2,0.5,1
74,2,2,104890,0.5,1
75,2,117,2,0.5,1
76,66,10293,937,0.5,1
77,2,2,2,0.5,1
78,90247,2,2,0.5,1
79,2,2,2,0.5,1
80,2,131957,36281,0.5,1
81,12,38,2,0.5,1
82,119856,14,620,0.5,1
83,84782,2,727,0.5,1
84,143037,70619,2,0.5,1
85,2,30244,2,0.5,1
86,2,2,2,0.5,1
87,93,2,170450,0.5,1
88,2,2,3,0.5,1
89,2,30984,26775,0.5,1
90,2,2,1423,0.5,1
91,1789,2,2,0.5,1
92,2,2,2,0.5,1
93,2,2,2,0.5,1
94,70100,2,2,0.5,1
95,14154,2,3186,0.5,1
96,2,2,2,0.5,1
97,2,12,284,0.5,1
98,2,136456,24309,0.5,1
99,2,2,2,0.5,1
100,2,13,2,0.5,1
101,50292,2,2,0.5,1
102,2,2,124,0.5,1
103,2,2,2,0.5,1
104,130330,2,48189,0.5,1
105,490,2,2,0.5,1
106,2,10124,48271,0.5,1
107,2,2,587,0.5,1
108,58642,2,2,0.5,1
109,2,2,2,0.5,1
110,2,2,2,0.5,1
111,40413,2,2,0.5,1
112,115,110165,7708,0.5,1
113,113003,62,2,0.5,1
114,486,2,82207,0.5,1
115,2,30045,2,0.5,1
116,2,2,2,0.5,1
117,70928,2,2,0.5,1
118,2,4,2,0.5,1
119,2,116226,122026,0.5,1
120,2,2,9446,0.5,1
121,2,130,76574,0.5,1
122,2,106250,1539,0.5,1
123,2,2,162,0.5,1
124,10,14,2,0.5,1
125,104014,131909,2724,0.5,1
126,100147,147197,2,0.5,1
127,2,2,50129,0.5,1
128,2,2,2,0.5,1
129,352,2,21646,0.5,1
130,2,2,17195,0.5,1
131,39,2,NA,0.5,1
132,2,64445,2,0.5,1
133,2,80578,2,0.5,1
134,110287,61265,2,0.5,1
135,120016,41523,2,0.5,1
136,144048,2,2,0.5,1
137,2,8658,22577,0.5,1
138,5311,2,2,0.5,1
139,2,47390,615,0.5,1
140,2,2,339,0.5,1
141,2,2,2,0.5,1
142,2,2,160045,0.5,1
143,55488,2,1429,0.5,1
144,2,21821,73813,0.5,1
145,2,25,2,0.5,1
146,16480,51511,100334,0.5,1
147,2,91655,2,0.5,1
148,90319,2,2,0.5,1
149,2,2,166740,0.5,1
150,60516,81,40718,0.5,1
151,45,130913,2,0.5,1
152,111432,130749,72245,0.5,1
153,30,2,2,0.5,1
154,2,2,2,0.5,1
155,25274,2,93,0.5,1
156,2,2,2,0.5,1
157,40,46477,471,0.5,1
158,20,130152,2,0.5,1
159,10657,2,2,0.5,1
160,2,2,2,0.5,1
161,2,10,31534,0.5,1
162,23,2787,384,0.5,1
163,2,10449,280,0.5,1
164,98569,2,2,0.5,1
165,21,2,50027,0.5,1
166,2,53,2,0.5,1
167,3939,2,2,0.5,1
168,2,2,2,0.5,1
169,2,917,529,0.5,1
170,132,2,2,0.5,1
171,2,2,21888,0.5,1
172,24,118564,2,0.5,1
173,2,5800,2,0.5,1
174,2,3,2,0.5,1
175,25,5927,2,0.5,1
