"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,NA,174447,NA,0.5,1.8
2,192036,108823,NA,0.5,1.8
3,117069,194102,NA,0.5,1.8
4,NA,169605,NA,0.5,1.8
5,182381,161568,173425,0.5,1.8
6,NA,166667,NA,0.5,1.8
7,44908,182442,40918,0.5,1.8
8,54726,143572,NA,0.5,1.8
9,65463,157024,NA,0.5,1.8
10,129781,71026,NA,0.5,1.8
11,NA,42592,NA,0.5,1.8
12,168293,148681,NA,0.5,1.8
13,NA,127922,NA,0.5,1.8
14,189522,66068,NA,0.5,1.8
15,NA,NA,146640,0.5,1.8
16,125551,NA,46213,0.5,1.8
17,127769,NA,178175,0.5,1.8
18,168454,139964,NA,0.5,1.8
19,180051,79195,163634,0.5,1.8
20,143325,NA,NA,0.5,1.8
21,166959,162842,132145,0.5,1.8
22,195288,178493,191309,0.5,1.8
23,157615,164435,90022,0.5,1.8
24,162785,NA,NA,0.5,1.8
25,NA,176868,NA,0.5,1.8
26,NA,NA,NA,0.5,1.8
27,164048,76515,NA,0.5,1.8
28,160974,160788,NA,0.5,1.8
29,84929,161180,NA,0.5,1.8
30,194795,176267,NA,0.5,1.8
31,NA,166974,187116,0.5,1.8
32,36884,181378,140838,0.5,1.8
33,NA,101689,NA,0.5,1.8
34,129773,172477,121450,0.5,1.8
35,169351,133533,NA,0.5,1.8
36,171798,176096,NA,0.5,1.8
37,180360,184395,NA,0.5,1.8
38,177211,165681,155122,0.5,1.8
39,61297,NA,NA,0.5,1.8
40,169221,27525,23470,0.5,1.8
41,NA,NA,38007,0.5,1.8
42,NA,120085,NA,0.5,1.8
43,NA,107572,NA,0.5,1.8
44,148710,NA,NA,0.5,1.8
45,99906,25587,NA,0.5,1.8
46,188022,178813,NA,0.5,1.8
47,63354,179820,NA,0.5,1.8
48,NA,NA,195917,0.5,1.8
49,NA,119394,184953,0.5,1.8
50,130815,168590,NA,0.5,1.8
51,NA,172112,NA,0.5,1.8
52,141254,NA,NA,0.5,1.8
53,152624,NA,NA,0.5,1.8
54,181509,82831,NA,0.5,1.8
55,186241,71388,59000,0.5,1.8
56,84527,126360,NA,0.5,1.8
57,182052,182075,NA,0.5,1.8
58,NA,184216,NA,0.5,1.8
59,190522,177764,NA,0.5,1.8
60,NA,146047,197322,0.5,1.8
61,142872,94124,NA,0.5,1.8
62,NA,180055,NA,0.5,1.8
63,NA,147721,56710,0.5,1.8
64,9433,NA,182997,0.5,1.8
65,158028,26892,NA,0.5,1.8
66,162423,69115,NA,0.5,1.8
67,58025,192026,NA,0.5,1.8
68,45175,173971,NA,0.5,1.8
69,NA,170484,NA,0.5,1.8
70,182891,160172,NA,0.5,1.8
71,61474,71291,NA,0.5,1.8
72,NA,34639,NA,0.5,1.8
73,97323,75715,NA,0.5,1.8
74,NA,103028,NA,0.5,1.8
75,22586,139609,NA,0.5,1.8
76,NA,194217,22120,0.5,1.8
77,169252,87707,197138,0.5,1.8
78,184140,179821,NA,0.5,1.8
79,NA,70466,NA,0.5,1.8
80,28572,139293,193241,0.5,1.8
81,54062,27257,NA,0.5,1.8
82,NA,175458,NA,0.5,1.8
83,NA,NA,NA,0.5,1.8
84,187147,193314,NA,0.5,1.8
85,167530,NA,NA,0.5,1.8
86,NA,125650,33630,0.5,1.8
87,40107,140072,153349,0.5,1.8
88,175966,125016,NA,0.5,1.8
89,149525,174934,NA,0.5,1.8
90,188450,164848,NA,0.5,1.8
91,175779,130099,NA,0.5,1.8
92,NA,NA,NA,0.5,1.8
93,176156,116993,NA,0.5,1.8
94,189100,88510,92703,0.5,1.8
95,NA,155124,182516,0.5,1.8
96,166383,NA,NA,0.5,1.8
97,185006,135725,NA,0.5,1.8
98,NA,119776,152184,0.5,1.8
99,187851,137249,NA,0.5,1.8
100,127432,172460,NA,0.5,1.8
101,136954,180393,NA,0.5,1.8
102,NA,81819,84346,0.5,1.8
103,68240,NA,190326,0.5,1.8
104,NA,145582,NA,0.5,1.8
105,NA,43196,146423,0.5,1.8
106,NA,191354,NA,0.5,1.8
107,NA,144423,52008,0.5,1.8
108,NA,174132,NA,0.5,1.8
109,164022,59953,NA,0.5,1.8
110,NA,72918,NA,0.5,1.8
111,177718,167969,NA,0.5,1.8
112,NA,54781,NA,0.5,1.8
113,23561,60296,NA,0.5,1.8
114,168633,73713,NA,0.5,1.8
115,NA,130685,50651,0.5,1.8
116,83438,165024,NA,0.5,1.8
117,NA,93047,NA,0.5,1.8
118,74958,54238,NA,0.5,1.8
119,NA,196316,NA,0.5,1.8
120,41316,41646,NA,0.5,1.8
121,27159,190945,NA,0.5,1.8
122,39540,NA,NA,0.5,1.8
123,35071,129867,NA,0.5,1.8
124,191355,NA,NA,0.5,1.8
125,129502,177850,NA,0.5,1.8
126,182412,NA,NA,0.5,1.8
127,101293,177632,NA,0.5,1.8
128,NA,186196,NA,0.5,1.8
129,139439,115930,NA,0.5,1.8
130,57030,170580,182406,0.5,1.8
131,NA,NA,NA,0.5,1.8
132,177615,NA,197028,0.5,1.8
133,193430,163639,NA,0.5,1.8
134,103215,56412,NA,0.5,1.8
135,NA,NA,NA,0.5,1.8
136,197735,NA,NA,0.5,1.8
137,197584,187610,170892,0.5,1.8
138,38659,168873,NA,0.5,1.8
139,198186,195112,NA,0.5,1.8
140,NA,194708,NA,0.5,1.8
141,178640,54826,NA,0.5,1.8
142,180980,193932,187486,0.5,1.8
143,92778,156545,71627,0.5,1.8
144,159253,150564,165005,0.5,1.8
145,196373,171332,16062,0.5,1.8
146,171091,46643,62356,0.5,1.8
147,58913,199543,21536,0.5,1.8
148,185746,70659,109753,0.5,1.8
149,71491,49546,161804,0.5,1.8
150,195236,179117,NA,0.5,1.8
151,107959,180908,NA,0.5,1.8
152,156387,169437,191034,0.5,1.8
153,188306,53588,NA,0.5,1.8
154,NA,145836,NA,0.5,1.8
155,199395,169572,NA,0.5,1.8
156,186065,142135,187108,0.5,1.8
157,70889,164928,NA,0.5,1.8
158,161348,140022,NA,0.5,1.8
159,177903,NA,NA,0.5,1.8
160,43401,67310,NA,0.5,1.8
161,80656,64014,NA,0.5,1.8
162,190176,155575,165035,0.5,1.8
163,NA,184695,NA,0.5,1.8
164,149908,122816,31630,0.5,1.8
165,158408,182453,187174,0.5,1.8
166,188130,174503,NA,0.5,1.8
167,NA,182794,38464,0.5,1.8
168,137668,12587,88091,0.5,1.8
169,NA,165525,199392,0.5,1.8
170,46618,56227,NA,0.5,1.8
171,NA,NA,NA,0.5,1.8
172,125839,183823,NA,0.5,1.8
173,36141,37824,NA,0.5,1.8
174,192557,NA,176649,0.5,1.8
175,NA,53424,147982,0.5,1.8
176,NA,NA,NA,0.5,1.8
177,138801,142568,54582,0.5,1.8
178,168969,49886,NA,0.5,1.8
179,82604,194893,135825,0.5,1.8
180,NA,NA,NA,0.5,1.8
181,NA,186254,NA,0.5,1.8
182,176163,134556,133375,0.5,1.8
183,30652,141641,NA,0.5,1.8
184,NA,191296,183107,0.5,1.8
185,NA,180846,163283,0.5,1.8
186,49138,76370,NA,0.5,1.8
187,170242,NA,NA,0.5,1.8
188,182560,72949,NA,0.5,1.8
189,180070,134757,166212,0.5,1.8
190,NA,NA,NA,0.5,1.8
191,NA,171538,188994,0.5,1.8
192,170395,117887,NA,0.5,1.8
193,NA,170879,NA,0.5,1.8
194,NA,45688,NA,0.5,1.8
195,NA,156843,NA,0.5,1.8
196,196618,77147,NA,0.5,1.8
197,87022,194088,199467,0.5,1.8
198,84360,141143,NA,0.5,1.8
199,161742,165326,NA,0.5,1.8
200,177210,NA,NA,0.5,1.8
201,NA,120824,19183,0.5,1.8
202,NA,NA,NA,0.5,1.8
203,194253,NA,94257,0.5,1.8
204,154747,108150,NA,0.5,1.8
205,168095,62729,38094,0.5,1.8
206,172513,188042,NA,0.5,1.8
207,NA,163413,115340,0.5,1.8
208,85734,NA,NA,0.5,1.8
209,185567,151554,38702,0.5,1.8
210,NA,65004,NA,0.5,1.8
211,NA,161693,NA,0.5,1.8
212,NA,178498,NA,0.5,1.8
213,NA,180534,169434,0.5,1.8
214,113158,188026,153313,0.5,1.8
215,177265,178768,NA,0.5,1.8
216,38709,179220,NA,0.5,1.8
217,135666,NA,163498,0.5,1.8
218,181923,187521,NA,0.5,1.8
219,25791,192976,NA,0.5,1.8
220,NA,190247,NA,0.5,1.8
221,145766,NA,NA,0.5,1.8
222,NA,62076,NA,0.5,1.8
223,20977,NA,NA,0.5,1.8
224,102769,156464,NA,0.5,1.8
225,159575,NA,NA,0.5,1.8
226,163314,113233,NA,0.5,1.8
227,NA,169634,141074,0.5,1.8
228,190355,169878,NA,0.5,1.8
229,NA,NA,187941,0.5,1.8
230,132561,186491,NA,0.5,1.8
231,NA,112172,NA,0.5,1.8
232,157503,135899,167935,0.5,1.8
233,100591,57803,106563,0.5,1.8
234,171126,NA,36472,0.5,1.8
235,152947,152171,NA,0.5,1.8
236,104057,178998,147666,0.5,1.8
237,185510,111537,NA,0.5,1.8
238,127843,NA,122078,0.5,1.8
239,147782,174995,NA,0.5,1.8
240,173239,189564,158258,0.5,1.8
241,160761,101217,191323,0.5,1.8
242,184624,188366,130617,0.5,1.8
243,121305,153191,NA,0.5,1.8
244,64632,152459,191856,0.5,1.8
245,NA,64917,NA,0.5,1.8
246,NA,156719,193195,0.5,1.8
247,68277,34376,180698,0.5,1.8
248,27407,165425,NA,0.5,1.8
249,NA,30746,NA,0.5,1.8
250,190652,149548,NA,0.5,1.8
251,187451,165070,NA,0.5,1.8
252,NA,170682,NA,0.5,1.8
253,32684,153304,NA,0.5,1.8
254,56126,193650,NA,0.5,1.8
255,151755,32608,169183,0.5,1.8
256,171093,180070,199918,0.5,1.8
257,101887,NA,193635,0.5,1.8
258,195389,36992,NA,0.5,1.8
259,68763,39734,197713,0.5,1.8
260,176824,NA,152070,0.5,1.8
261,187605,147887,36954,0.5,1.8
262,173862,188235,80966,0.5,1.8
263,192487,177532,NA,0.5,1.8
264,92604,183463,NA,0.5,1.8
265,NA,181822,NA,0.5,1.8
266,NA,158379,181415,0.5,1.8
267,NA,NA,NA,0.5,1.8
268,121570,170291,NA,0.5,1.8
269,150156,170012,195924,0.5,1.8
270,182213,159409,144546,0.5,1.8
271,164817,163434,NA,0.5,1.8
272,182894,NA,NA,0.5,1.8
273,NA,26650,NA,0.5,1.8
274,126109,158718,NA,0.5,1.8
275,21794,144211,NA,0.5,1.8
276,166613,NA,NA,0.5,1.8
277,NA,86999,NA,0.5,1.8
278,19474,169913,NA,0.5,1.8
279,135214,162612,168377,0.5,1.8
280,68708,22492,23472,0.5,1.8
281,92072,135364,NA,0.5,1.8
282,168484,182197,NA,0.5,1.8
283,50380,135464,NA,0.5,1.8
284,188525,61896,NA,0.5,1.8
285,162604,183161,45781,0.5,1.8
286,166031,83541,172382,0.5,1.8
287,NA,148832,NA,0.5,1.8
288,191513,196951,NA,0.5,1.8
289,159049,69710,158846,0.5,1.8
290,NA,182034,NA,0.5,1.8
291,114215,153482,NA,0.5,1.8
292,69319,NA,164611,0.5,1.8
293,152819,176280,175672,0.5,1.8
294,NA,161291,58787,0.5,1.8
295,176948,NA,172279,0.5,1.8
296,53189,168307,55101,0.5,1.8
297,NA,143207,NA,0.5,1.8
298,165403,176245,20780,0.5,1.8
299,181742,90565,192677,0.5,1.8
300,175348,69824,NA,0.5,1.8
301,117897,164720,194264,0.5,1.8
302,153460,74341,NA,0.5,1.8
303,114881,161677,47816,0.5,1.8
304,NA,23540,NA,0.5,1.8
305,NA,180210,182550,0.5,1.8
306,67233,159961,95849,0.5,1.8
307,NA,181366,NA,0.5,1.8
308,NA,106592,NA,0.5,1.8
309,112753,116307,NA,0.5,1.8
310,117839,NA,75715,0.5,1.8
311,132087,115272,NA,0.5,1.8
312,NA,199672,NA,0.5,1.8
313,192043,187710,NA,0.5,1.8
314,NA,NA,80739,0.5,1.8
315,34191,31575,193772,0.5,1.8
316,196852,159043,178912,0.5,1.8
317,88457,154277,194754,0.5,1.8
318,92972,183345,NA,0.5,1.8
319,175741,161468,NA,0.5,1.8
320,NA,NA,NA,0.5,1.8
321,99813,131937,167060,0.5,1.8
322,162283,144812,76504,0.5,1.8
323,151810,NA,117765,0.5,1.8
324,199076,176555,NA,0.5,1.8
325,113919,156516,NA,0.5,1.8
326,129563,NA,NA,0.5,1.8
327,55313,144824,NA,0.5,1.8
328,152311,81200,NA,0.5,1.8
329,70696,171452,173856,0.5,1.8
330,NA,163187,NA,0.5,1.8
331,195069,174165,142432,0.5,1.8
332,57771,154293,NA,0.5,1.8
333,15923,113671,NA,0.5,1.8
334,141990,170715,NA,0.5,1.8
335,93140,29706,174321,0.5,1.8
336,196441,NA,NA,0.5,1.8
337,184406,174347,NA,0.5,1.8
338,69944,179722,NA,0.5,1.8
339,144768,NA,NA,0.5,1.8
340,NA,179334,NA,0.5,1.8
341,183314,56070,NA,0.5,1.8
342,NA,174157,41078,0.5,1.8
343,126793,149446,NA,0.5,1.8
344,115953,NA,80260,0.5,1.8
345,157748,91607,NA,0.5,1.8
346,NA,177677,181176,0.5,1.8
347,57447,172133,127392,0.5,1.8
348,NA,74137,NA,0.5,1.8
349,164926,181205,40798,0.5,1.8
350,NA,159222,NA,0.5,1.8
351,NA,55074,NA,0.5,1.8
352,NA,160770,NA,0.5,1.8
353,194229,NA,NA,0.5,1.8
354,192375,188974,NA,0.5,1.8
355,82288,59952,NA,0.5,1.8
356,130609,190991,NA,0.5,1.8
357,166159,138432,NA,0.5,1.8
358,134387,35218,55371,0.5,1.8
359,NA,189241,NA,0.5,1.8
360,NA,NA,NA,0.5,1.8
361,170834,125578,99199,0.5,1.8
362,192991,170040,162918,0.5,1.8
363,191445,189223,NA,0.5,1.8
364,NA,126288,198790,0.5,1.8
365,126029,NA,169435,0.5,1.8
366,134622,157633,131305,0.5,1.8
367,172467,167187,NA,0.5,1.8
368,143384,61700,NA,0.5,1.8
369,NA,115837,NA,0.5,1.8
370,NA,191445,154847,0.5,1.8
371,172590,100389,NA,0.5,1.8
372,NA,62131,NA,0.5,1.8
373,NA,154296,NA,0.5,1.8
374,170599,67753,NA,0.5,1.8
375,120249,190781,NA,0.5,1.8
376,59869,187010,199164,0.5,1.8
377,NA,132254,NA,0.5,1.8
378,172499,182261,173438,0.5,1.8
379,44395,NA,NA,0.5,1.8
380,173601,163648,NA,0.5,1.8
381,84871,167331,NA,0.5,1.8
382,179679,165878,NA,0.5,1.8
383,187382,66742,180971,0.5,1.8
384,186557,NA,NA,0.5,1.8
385,162708,94100,192014,0.5,1.8
386,167010,124725,43283,0.5,1.8
387,NA,177417,181746,0.5,1.8
388,93989,96916,182715,0.5,1.8
389,194636,168809,NA,0.5,1.8
390,NA,NA,NA,0.5,1.8
391,179915,NA,194596,0.5,1.8
392,13538,187796,NA,0.5,1.8
393,183748,115902,152978,0.5,1.8
394,181566,76506,NA,0.5,1.8
395,62117,182948,NA,0.5,1.8
396,185226,108772,NA,0.5,1.8
397,59136,153098,NA,0.5,1.8
398,NA,30742,NA,0.5,1.8
399,NA,NA,156814,0.5,1.8
400,162682,157269,NA,0.5,1.8
401,161184,131574,129846,0.5,1.8
402,NA,193709,NA,0.5,1.8
403,194755,183587,NA,0.5,1.8
404,125155,149333,164428,0.5,1.8
405,175496,106733,NA,0.5,1.8
406,144993,172816,NA,0.5,1.8
407,94756,57194,167266,0.5,1.8
408,187422,125159,NA,0.5,1.8
409,184619,176089,114056,0.5,1.8
410,NA,144638,NA,0.5,1.8
411,185871,146423,NA,0.5,1.8
412,100171,126363,NA,0.5,1.8
413,194127,176203,NA,0.5,1.8
414,86236,179981,NA,0.5,1.8
415,NA,172019,194141,0.5,1.8
416,NA,52592,NA,0.5,1.8
417,NA,176320,NA,0.5,1.8
418,NA,NA,NA,0.5,1.8
419,183381,125357,NA,0.5,1.8
420,NA,138826,18740,0.5,1.8
421,NA,179973,NA,0.5,1.8
422,199150,180246,NA,0.5,1.8
423,95470,NA,NA,0.5,1.8
424,NA,170553,NA,0.5,1.8
425,NA,NA,31262,0.5,1.8
426,187223,126691,70278,0.5,1.8
427,72591,75419,86521,0.5,1.8
428,188049,192427,194579,0.5,1.8
429,NA,175822,47517,0.5,1.8
430,138435,194324,NA,0.5,1.8
431,167463,56268,195111,0.5,1.8
432,178505,166805,187205,0.5,1.8
433,NA,163378,NA,0.5,1.8
434,192544,170679,60112,0.5,1.8
435,174626,156129,NA,0.5,1.8
436,180306,47224,53740,0.5,1.8
437,NA,NA,137694,0.5,1.8
438,NA,167539,176978,0.5,1.8
439,196990,117154,NA,0.5,1.8
440,67979,185160,80924,0.5,1.8
441,NA,182031,NA,0.5,1.8
442,106251,112636,53209,0.5,1.8
443,NA,164070,NA,0.5,1.8
444,NA,150513,110278,0.5,1.8
445,133839,55401,NA,0.5,1.8
446,178064,187936,188286,0.5,1.8
447,NA,179585,191521,0.5,1.8
448,NA,11730,191133,0.5,1.8
449,NA,185666,187799,0.5,1.8
450,NA,179667,147650,0.5,1.8
451,162194,174190,NA,0.5,1.8
452,191273,154003,174532,0.5,1.8
453,42211,185545,192306,0.5,1.8
454,108354,117641,171614,0.5,1.8
455,NA,151431,NA,0.5,1.8
456,179607,NA,NA,0.5,1.8
457,NA,NA,NA,0.5,1.8
458,13726,179748,164494,0.5,1.8
459,NA,189951,NA,0.5,1.8
460,127662,171761,NA,0.5,1.8
461,170813,82173,NA,0.5,1.8
462,119291,155392,NA,0.5,1.8
463,NA,161110,NA,0.5,1.8
464,174416,132666,NA,0.5,1.8
465,NA,146859,194180,0.5,1.8
466,123916,187868,111858,0.5,1.8
467,NA,157328,177545,0.5,1.8
468,179832,177521,180743,0.5,1.8
469,177544,NA,103166,0.5,1.8
470,65090,80302,NA,0.5,1.8
471,NA,172830,NA,0.5,1.8
472,87023,191071,NA,0.5,1.8
473,NA,187700,NA,0.5,1.8
474,181192,62873,175178,0.5,1.8
475,NA,123280,126798,0.5,1.8
476,NA,68166,NA,0.5,1.8
477,57216,190056,191747,0.5,1.8
478,78183,103090,192708,0.5,1.8
479,87598,50635,NA,0.5,1.8
480,71232,168166,NA,0.5,1.8
481,188445,191013,181954,0.5,1.8
482,153714,104702,181701,0.5,1.8
483,170469,152019,188082,0.5,1.8
484,179244,101925,NA,0.5,1.8
485,NA,129707,191044,0.5,1.8
486,123455,191627,NA,0.5,1.8
487,98269,175063,NA,0.5,1.8
488,58243,30251,134444,0.5,1.8
489,NA,190134,63735,0.5,1.8
490,93902,95100,192902,0.5,1.8
491,185772,168505,NA,0.5,1.8
492,151271,145018,176851,0.5,1.8
493,187658,39123,166771,0.5,1.8
494,NA,49375,105822,0.5,1.8
495,158467,148032,NA,0.5,1.8
496,96505,122922,125392,0.5,1.8
497,NA,189595,32371,0.5,1.8
498,180682,184719,NA,0.5,1.8
499,115450,196230,NA,0.5,1.8
500,NA,173006,155569,0.5,1.8
