"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,81863,NA,NA,0.5,2
2,137524,47775,NA,0.5,2
3,185983,165088,184955,0.5,2
4,189494,198496,NA,0.5,2
5,NA,192001,NA,0.5,2
6,NA,NA,NA,0.5,2
7,53398,192963,NA,0.5,2
8,171594,181409,NA,0.5,2
9,184268,182830,NA,0.5,2
10,197606,170350,NA,0.5,2
11,46848,164303,NA,0.5,2
12,169224,47877,NA,0.5,2
13,NA,189953,NA,0.5,2
14,121384,178356,NA,0.5,2
15,NA,NA,185353,0.5,2
16,NA,186052,163670,0.5,2
17,NA,199485,NA,0.5,2
18,194031,180176,NA,0.5,2
19,NA,193612,NA,0.5,2
20,182380,NA,NA,0.5,2
21,193374,NA,191498,0.5,2
22,NA,173705,NA,0.5,2
23,178143,185890,NA,0.5,2
24,173120,182720,196275,0.5,2
25,NA,176085,190923,0.5,2
26,NA,164857,NA,0.5,2
27,191711,69980,NA,0.5,2
28,NA,NA,NA,0.5,2
29,159144,137705,NA,0.5,2
30,180076,159173,NA,0.5,2
31,NA,NA,NA,0.5,2
32,NA,194329,199856,0.5,2
33,NA,NA,NA,0.5,2
34,NA,193538,NA,0.5,2
35,149805,165682,NA,0.5,2
36,149853,192268,NA,0.5,2
37,NA,171774,NA,0.5,2
38,93156,186016,NA,0.5,2
39,NA,NA,192724,0.5,2
40,NA,167245,91739,0.5,2
41,NA,172030,NA,0.5,2
42,191962,142567,NA,0.5,2
43,196687,158327,NA,0.5,2
44,NA,193503,NA,0.5,2
45,193366,102075,NA,0.5,2
46,NA,177643,NA,0.5,2
47,183976,174702,NA,0.5,2
48,NA,NA,199295,0.5,2
49,192187,NA,NA,0.5,2
50,NA,188551,197754,0.5,2
51,NA,182922,197607,0.5,2
52,NA,NA,NA,0.5,2
53,NA,185913,NA,0.5,2
54,NA,168603,NA,0.5,2
55,146116,NA,NA,0.5,2
56,NA,175325,NA,0.5,2
57,NA,NA,NA,0.5,2
58,NA,NA,NA,0.5,2
59,172340,195623,NA,0.5,2
60,NA,NA,NA,0.5,2
61,NA,NA,NA,0.5,2
62,198450,167807,NA,0.5,2
63,NA,199004,NA,0.5,2
64,180522,179081,NA,0.5,2
65,195294,193805,NA,0.5,2
66,122101,188265,NA,0.5,2
67,NA,138391,NA,0.5,2
68,NA,134587,196783,0.5,2
69,NA,NA,NA,0.5,2
70,NA,137205,NA,0.5,2
71,NA,NA,NA,0.5,2
72,NA,163062,NA,0.5,2
73,NA,192584,NA,0.5,2
74,188007,174273,NA,0.5,2
75,NA,148686,NA,0.5,2
76,NA,189761,NA,0.5,2
77,136132,180755,NA,0.5,2
78,NA,187870,177971,0.5,2
79,NA,186699,NA,0.5,2
80,196668,193897,NA,0.5,2
81,NA,NA,NA,0.5,2
82,196377,169311,NA,0.5,2
83,NA,173884,NA,0.5,2
84,NA,49399,NA,0.5,2
85,NA,170276,NA,0.5,2
86,163566,165952,NA,0.5,2
87,NA,NA,NA,0.5,2
88,NA,184575,NA,0.5,2
89,NA,NA,197496,0.5,2
90,NA,178325,NA,0.5,2
91,NA,181368,NA,0.5,2
92,NA,NA,NA,0.5,2
93,188160,178686,NA,0.5,2
94,168479,178148,195491,0.5,2
95,99681,173028,NA,0.5,2
96,NA,NA,NA,0.5,2
97,NA,193929,NA,0.5,2
98,178861,169914,NA,0.5,2
99,NA,NA,NA,0.5,2
100,NA,NA,NA,0.5,2
101,NA,190217,NA,0.5,2
102,NA,NA,NA,0.5,2
103,NA,NA,NA,0.5,2
104,113258,186336,NA,0.5,2
105,NA,NA,NA,0.5,2
106,72445,180866,NA,0.5,2
107,NA,129303,NA,0.5,2
108,185822,NA,193816,0.5,2
109,NA,NA,195440,0.5,2
110,170715,129118,NA,0.5,2
111,184308,184884,NA,0.5,2
112,183515,179025,NA,0.5,2
113,172273,112398,NA,0.5,2
114,NA,168226,NA,0.5,2
115,NA,198474,182218,0.5,2
116,189730,NA,NA,0.5,2
117,NA,198403,NA,0.5,2
118,NA,185644,NA,0.5,2
119,NA,187637,168828,0.5,2
120,NA,188739,NA,0.5,2
121,NA,183910,NA,0.5,2
122,150863,NA,NA,0.5,2
123,184048,NA,NA,0.5,2
124,NA,159268,NA,0.5,2
125,185577,NA,NA,0.5,2
126,176813,103393,NA,0.5,2
127,183914,177693,NA,0.5,2
128,175609,185195,NA,0.5,2
129,NA,NA,NA,0.5,2
130,183848,NA,NA,0.5,2
131,66222,163518,NA,0.5,2
132,173368,176253,NA,0.5,2
133,63469,53777,NA,0.5,2
134,184706,187311,59913,0.5,2
135,NA,177774,NA,0.5,2
136,NA,190939,NA,0.5,2
137,NA,160452,NA,0.5,2
138,187993,NA,NA,0.5,2
139,NA,NA,NA,0.5,2
140,190623,179465,NA,0.5,2
141,NA,NA,NA,0.5,2
142,NA,185071,NA,0.5,2
143,NA,192185,NA,0.5,2
144,159161,181322,NA,0.5,2
145,NA,NA,193424,0.5,2
146,180852,NA,191840,0.5,2
147,125349,NA,NA,0.5,2
148,NA,182581,NA,0.5,2
149,190089,NA,176089,0.5,2
150,198564,151920,NA,0.5,2
