"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,159,NA,27,0.1,0.1
2,NA,NA,21,0.1,0.1
3,56,18,17,0.1,0.1
4,116,NA,31,0.1,0.1
5,NA,26,69,0.1,0.1
6,17,NA,43,0.1,0.1
7,NA,24,27,0.1,0.1
8,14,48,110,0.1,0.1
9,18,12,27,0.1,0.1
10,29,36,38,0.1,0.1
11,NA,110,21,0.1,0.1
12,NA,55,28,0.1,0.1
13,NA,NA,NA,0.1,0.1
14,9,NA,31,0.1,0.1
15,NA,NA,29,0.1,0.1
16,197,NA,35,0.1,0.1
17,10,154,30,0.1,0.1
18,NA,34,28,0.1,0.1
19,86,12,46,0.1,0.1
20,11,NA,18,0.1,0.1
21,104,15,31,0.1,0.1
22,NA,55,33,0.1,0.1
23,NA,15,26,0.1,0.1
24,9,52,33,0.1,0.1
25,NA,21,20,0.1,0.1
26,10,NA,34,0.1,0.1
27,NA,NA,50,0.1,0.1
28,NA,NA,18,0.1,0.1
29,21,27,NA,0.1,0.1
30,NA,22,17,0.1,0.1
31,NA,NA,17,0.1,0.1
32,NA,NA,50,0.1,0.1
33,NA,NA,32,0.1,0.1
34,62,12,NA,0.1,0.1
35,56,111,157,0.1,0.1
36,14,NA,13,0.1,0.1
37,NA,13,22,0.1,0.1
38,19,11,19,0.1,0.1
39,43,115,12,0.1,0.1
40,16,110,24,0.1,0.1
41,22,NA,86,0.1,0.1
42,NA,15,69,0.1,0.1
43,178,NA,56,0.1,0.1
44,36,123,15,0.1,0.1
45,14,NA,21,0.1,0.1
46,NA,NA,19,0.1,0.1
47,NA,74,62,0.1,0.1
48,14,98,30,0.1,0.1
49,86,174,32,0.1,0.1
50,47,13,50,0.1,0.1
51,22,NA,18,0.1,0.1
52,93,11,18,0.1,0.1
53,NA,20,9,0.1,0.1
54,46,21,22,0.1,0.1
55,14,NA,20,0.1,0.1
56,NA,16,29,0.1,0.1
57,13,NA,53,0.1,0.1
58,15,13,15,0.1,0.1
59,15,30,20,0.1,0.1
60,15,51,20,0.1,0.1
61,88,16,13,0.1,0.1
62,NA,200,11,0.1,0.1
63,20,26,58,0.1,0.1
64,28,NA,22,0.1,0.1
65,50,NA,23,0.1,0.1
66,13,94,36,0.1,0.1
67,NA,NA,47,0.1,0.1
68,32,NA,12,0.1,0.1
69,18,12,16,0.1,0.1
70,NA,28,NA,0.1,0.1
71,34,NA,18,0.1,0.1
72,95,NA,28,0.1,0.1
73,NA,14,18,0.1,0.1
74,206,NA,21,0.1,0.1
75,20,98,14,0.1,0.1
76,50,15,13,0.1,0.1
77,25,81,27,0.1,0.1
78,18,NA,20,0.1,0.1
79,110,NA,28,0.1,0.1
80,NA,NA,39,0.1,0.1
81,NA,NA,12,0.1,0.1
82,NA,NA,14,0.1,0.1
83,180,14,15,0.1,0.1
84,17,NA,26,0.1,0.1
85,129,52,25,0.1,0.1
86,NA,77,13,0.1,0.1
87,21,20,14,0.1,0.1
88,NA,10,16,0.1,0.1
89,16,121,11,0.1,0.1
90,NA,20,20,0.1,0.1
91,NA,167,26,0.1,0.1
92,118,NA,22,0.1,0.1
93,50,15,NA,0.1,0.1
94,17,18,NA,0.1,0.1
95,NA,NA,19,0.1,0.1
96,NA,16,36,0.1,0.1
97,71,NA,21,0.1,0.1
98,202,NA,24,0.1,0.1
99,NA,20,19,0.1,0.1
100,NA,150,NA,0.1,0.1
101,170,NA,NA,0.1,0.1
102,50,17,35,0.1,0.1
103,NA,11,26,0.1,0.1
104,NA,23,94,0.1,0.1
105,NA,11,58,0.1,0.1
106,NA,13,45,0.1,0.1
107,86,NA,20,0.1,0.1
108,NA,29,NA,0.1,0.1
109,11,16,25,0.1,0.1
110,43,15,9,0.1,0.1
111,26,NA,19,0.1,0.1
112,106,78,NA,0.1,0.1
113,27,20,26,0.1,0.1
114,NA,100,21,0.1,0.1
115,135,29,NA,0.1,0.1
116,17,17,17,0.1,0.1
117,NA,NA,22,0.1,0.1
118,NA,16,NA,0.1,0.1
119,168,NA,21,0.1,0.1
120,104,17,15,0.1,0.1
121,NA,8,15,0.1,0.1
122,NA,16,16,0.1,0.1
123,24,NA,13,0.1,0.1
124,81,30,NA,0.1,0.1
125,32,20,24,0.1,0.1
126,NA,NA,22,0.1,0.1
127,164,100,9,0.1,0.1
128,NA,20,NA,0.1,0.1
129,23,NA,32,0.1,0.1
130,120,10,42,0.1,0.1
131,NA,NA,20,0.1,0.1
132,NA,NA,23,0.1,0.1
