"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,20424,145087,154661,0.9,1.3
2,141206,23877,10179,0.9,1.3
3,31864,12934,193710,0.9,1.3
4,15961,148787,62933,0.9,1.3
5,145454,7524,30441,0.9,1.3
6,30851,10241,157889,0.9,1.3
7,140092,14042,11867,0.9,1.3
8,50893,48300,56853,0.9,1.3
9,96156,62388,164735,0.9,1.3
10,11239,27782,81342,0.9,1.3
11,138146,158102,102391,0.9,1.3
12,2704,1772,110760,0.9,1.3
13,10241,28233,161268,0.9,1.3
14,43867,20985,2324,0.9,1.3
15,12747,66875,86657,0.9,1.3
16,76199,147723,3080,0.9,1.3
17,97672,156047,112002,0.9,1.3
18,4993,117692,82873,0.9,1.3
19,2680,1115,95109,0.9,1.3
20,120310,101439,90150,0.9,1.3
21,61651,45946,108035,0.9,1.3
22,20148,35490,43881,0.9,1.3
23,151424,1551,1674,0.9,1.3
24,109988,78303,170881,0.9,1.3
25,100424,159118,13645,0.9,1.3
26,120682,89818,5553,0.9,1.3
27,3434,24237,10581,0.9,1.3
28,136782,17743,19711,0.9,1.3
29,190235,151800,31822,0.9,1.3
30,4897,155919,123246,0.9,1.3
31,705,37119,50334,0.9,1.3
32,94900,18084,152445,0.9,1.3
33,9307,3192,40147,0.9,1.3
34,35177,124531,130277,0.9,1.3
35,24966,140683,155610,0.9,1.3
36,46361,103741,68987,0.9,1.3
37,113329,89035,20131,0.9,1.3
38,137969,31780,160284,0.9,1.3
39,37422,110160,44813,0.9,1.3
40,30018,119458,102466,0.9,1.3
41,NA,73057,167428,0.9,1.3
42,161707,143242,89176,0.9,1.3
43,35002,162983,43761,0.9,1.3
44,120788,13889,5420,0.9,1.3
45,89085,70732,128971,0.9,1.3
46,6301,26608,27760,0.9,1.3
47,69296,35748,154501,0.9,1.3
48,81154,77423,83574,0.9,1.3
49,101246,3455,56009,0.9,1.3
50,87636,127375,5988,0.9,1.3
51,140272,142970,10195,0.9,1.3
52,51910,3513,167222,0.9,1.3
53,12991,100165,55678,0.9,1.3
54,10599,31704,29480,0.9,1.3
55,132795,147512,16076,0.9,1.3
56,3338,12523,24389,0.9,1.3
57,123553,145279,135223,0.9,1.3
58,14895,32969,4023,0.9,1.3
59,53917,170028,137075,0.9,1.3
60,19602,170153,6201,0.9,1.3
61,99082,21726,98015,0.9,1.3
62,150865,3095,147186,0.9,1.3
63,70525,32468,133477,0.9,1.3
64,45262,30197,146009,0.9,1.3
65,113181,42083,13290,0.9,1.3
66,91202,108646,74792,0.9,1.3
67,3224,160767,20668,0.9,1.3
68,100098,17492,28833,0.9,1.3
69,5311,689,6376,0.9,1.3
70,104050,2446,74403,0.9,1.3
71,5994,30027,111855,0.9,1.3
72,16340,35790,8490,0.9,1.3
73,114959,168454,35530,0.9,1.3
74,6267,2116,NA,0.9,1.3
75,118217,108020,8019,0.9,1.3
76,111105,44607,52602,0.9,1.3
77,54948,45130,54426,0.9,1.3
78,3558,12443,29426,0.9,1.3
79,57344,130123,29036,0.9,1.3
80,30617,171327,192789,0.9,1.3
81,25484,18503,6669,0.9,1.3
82,3882,33036,64446,0.9,1.3
83,45297,44609,4528,0.9,1.3
84,2200,13037,10729,0.9,1.3
85,31250,6863,31919,0.9,1.3
86,96107,53250,153516,0.9,1.3
87,4691,116226,15564,0.9,1.3
88,73564,38256,155262,0.9,1.3
89,4544,56053,70110,0.9,1.3
90,141739,83330,8406,0.9,1.3
91,152637,3476,81388,0.9,1.3
92,166167,20949,19753,0.9,1.3
93,2248,169454,6349,0.9,1.3
94,149528,9227,169954,0.9,1.3
95,10781,16938,38269,0.9,1.3
96,37054,16823,2381,0.9,1.3
97,7698,67535,13160,0.9,1.3
98,127456,159402,38897,0.9,1.3
99,1248,9950,54042,0.9,1.3
100,73756,134483,93787,0.9,1.3
101,112753,5668,63416,0.9,1.3
102,131623,140745,156388,0.9,1.3
103,6503,2501,124757,0.9,1.3
104,1826,40922,34638,0.9,1.3
105,68677,120527,171507,0.9,1.3
106,71968,132923,143726,0.9,1.3
107,45386,142187,16223,0.9,1.3
108,155214,2226,20580,0.9,1.3
109,163722,1371,43273,0.9,1.3
110,23066,1562,6678,0.9,1.3
111,86661,36222,NA,0.9,1.3
112,25820,1704,29072,0.9,1.3
113,134727,107489,9393,0.9,1.3
114,2062,3570,49456,0.9,1.3
115,26083,53662,53884,0.9,1.3
116,16827,7362,4702,0.9,1.3
117,132464,83938,999,0.9,1.3
118,7536,812,155780,0.9,1.3
119,50283,62932,101389,0.9,1.3
120,67888,96641,31120,0.9,1.3
121,2724,52049,70525,0.9,1.3
122,2936,7190,44453,0.9,1.3
123,60589,163432,81308,0.9,1.3
124,18386,104279,24306,0.9,1.3
125,15338,90717,6910,0.9,1.3
126,3084,7923,156152,0.9,1.3
127,10465,158589,129337,0.9,1.3
128,61228,20479,48543,0.9,1.3
129,39404,59887,3556,0.9,1.3
130,82606,5372,54028,0.9,1.3
131,42151,7643,18366,0.9,1.3
132,83582,10880,110137,0.9,1.3
133,151878,1280,81738,0.9,1.3
134,23134,61110,6667,0.9,1.3
135,80122,103705,27699,0.9,1.3
136,1904,4880,29882,0.9,1.3
