"sim","N_stable","N_inc","N_dec","lambda","base_col"
1,156289,75694,NA,0.1,1.8
2,46460,120522,NA,0.1,1.8
3,44420,164432,140696,0.1,1.8
4,61775,127601,123960,0.1,1.8
5,159681,149149,NA,0.1,1.8
6,NA,115102,149182,0.1,1.8
7,171247,150157,89172,0.1,1.8
8,74725,112757,27598,0.1,1.8
9,171403,37532,83679,0.1,1.8
10,135357,136920,40124,0.1,1.8
11,155717,44196,NA,0.1,1.8
12,126651,109080,98363,0.1,1.8
13,NA,23079,162291,0.1,1.8
14,97150,57625,64483,0.1,1.8
15,132731,172676,160591,0.1,1.8
16,75084,62661,162236,0.1,1.8
17,43819,147755,114898,0.1,1.8
18,143154,142478,180429,0.1,1.8
19,91608,171541,173083,0.1,1.8
20,143452,155578,26782,0.1,1.8
21,75849,74968,173177,0.1,1.8
22,164859,NA,63124,0.1,1.8
23,166997,150118,127720,0.1,1.8
24,100472,152956,196953,0.1,1.8
25,166250,158193,167689,0.1,1.8
26,171084,67214,189230,0.1,1.8
27,112072,53641,133595,0.1,1.8
28,95840,171186,96292,0.1,1.8
29,107214,154792,45571,0.1,1.8
30,65577,119259,105700,0.1,1.8
31,165033,128630,NA,0.1,1.8
32,196709,120184,NA,0.1,1.8
33,121745,19443,168485,0.1,1.8
34,30234,190103,104724,0.1,1.8
35,90421,130279,183390,0.1,1.8
36,119883,121928,NA,0.1,1.8
37,143794,161267,121065,0.1,1.8
38,133953,135573,98680,0.1,1.8
39,160553,73729,82033,0.1,1.8
40,114806,158056,57672,0.1,1.8
41,123987,110762,NA,0.1,1.8
42,146937,163622,165510,0.1,1.8
43,130523,83041,117616,0.1,1.8
44,142916,44433,92087,0.1,1.8
45,95933,143762,82673,0.1,1.8
46,39018,70628,NA,0.1,1.8
47,140983,37551,153340,0.1,1.8
48,158135,65431,169961,0.1,1.8
49,NA,148297,125501,0.1,1.8
50,159389,154851,49681,0.1,1.8
51,124856,156456,103395,0.1,1.8
52,99959,161915,177964,0.1,1.8
53,101247,124150,118838,0.1,1.8
54,186267,132780,188051,0.1,1.8
55,153801,152184,110618,0.1,1.8
56,85397,159365,148221,0.1,1.8
57,104874,158027,36101,0.1,1.8
58,159454,67155,168223,0.1,1.8
59,138242,136700,174722,0.1,1.8
60,146248,165244,NA,0.1,1.8
61,137610,133855,46419,0.1,1.8
62,NA,48737,NA,0.1,1.8
63,136078,135931,162012,0.1,1.8
64,66288,164360,16426,0.1,1.8
65,64632,139774,18750,0.1,1.8
66,157385,67950,175327,0.1,1.8
67,179608,74463,NA,0.1,1.8
68,162131,131537,153030,0.1,1.8
69,30419,157924,178572,0.1,1.8
70,183944,139600,118751,0.1,1.8
71,156662,150367,155744,0.1,1.8
72,131546,134281,181765,0.1,1.8
73,177923,147008,55916,0.1,1.8
74,176500,84975,32012,0.1,1.8
75,164572,128180,NA,0.1,1.8
76,124697,135795,123335,0.1,1.8
77,79826,140627,147009,0.1,1.8
78,148349,135810,164760,0.1,1.8
79,16672,171330,74118,0.1,1.8
80,122906,146947,82636,0.1,1.8
81,125034,122895,146159,0.1,1.8
82,170411,159856,NA,0.1,1.8
83,165596,133460,86322,0.1,1.8
84,23384,123626,39654,0.1,1.8
85,101890,146070,17659,0.1,1.8
86,151347,NA,175548,0.1,1.8
87,59534,38540,NA,0.1,1.8
88,184111,103279,177154,0.1,1.8
89,124436,79812,194624,0.1,1.8
90,156742,116631,197802,0.1,1.8
91,NA,158160,171644,0.1,1.8
92,173714,95760,172112,0.1,1.8
93,162830,155151,153980,0.1,1.8
94,180275,110445,163559,0.1,1.8
95,146758,19568,182432,0.1,1.8
96,145635,185430,45903,0.1,1.8
97,147997,146153,151229,0.1,1.8
98,182294,28058,166332,0.1,1.8
99,138252,91544,158475,0.1,1.8
100,123292,148539,175889,0.1,1.8
101,162474,162153,160242,0.1,1.8
102,164499,119790,183285,0.1,1.8
103,142125,152374,161805,0.1,1.8
104,56868,155832,NA,0.1,1.8
105,165540,117359,59849,0.1,1.8
106,139318,77189,198268,0.1,1.8
107,188979,147551,72172,0.1,1.8
108,79344,162906,55305,0.1,1.8
109,159595,158119,110782,0.1,1.8
110,120196,31740,NA,0.1,1.8
111,148354,99426,162800,0.1,1.8
112,8499,156501,81009,0.1,1.8
113,70003,140301,114584,0.1,1.8
114,169262,153214,NA,0.1,1.8
115,181377,135675,195167,0.1,1.8
116,99328,163174,80012,0.1,1.8
117,146658,66029,NA,0.1,1.8
118,38536,119175,56056,0.1,1.8
119,177544,155074,171885,0.1,1.8
120,116614,125547,NA,0.1,1.8
121,7654,170228,NA,0.1,1.8
122,136180,57712,166753,0.1,1.8
123,164329,41925,NA,0.1,1.8
124,142540,136371,NA,0.1,1.8
125,79309,170181,176524,0.1,1.8
126,134796,124184,179514,0.1,1.8
127,126188,144562,NA,0.1,1.8
128,179890,75784,62854,0.1,1.8
129,37879,166715,150538,0.1,1.8
130,164857,152441,146574,0.1,1.8
131,193803,170420,85398,0.1,1.8
132,153485,177014,171817,0.1,1.8
133,183818,175944,176068,0.1,1.8
134,114228,124956,32336,0.1,1.8
135,113894,17306,NA,0.1,1.8
136,173432,133458,192743,0.1,1.8
137,141040,169838,49535,0.1,1.8
138,182017,97597,150166,0.1,1.8
139,30907,130292,181699,0.1,1.8
140,NA,171931,191444,0.1,1.8
141,137854,179357,149178,0.1,1.8
142,87835,163281,178299,0.1,1.8
143,108345,147097,177262,0.1,1.8
144,102785,77136,190377,0.1,1.8
145,108699,146022,139573,0.1,1.8
146,12411,30479,40394,0.1,1.8
147,138979,85546,NA,0.1,1.8
148,109848,146101,118253,0.1,1.8
149,116520,134790,NA,0.1,1.8
150,30615,189369,199014,0.1,1.8
151,173607,83432,142454,0.1,1.8
152,138601,153644,73874,0.1,1.8
153,40400,158586,163726,0.1,1.8
154,139959,156726,148394,0.1,1.8
155,135945,73009,140629,0.1,1.8
156,128868,152082,98077,0.1,1.8
157,NA,33098,165772,0.1,1.8
158,130252,28504,185513,0.1,1.8
159,155874,139225,NA,0.1,1.8
160,169383,39040,172422,0.1,1.8
161,81644,140932,58160,0.1,1.8
162,43311,128827,158481,0.1,1.8
163,158000,160341,119429,0.1,1.8
164,154908,105992,158037,0.1,1.8
165,8321,102960,75660,0.1,1.8
166,25820,175285,121856,0.1,1.8
167,120293,22559,198656,0.1,1.8
168,171318,126798,154763,0.1,1.8
169,154698,77707,91885,0.1,1.8
170,59466,37929,186509,0.1,1.8
171,20937,175701,NA,0.1,1.8
172,117034,15420,185336,0.1,1.8
173,NA,170371,188806,0.1,1.8
174,30567,108291,129523,0.1,1.8
175,161682,162778,NA,0.1,1.8
176,145260,140900,196789,0.1,1.8
177,137211,140345,165477,0.1,1.8
178,175777,116878,171513,0.1,1.8
179,24314,27132,138943,0.1,1.8
180,118837,100715,NA,0.1,1.8
181,85212,172242,126214,0.1,1.8
182,103071,176843,96651,0.1,1.8
183,90724,20507,144570,0.1,1.8
184,136714,130377,166450,0.1,1.8
185,136168,157496,82561,0.1,1.8
186,164179,NA,146136,0.1,1.8
187,72019,191664,NA,0.1,1.8
188,161977,120518,169615,0.1,1.8
189,155271,37146,162262,0.1,1.8
190,115524,162064,64222,0.1,1.8
191,91001,153533,132697,0.1,1.8
192,NA,156608,172622,0.1,1.8
193,65236,123519,156274,0.1,1.8
194,116597,155173,23254,0.1,1.8
195,59572,102805,52544,0.1,1.8
196,52482,143317,100567,0.1,1.8
197,177112,162098,83212,0.1,1.8
198,118694,158206,NA,0.1,1.8
199,155618,NA,164920,0.1,1.8
200,148699,168133,170920,0.1,1.8
201,173906,151252,166710,0.1,1.8
202,121563,166734,81396,0.1,1.8
203,105318,40853,128684,0.1,1.8
204,185623,168571,78855,0.1,1.8
205,66861,150178,79197,0.1,1.8
206,145711,156414,84400,0.1,1.8
207,100132,113584,131552,0.1,1.8
208,165182,89657,101415,0.1,1.8
209,105386,91963,150396,0.1,1.8
210,154720,134411,59466,0.1,1.8
211,159596,71243,95230,0.1,1.8
212,72931,61050,NA,0.1,1.8
213,162368,43413,16257,0.1,1.8
214,175484,125874,183600,0.1,1.8
215,152976,75503,132482,0.1,1.8
216,77677,152347,165356,0.1,1.8
217,50633,144714,NA,0.1,1.8
218,127017,154472,150799,0.1,1.8
219,110142,NA,NA,0.1,1.8
220,181010,32292,118173,0.1,1.8
221,115194,163645,190105,0.1,1.8
222,64317,43116,102906,0.1,1.8
223,149075,124839,NA,0.1,1.8
224,61035,156807,104761,0.1,1.8
225,54204,49229,187127,0.1,1.8
226,56190,182595,174750,0.1,1.8
227,58931,13745,167305,0.1,1.8
228,139179,132918,147824,0.1,1.8
229,178982,49190,146063,0.1,1.8
230,179794,171116,148290,0.1,1.8
231,38061,138253,118830,0.1,1.8
232,58461,166842,79554,0.1,1.8
233,134738,129009,188028,0.1,1.8
234,168974,35184,198228,0.1,1.8
235,118641,149550,176111,0.1,1.8
236,115395,112992,170080,0.1,1.8
237,165317,102008,138259,0.1,1.8
238,157066,77977,125950,0.1,1.8
239,53280,122084,178112,0.1,1.8
240,142287,142744,135072,0.1,1.8
241,85541,181837,24221,0.1,1.8
242,125733,165084,180265,0.1,1.8
243,69229,165272,182874,0.1,1.8
244,118964,107191,74993,0.1,1.8
245,125468,95579,165007,0.1,1.8
246,65615,72637,28370,0.1,1.8
247,33608,170854,158322,0.1,1.8
248,68572,146886,134050,0.1,1.8
249,142720,167051,193194,0.1,1.8
