"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
108,707,127074,142926,700.201393368598,1254.1,171.7
109,708,127073,142927,699.474431091792,1255,160.2
110,709,127065,142935,704.429395921508,1251.7,167.2
111,710,127289,142711,704.185783101159,1250.6,161.3
112,711,127077,142923,704.186361270172,1250.9,171.7
113,712,127122,142878,706.836091003102,1257.2,171.7
114,713,127241,142759,704.7097148755,1255.3,165.2
115,714,127158,142842,704.72523340249,1263.6,165.6
116,715,127267,142733,708.457221350078,1259.5,167
117,716,127647,142353,709.000261814374,1256.1,166.7
118,717,127018,142982,707.467505513037,1258.2,163.7
119,718,127320,142680,713.107161190965,1262.1,170.1
120,719,127237,142763,710.242292993631,1256.7,169.1
121,720,127448,142552,713.187667903288,1263.9,170.9
122,721,127144,142856,715.493723307882,1264.3,178.7
123,722,127338,142662,714.421652786675,1269.1,171.6
124,723,127312,142688,722.537628865979,1266.5,174
125,724,127279,142721,720.668125643666,1272.8,178.7
126,725,127072,142928,719.775376302586,1266.8,178.3
127,726,127002,142998,722.984809474768,1266.1,181.4
128,727,127006,142994,722.887596899225,1265.6,183.9
129,728,127296,142704,723.573616473616,1278.6,179.1
130,729,127091,142909,727.242563228935,1266.7,186.2
131,730,127158,142842,728.055423280423,1264,178.7
132,731,127369,142631,729.34655559963,1258.3,180.1
133,732,127056,142944,732.442500978984,1270.1,189
134,733,127378,142622,733.820341594966,1269.3,186.1
135,734,127072,142928,737.915855083755,1274.9,187.5
136,735,127100,142900,737.749391727494,1273.8,186.7
137,736,126995,143005,737.324147654448,1274,193.9
138,737,127242,142758,739.192608016658,1269.9,196.8
139,738,126952,143048,740.513460275772,1278.1,197.3
140,739,126937,143063,738.711969913111,1274.6,192.7
141,740,127098,142902,738.871788216974,1287.6,192.9
142,741,127240,142760,740.049525275853,1285.8,188.5
143,742,126976,143024,739.577852004111,1283.6,208.4
144,743,127127,142873,740.787991771664,1286.4,196.2
145,744,127094,142906,738.266183324702,1288.1,204.9
146,745,126996,143004,742.784712206634,1279.6,203.1
147,746,127454,142546,743.441446161907,1285.2,199.1
148,747,126985,143015,739.029259451062,1282.3,203.2
149,748,127166,142834,743.693623039342,1288.7,203.1
150,749,126868,143132,744.971855983773,1299.4,200.9
151,750,127278,142722,743.263608484539,1303.8,199.8
152,751,127076,142924,745.911196911197,1293.7,201.1
153,752,127041,142959,744.771061093248,1297.4,207.5
