"time_step","loc_Emax","num_occupied","num_extinct","centroid","leading_edge","trailing_edge"
109,708,127375,142625,702.819065898912,1251.7,163.3
110,709,127179,142821,705.476616406849,1247.8,159.3
111,710,127152,142848,705.6988880465,1254.7,163.9
112,711,127138,142862,706.569291741243,1254.8,165.3
113,712,127122,142878,712.860847240051,1254.6,166.3
114,713,127136,142864,709.025439049587,1253.8,169.2
115,714,127208,142792,710.257927300851,1259.3,168.6
116,715,127079,142921,711.915333593445,1253.5,166.3
117,716,127459,142541,712.969858386384,1262.3,170.5
118,717,126898,143102,714.217758710348,1258.3,167.6
119,718,127427,142573,714.716081046422,1259.3,170.4
120,719,127282,142718,718.878318584071,1270.3,169.7
121,720,127283,142717,723.602941176471,1267.1,181.8
122,721,127243,142757,726.130627114234,1268,181.6
123,722,127235,142765,724.336050724638,1268.2,175.3
124,723,127307,142693,727.193810647784,1274.6,174.5
125,724,127309,142691,730.269728331177,1272.8,176.8
126,725,126988,143012,726.89095574086,1267.6,181.4
127,726,126842,143158,730.750386996904,1275,179.9
128,727,127068,142932,732.570766855378,1275.7,180.3
129,728,127374,142626,732.6486521181,1279.8,187.7
130,729,127339,142661,729.145879014575,1275.9,182.3
131,730,127047,142953,730.754827983118,1277.6,191.2
132,731,127485,142515,729.431133888533,1269.7,179.4
133,732,126765,143235,732.49801409353,1277.5,193.3
134,733,127021,142979,731.212462754243,1284.5,187.9
135,734,127181,142819,734.647951244813,1287.1,190.4
136,735,127503,142497,733.988973926579,1289.9,189.2
137,736,127082,142918,734.775727650728,1283.2,189
138,737,127348,142652,735.35710553814,1280.7,189.1
139,738,127347,142653,733.181912278432,1285.4,188.1
140,739,127445,142555,739.960834836382,1277.7,191.8
141,740,127247,142753,737.621597096189,1279.8,191.1
142,741,127264,142736,740.659825161536,1283.7,207.2
143,742,127146,142854,738.110899873257,1286,198.6
144,743,126979,143021,737.844890741442,1291.7,193.2
145,744,127439,142561,739.570320447609,1287.8,201.3
146,745,127225,142775,737.277571410273,1285.5,196.2
147,746,126862,143138,739.918577686163,1289.4,200
148,747,127431,142569,741.264841351075,1293.1,201.7
149,748,127177,142823,744.753027570214,1292.5,202.5
150,749,126992,143008,744.686249025214,1289.3,207.9
151,750,127029,142971,743.078306188925,1292.5,217.5
152,751,127460,142540,741.70054730258,1299,216.8
153,752,126869,143131,743.930355987055,1296,206.4
154,753,127275,142725,749.232017375751,1294,203.6
155,754,127441,142559,747.519139064312,1287.1,214
156,755,127278,142722,747.813561470216,1304.8,209.2
157,756,127292,142708,748.663357515591,1295.4,204.3
158,757,127635,142365,748.436255983875,1302.9,210.2
159,758,127237,142763,748.671981776765,1306.6,203.4
160,759,127054,142946,748.501077722835,1307.9,210.6
161,760,127484,142516,753.325776872134,1306.2,214.4
162,761,127042,142958,751.3599695586,1310.9,213.1
163,762,127154,142846,750.93899643403,1316.7,214.3
164,763,127199,142801,755.96961038961,1308.4,223.5
165,764,127139,142861,760.733978078659,1309.3,212.6
166,765,127409,142591,761.759221047201,1311.5,218.1
167,766,127015,142985,761.64401336074,1311.8,219.8
168,767,127248,142752,765.998705334024,1315.6,225.9
169,768,127300,142700,765.309275697929,1311.5,232.3
170,769,127082,142918,764.709247748319,1321.9,239.1
171,770,127163,142837,760.994005866599,1319.7,226.8
172,771,127140,142860,764.462541128828,1322.4,232.8
173,772,127134,142866,766.406691260654,1312,226.1
174,773,127083,142917,765.201613952883,1312.1,233.9
175,774,127007,142993,765.471454404547,1316.3,235.2
176,775,127216,142784,765.685461083997,1318.3,229.1
177,776,127052,142948,771.45015576324,1312.5,230.3
178,777,127301,142699,772.239745586708,1321.8,229.7
179,778,127572,142428,775.825665546653,1322,226.5
180,779,127127,142873,777.728973168215,1319.7,225.8
181,780,127253,142747,777.431592520954,1317.2,236
182,781,127473,142527,776.168626949629,1316,232.5
183,782,127259,142741,777.933077905492,1321,246.4
184,783,127285,142715,779.057547530943,1330.6,238.8
185,784,127356,142644,778.513394590397,1321.4,237.1
186,785,126918,143082,779.790781049936,1333.8,238.3
187,786,127206,142794,782.896075393752,1324.8,240.3
188,787,127263,142737,784.183501904637,1332.8,242.1
189,788,126984,143016,785.433979565104,1329.6,244.6
190,789,127495,142505,782.222915042868,1326.6,244.3
191,790,127352,142648,784.387736582836,1333.5,242.5
192,791,126955,143045,784.958921531222,1334.1,244.3
193,792,127077,142923,786.107381687243,1336.3,249.2
194,793,127116,142884,789.500064574454,1339.9,247.7
195,794,127246,142754,788.540212050685,1337.7,257.3
196,795,126969,143031,790.709940460782,1339.2,244.6
197,796,127627,142373,792.42317057542,1345.1,259.2
198,797,126762,143238,795.734231317187,1342.5,261.4
199,798,126843,143157,796.405959752322,1341.4,253
200,799,127176,142824,796.063329928498,1345.7,254.2
201,800,127257,142743,796.678199356913,1349.7,256.5
202,801,127484,142516,798.41663457836,1344.4,257.1
203,802,127174,142826,799.308238636364,1349.4,268.5
204,803,127476,142524,803.40912596401,1344.6,258.9
205,804,127296,142704,805.32971295578,1343,261
206,805,127229,142771,806.458295498768,1340.4,271.5
207,806,127200,142800,804.08207899138,1339.5,266.6
208,807,127433,142567,805.290247678019,1340.2,257.4
209,808,127026,142974,802.68396888152,1340.5,254.8
210,809,127467,142533,807.09141096418,1352.1,265.7
211,810,127244,142756,811.091649431231,1347.2,258.7
212,811,127284,142716,810.720503273848,1352.4,262.9
213,812,127445,142555,813.044585987261,1356.3,257.2
214,813,127106,142894,812.016776817489,1362,266.3
215,814,127311,142689,814.517373530915,1364.5,267.2
216,815,127107,142893,816.240996168582,1364,270.6
217,816,127268,142732,817.634347275032,1358.2,273.6
218,817,127744,142256,813.798401420959,1361.7,275.9
219,818,127104,142896,816.269358974359,1357.2,276.5
220,819,127122,142878,816.999234400919,1353.6,275.9
221,820,127344,142656,817.802132250286,1355.2,274.8
222,821,126838,143162,818.279994899911,1358.6,269.6
223,822,127450,142550,820.769240474388,1367.6,273
224,823,127233,142767,818.299833568045,1360.8,281.8
225,824,127250,142750,823.804849884527,1370.8,275.9
226,825,127090,142910,822.50628482571,1366.3,279.7
227,826,127207,142793,826.370153525891,1372.9,281.7
228,827,127129,142871,822.9326625387,1373.4,276.1
229,828,127181,142819,822.818910878282,1374.6,274.4
230,829,127029,142971,823.981018457913,1376.2,282.3
