"exponent_type","time_window_width","mean_spec_exp","sd_spec_exp","year"
"s_PSD_high","5 years",2.16786731737459,0.409161681730685,1871
"s_PSD_high","5 years",2.15001553551725,0.395516014011028,1876
"s_PSD_high","5 years",2.1583726006543,0.402356965755278,1881
"s_PSD_high","5 years",2.14564949947567,0.395976739571028,1886
"s_PSD_high","5 years",2.14397262370444,0.394418548015093,1891
"s_PSD_high","5 years",2.17668302799281,0.390837177337901,1896
"s_PSD_high","5 years",2.17052652493468,0.411235290463302,1901
"s_PSD_high","5 years",2.1535227738826,0.377714218043963,1906
"s_PSD_high","5 years",2.14210334128469,0.393440693155532,1911
"s_PSD_high","5 years",2.1100653769717,0.389197652928528,1916
"s_PSD_high","5 years",2.16792240207862,0.40272568663998,1921
"s_PSD_high","5 years",2.13931446972252,0.382306467673781,1926
"s_PSD_high","5 years",2.14378925666741,0.377786803241426,1931
"s_PSD_high","5 years",2.1560794750553,0.402048798696772,1936
"s_PSD_high","5 years",2.12947802564991,0.384564000557083,1941
"s_PSD_high","5 years",2.1486939146125,0.387811757474121,1946
"s_PSD_high","5 years",2.1520272736137,0.380253492088038,1951
"s_PSD_high","5 years",2.16923948462417,0.392039448026667,1956
"s_PSD_high","5 years",2.1658846670744,0.401320832882594,1961
"s_PSD_high","5 years",2.17650073914146,0.384188072671222,1966
"s_PSD_high","5 years",2.18182902259816,0.413891188921192,1971
"s_PSD_high","5 years",2.15074627168842,0.383254034687897,1976
"s_PSD_high","5 years",2.18537334636102,0.395059724711231,1981
"s_PSD_high","5 years",2.16643638578683,0.3855136077461,1986
"s_PSD_high","5 years",2.15930143186858,0.383599145533229,1991
"s_PSD_high","5 years",2.1711614180743,0.408022513519202,1996
"s_PSD_high","5 years",2.15059103723258,0.389224530946209,2001
"s_PSD_high","5 years",2.1486947766602,0.379237329403582,2006
"s_PSD_high","5 years",2.13039381506932,0.388710802696553,2011
"s_PSD_high","5 years",2.17873712448319,0.395616404583533,2016
"s_PSD_high","5 years",2.16614387081714,0.391951382108409,2021
"s_PSD_high","5 years",2.15187029158854,0.376687393376819,2026
"s_PSD_high","5 years",2.17885700489591,0.394660401935971,2031
"s_PSD_high","5 years",2.19959337627196,0.40907883771893,2036
"s_PSD_high","5 years",2.18331246258621,0.401486962899988,2041
"s_PSD_high","5 years",2.15283819818182,0.389182471325101,2046
"s_PSD_high","5 years",2.18730688388742,0.402578771302622,2051
"s_PSD_high","5 years",2.15967856490928,0.383750109337196,2056
"s_PSD_high","5 years",2.17881613600196,0.380997269446312,2061
"s_PSD_high","5 years",2.17834651187083,0.383194665228425,2066
"s_PSD_high","5 years",2.18685931411287,0.379967969975023,2071
