"exponent_type","time_window_width","mean_spec_exp","sd_spec_exp","year"
"s_PSD_high","5 years",2.01914715913511,0.50131726582841,1871
"s_PSD_high","5 years",2.00668566299654,0.497698763532386,1876
"s_PSD_high","5 years",1.99424685834123,0.484227021888038,1881
"s_PSD_high","5 years",1.99421849815877,0.502190247349266,1886
"s_PSD_high","5 years",2.00696787687752,0.516317401347609,1891
"s_PSD_high","5 years",2.0174767268423,0.491469154008169,1896
"s_PSD_high","5 years",1.9960402222805,0.474383216211541,1901
"s_PSD_high","5 years",2.01739081652352,0.504407515657095,1906
"s_PSD_high","5 years",2.02415797164956,0.515179471977393,1911
"s_PSD_high","5 years",1.99360944433322,0.49177922780987,1916
"s_PSD_high","5 years",1.98432525359155,0.477372172087633,1921
"s_PSD_high","5 years",2.01227848520683,0.494949736359625,1926
"s_PSD_high","5 years",2.00619047069408,0.503306772784027,1931
"s_PSD_high","5 years",1.9947868226549,0.505469959740563,1936
"s_PSD_high","5 years",1.99380060839126,0.493295130804182,1941
"s_PSD_high","5 years",2.02201037347182,0.47132470747052,1946
"s_PSD_high","5 years",1.99175206741598,0.481309298062678,1951
"s_PSD_high","5 years",1.98530486855233,0.492020369696538,1956
"s_PSD_high","5 years",2.00425301080136,0.497926189027256,1961
"s_PSD_high","5 years",2.02782742400627,0.498282637622968,1966
"s_PSD_high","5 years",2.02164831196925,0.499843593865354,1971
"s_PSD_high","5 years",2.00579440728104,0.481291033279438,1976
"s_PSD_high","5 years",2.02895596156791,0.51511699988189,1981
"s_PSD_high","5 years",2.01047044906197,0.503317930404841,1986
"s_PSD_high","5 years",2.00698256864736,0.489670728086342,1991
"s_PSD_high","5 years",2.00785466344472,0.496094811305194,1996
"s_PSD_high","5 years",2.01717677598309,0.488253255821819,2001
"s_PSD_high","5 years",2.02106070763921,0.491387236470877,2006
"s_PSD_high","5 years",2.00439161928695,0.4809319838174,2011
"s_PSD_high","5 years",2.01629048894533,0.49005115948823,2016
"s_PSD_high","5 years",1.99971889934304,0.498158016044066,2021
"s_PSD_high","5 years",2.01455329267552,0.494776208664085,2026
"s_PSD_high","5 years",1.99917645855235,0.490424589796546,2031
"s_PSD_high","5 years",1.9929613978486,0.489582615761051,2036
"s_PSD_high","5 years",2.02201060030269,0.48923703274588,2041
"s_PSD_high","5 years",2.00999326823473,0.511137608324195,2046
"s_PSD_high","5 years",2.01670472181635,0.4681732252098,2051
"s_PSD_high","5 years",1.9953832903546,0.467191756405282,2056
"s_PSD_high","5 years",2.00270922677432,0.473437214363714,2061
"s_PSD_high","5 years",2.01794772296148,0.491403164039691,2066
"s_PSD_high","5 years",2.01490869186783,0.480966340510918,2071
"s_PSD_high","5 years",1.99623642765072,0.486398928498193,2076
"s_PSD_high","5 years",2.00862722289837,0.482130391863076,2081
"s_PSD_high","5 years",1.99891262786523,0.45809150490614,2086
"s_PSD_high","5 years",2.01265773358688,0.483742657159088,2091
"s_PSD_low","5 years",0.34015040518289,0.20603236974545,1871
"s_PSD_low","5 years",0.298433107410637,0.184163200972636,1876
"s_PSD_low","5 years",0.347250773688419,0.226273324548047,1881
"s_PSD_low","5 years",0.310503533354536,0.198581266133398,1886
