"exponent_type","time_window_width","mean_spec_exp","sd_spec_exp","year"
"s_PSD_high","5 years",2.22693090224588,0.374653683644605,1871
"s_PSD_high","5 years",2.1796760710533,0.38162277208148,1876
"s_PSD_high","5 years",2.21913181059948,0.365990971182499,1881
"s_PSD_high","5 years",2.20265675412451,0.348264308981274,1886
"s_PSD_high","5 years",2.19396020295432,0.38924660178568,1891
"s_PSD_high","5 years",2.21397373317377,0.37231742526911,1896
"s_PSD_high","5 years",2.19567983183762,0.360383942368115,1901
"s_PSD_high","5 years",2.17382734049462,0.361791841195623,1906
"s_PSD_high","5 years",2.19563926947938,0.362261820000458,1911
"s_PSD_high","5 years",2.21558579552806,0.37779740940342,1916
"s_PSD_high","5 years",2.20198412475914,0.384709700330913,1921
"s_PSD_high","5 years",2.17696630641052,0.36555871236066,1926
"s_PSD_high","5 years",2.19445384577566,0.370894157798562,1931
"s_PSD_high","5 years",2.18566426070301,0.383170583961565,1936
"s_PSD_high","5 years",2.19239374077345,0.373328555175497,1941
"s_PSD_high","5 years",2.18571342127155,0.364762371178529,1946
"s_PSD_high","5 years",2.19244316374829,0.37655041037595,1951
"s_PSD_high","5 years",2.20572479860687,0.35920446188307,1956
"s_PSD_high","5 years",2.1911408748195,0.36937751509164,1961
"s_PSD_high","5 years",2.17077948842617,0.37287155905936,1966
"s_PSD_high","5 years",2.21828623718997,0.365084645046644,1971
"s_PSD_high","5 years",2.25748333982058,0.360875014270064,1976
"s_PSD_high","5 years",2.19527465920212,0.377779887425622,1981
"s_PSD_high","5 years",2.20231724090088,0.371536098837564,1986
"s_PSD_high","5 years",2.21016746747855,0.353415441801156,1991
"s_PSD_high","5 years",2.18973308719718,0.378367099333669,1996
"s_PSD_high","5 years",2.23597110844295,0.374830778856249,2001
"s_PSD_high","5 years",2.24297645064085,0.364778100592277,2006
"s_PSD_high","5 years",2.23697581726629,0.361293529902692,2011
"s_PSD_high","5 years",2.2461323564717,0.365894580132201,2016
"s_PSD_high","5 years",2.27017023657129,0.365480063260539,2021
"s_PSD_high","5 years",2.22558762512327,0.361773549967852,2026
"s_PSD_high","5 years",2.25055205391756,0.360167482797032,2031
"s_PSD_high","5 years",2.21908894667062,0.371566086263493,2036
"s_PSD_high","5 years",2.21669482486698,0.362919833376582,2041
"s_PSD_high","5 years",2.27354795608405,0.365208345256643,2046
"s_PSD_high","5 years",2.22054666267288,0.352256932148687,2051
"s_PSD_high","5 years",2.22578714256982,0.36584881163646,2056
"s_PSD_high","5 years",2.2396190979124,0.360065529194871,2061
"s_PSD_high","5 years",2.22425086034247,0.348761637779849,2066
"s_PSD_high","5 years",2.25259682335711,0.351520587236353,2071
"s_PSD_high","5 years",2.27712305721307,0.34609385741684,2076
"s_PSD_high","5 years",2.22286430969109,0.34566107474004,2081
"s_PSD_high","5 years",2.24514256623966,0.345559754854216,2086
"s_PSD_high","5 years",2.23939861427891,0.343549123037991,2091
"s_PSD_low","5 years",0.433573279576133,0.209632714346957,1871
"s_PSD_low","5 years",0.396476231578956,0.21831703055302,1876
"s_PSD_low","5 years",0.483367016963835,0.186162709563786,1881
"s_PSD_low","5 years",0.423643457259141,0.17951467912865,1886
"s_PSD_low","5 years",0.474033450768374,0.187045467043274,1891
"s_PSD_low","5 years",0.43138900571922,0.174337231900144,1896
"s_PSD_low","5 years",0.428370664908228,0.195577598122634,1901
"s_PSD_low","5 years",0.489610033123805,0.20167728206726,1906
"s_PSD_low","5 years",0.449031510069841,0.170811678458003,1911
"s_PSD_low","5 years",0.411875105452316,0.179669735847215,1916
"s_PSD_low","5 years",0.46763553539411,0.182756879927333,1921
"s_PSD_low","5 years",0.447081378130627,0.187546162053899,1926
"s_PSD_low","5 years",0.479660036847449,0.17894680797291,1931
"s_PSD_low","5 years",0.438599552462704,0.175713006821656,1936
"s_PSD_low","5 years",0.442828603415647,0.172380114673012,1941
