"exponent_type","time_window_width","mean_spec_exp","sd_spec_exp","year"
"s_PSD_high","5 years",2.23160747525896,0.363657231052257,1871
"s_PSD_high","5 years",2.23109678543593,0.363091067487742,1876
"s_PSD_high","5 years",2.22115481614808,0.370075294911706,1881
"s_PSD_high","5 years",2.22167593552694,0.372146872598864,1886
"s_PSD_high","5 years",2.20992894467776,0.384381189674808,1891
"s_PSD_high","5 years",2.24225641356874,0.372322320670585,1896
"s_PSD_high","5 years",2.22373627613209,0.372175021526815,1901
"s_PSD_high","5 years",2.21547755686102,0.374438260538496,1906
"s_PSD_high","5 years",2.21229103833616,0.361694915077933,1911
"s_PSD_high","5 years",2.18129249221928,0.366375721307968,1916
"s_PSD_high","5 years",2.2365155816588,0.366535863069684,1921
"s_PSD_high","5 years",2.22953969199858,0.37196432823565,1926
"s_PSD_high","5 years",2.25465220697588,0.36702526284456,1931
"s_PSD_high","5 years",2.20446148374262,0.366675127205756,1936
"s_PSD_high","5 years",2.25128854149736,0.375015049596056,1941
"s_PSD_high","5 years",2.22766311463049,0.347059449411494,1946
"s_PSD_high","5 years",2.23936848576161,0.342669626186555,1951
"s_PSD_high","5 years",2.22087639735508,0.34835154272289,1956
"s_PSD_high","5 years",2.2253119783223,0.344713968816394,1961
"s_PSD_high","5 years",2.21464602884649,0.367807261257811,1966
"s_PSD_high","5 years",2.26381620853329,0.352794683363635,1971
"s_PSD_high","5 years",2.22460742670974,0.372090453172277,1976
"s_PSD_high","5 years",2.25788415382369,0.363133371647604,1981
"s_PSD_high","5 years",2.21585232392459,0.350909498220455,1986
"s_PSD_high","5 years",2.24601898427814,0.343326852934537,1991
"s_PSD_high","5 years",2.22720734516934,0.362345071519436,1996
"s_PSD_high","5 years",2.24815121738322,0.365963843683138,2001
"s_PSD_high","5 years",2.23184200546674,0.363741575898936,2006
"s_PSD_high","5 years",2.25972992391579,0.354137502288546,2011
"s_PSD_high","5 years",2.26016244384845,0.365195597034997,2016
"s_PSD_high","5 years",2.25771079650738,0.338912063253541,2021
"s_PSD_high","5 years",2.26342545877746,0.330086837018512,2026
"s_PSD_high","5 years",2.25687199321261,0.357243908942465,2031
"s_PSD_high","5 years",2.2411979584794,0.350290823484471,2036
"s_PSD_high","5 years",2.2964788198529,0.344696679948139,2041
"s_PSD_high","5 years",2.2248855021391,0.341816843479877,2046
"s_PSD_high","5 years",2.25351541322481,0.335645709091654,2051
"s_PSD_high","5 years",2.26821745406757,0.350619350691768,2056
"s_PSD_high","5 years",2.2565309853926,0.338345794498812,2061
"s_PSD_high","5 years",2.27267317409492,0.356654622974498,2066
"s_PSD_high","5 years",2.28196358923032,0.348705795838135,2071
"s_PSD_high","5 years",2.2802581726452,0.339157807057879,2076
"s_PSD_high","5 years",2.26406676318195,0.332019313873019,2081
"s_PSD_high","5 years",2.28246181450195,0.325854262268416,2086
"s_PSD_high","5 years",2.30574906694683,0.345609439337335,2091
"s_PSD_low","5 years",0.491461055215909,0.173547105790874,1871
"s_PSD_low","5 years",0.492107249243183,0.189530054532138,1876
"s_PSD_low","5 years",0.487506094607622,0.185158588193768,1881
"s_PSD_low","5 years",0.494231314903727,0.189939469187289,1886
"s_PSD_low","5 years",0.423226310976151,0.190633781487452,1891
"s_PSD_low","5 years",0.45930564161285,0.203835702691667,1896
"s_PSD_low","5 years",0.506224410754568,0.183541748088357,1901
"s_PSD_low","5 years",0.469371974098406,0.174170313275224,1906
"s_PSD_low","5 years",0.44142828112648,0.194132303285153,1911
"s_PSD_low","5 years",0.486904329300457,0.183895665965197,1916
"s_PSD_low","5 years",0.456011228828141,0.186255434532656,1921
"s_PSD_low","5 years",0.499457609668996,0.168715435284502,1926
"s_PSD_low","5 years",0.467983816968474,0.184235693849749,1931
"s_PSD_low","5 years",0.466718373224894,0.187570280817515,1936
"s_PSD_low","5 years",0.470871468341826,0.185870667119445,1941
"s_PSD_low","5 years",0.468600171365911,0.194104184500434,1946
"s_PSD_low","5 years",0.438069918488658,0.193165174677484,1951
"s_PSD_low","5 years",0.450863703330668,0.199349453119251,1956
"s_PSD_low","5 years",0.476274803315973,0.179791699933551,1961
"s_PSD_low","5 years",0.500489386942682,0.190208862843117,1966
"s_PSD_low","5 years",0.507202672359564,0.189752793175104,1971
"s_PSD_low","5 years",0.411750761481866,0.184976963525185,1976
"s_PSD_low","5 years",0.478342688966889,0.18247530840881,1981
"s_PSD_low","5 years",0.455123385037431,0.197945024125514,1986
"s_PSD_low","5 years",0.468391611686717,0.182393040863193,1991
"s_PSD_low","5 years",0.435589226411456,0.201112632719352,1996
"s_PSD_low","5 years",0.43889707070332,0.194289846192955,2001
"s_PSD_low","5 years",0.467548679989387,0.161324559197047,2006
"s_PSD_low","5 years",0.4425752518065,0.182078068465909,2011
"s_PSD_low","5 years",0.535650998539253,0.20516575270448,2016
"s_PSD_low","5 years",0.450881286116166,0.187015181863933,2021
"s_PSD_low","5 years",0.454215495829169,0.210558030440295,2026
"s_PSD_low","5 years",0.512323730170467,0.1956097894161,2031
"s_PSD_low","5 years",0.491671032122321,0.186809783848319,2036
"s_PSD_low","5 years",0.458196164655492,0.194824019847421,2041
"s_PSD_low","5 years",0.464257263313557,0.204762929645703,2046
"s_PSD_low","5 years",0.53476510174197,0.197740379429238,2051
"s_PSD_low","5 years",0.469677176761485,0.206038931211714,2056
"s_PSD_low","5 years",0.532785913700902,0.19595256003598,2061
"s_PSD_low","5 years",0.540372345392081,0.19048206261571,2066
"s_PSD_low","5 years",0.529493059546057,0.199451192583167,2071
"s_PSD_low","5 years",0.563282209087162,0.188426518227644,2076
"s_PSD_low","5 years",0.500948358778671,0.205548869745105,2081
"s_PSD_low","5 years",0.508735046968231,0.208200361290435,2086
"s_PSD_low","5 years",0.548166892345005,0.194881741661025,2091
